latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-29.5161,-62.1004,302.7,3.2,1.7,2000-11-01,0231,Terra,MODIS,51,6.2,292.6,18.7,N,0
-28.2832,-61.6395,304.5,2.9,1.6,2000-11-01,0232,Terra,MODIS,60,6.2,292,22.3,N,0
-28.2825,-61.6447,302.8,2.9,1.6,2000-11-01,0232,Terra,MODIS,52,6.2,292.1,16.9,N,0
-26.0481,-54.4666,314.7,1,1,2000-11-01,0232,Terra,MODIS,90,6.2,288.7,14.1,N,0
-26.0389,-54.4681,320.9,1,1,2000-11-01,0232,Terra,MODIS,100,6.2,291.1,20,N,0
-26.3705,-64.4282,318.7,4.3,1.9,2000-11-01,0232,Terra,MODIS,97,6.2,292.3,126,N,0
-26.3732,-64.4712,322.4,4.3,1.9,2000-11-01,0232,Terra,MODIS,100,6.2,292.5,157.1,N,0
-26.3687,-64.4354,321.2,4.3,1.9,2000-11-01,0232,Terra,MODIS,100,6.2,292.3,146.5,N,0
-26.3716,-64.4783,318.6,4.3,1.9,2000-11-01,0232,Terra,MODIS,97,6.2,292.4,126.8,N,0
-25.4355,-63.574,306.1,3.6,1.8,2000-11-01,0233,Terra,MODIS,31,6.2,292.9,24.5,N,0
-25.0414,-64.3304,309.1,4.1,1.9,2000-11-01,0233,Terra,MODIS,74,6.2,289.5,60.7,N,0
-25.0441,-64.3705,303.7,4.1,1.9,2000-11-01,0233,Terra,MODIS,47,6.2,290.9,35,N,0
-25.0379,-64.3354,312.1,4.1,1.9,2000-11-01,0233,Terra,MODIS,83,6.2,290.2,77.1,N,0
-24.5297,-63.9801,314.4,3.8,1.8,2000-11-01,0233,Terra,MODIS,88,6.2,287,81.6,N,0
-24.5132,-63.9816,303.5,3.8,1.8,2000-11-01,0233,Terra,MODIS,49,6.2,287.2,33.3,N,0
-24.5236,-63.9858,315.8,3.8,1.8,2000-11-01,0233,Terra,MODIS,91,6.2,287.3,92.7,N,0
-22.9866,-63.7539,305.5,3.5,1.8,2000-11-01,0233,Terra,MODIS,65,6.2,292.2,31.5,N,0
-22.866,-63.7715,302.3,3.5,1.8,2000-11-01,0233,Terra,MODIS,48,6.2,291.7,24.5,N,0
-22.1783,-63.4472,318.5,3.3,1.7,2000-11-01,0233,Terra,MODIS,97,6.2,294.6,79.3,N,0
-22.181,-63.4788,325.9,3.3,1.7,2000-11-01,0233,Terra,MODIS,100,6.2,294,124.2,N,0
-22.1821,-63.4534,317.2,3.3,1.7,2000-11-01,0233,Terra,MODIS,95,6.2,294.6,73.9,N,0
-22.1849,-63.485,311.4,3.3,1.7,2000-11-01,0233,Terra,MODIS,82,6.2,293.5,49,N,0
