latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.2782,14.33,311,1.1,1,2000-11-02,1034,Terra,MODIS,61,6.2,285.2,14.1,D,2
48.2757,14.3445,308.5,1.1,1,2000-11-02,1034,Terra,MODIS,0,6.2,285.3,12.1,D,2
48.2765,14.3376,305.1,1.7,1.3,2000-11-07,1052,Terra,MODIS,46,6.2,286.3,17,D,2
48.2686,14.3283,300.7,1.7,1.3,2000-11-07,1052,Terra,MODIS,25,6.2,286.2,10.8,D,2
48.2761,14.3256,307.7,1.2,1.1,2000-11-09,1040,Terra,MODIS,62,6.2,284.6,13.9,D,2
48.2731,14.3419,308.6,1.3,1.1,2000-11-09,1040,Terra,MODIS,58,6.2,285.1,14.7,D,2
48.2731,14.3316,308.6,1.1,1.1,2000-11-10,2054,Terra,MODIS,75,6.2,275.5,16.8,N,2
48.272,14.3285,308.2,1,1,2000-11-11,1028,Terra,MODIS,63,6.2,284.4,11.2,D,2
48.2771,14.3418,316.4,1.2,1.1,2000-11-13,2125,Terra,MODIS,93,6.2,275.2,26.1,N,2
48.2753,14.3254,307.8,1.2,1.1,2000-11-13,2125,Terra,MODIS,72,6.2,275.1,17.4,N,2
48.2736,14.3342,302.9,1.7,1.3,2000-11-27,2137,Terra,MODIS,52,6.2,274.4,22.2,N,2
48.2778,14.3323,306,1.1,1.1,2000-12-20,1033,Terra,MODIS,47,6.2,275.5,13.6,D,2
