latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.2088,-118.7312,304,1.1,1,2000-11-01,0611,Terra,MODIS,58,6.2,271.1,13.1,N,0
49.207,-118.7463,306.3,1.1,1,2000-11-01,0611,Terra,MODIS,67,6.2,271.2,14.5,N,0
49.4044,-118.9513,303.7,1.1,1,2000-11-01,0611,Terra,MODIS,57,6.2,270.3,12.9,N,0
49.6365,-119.3867,309,1.1,1,2000-11-01,0611,Terra,MODIS,76,6.2,266.6,16.5,N,0
49.4978,-120.6016,301.9,1,1,2000-11-01,0611,Terra,MODIS,45,6.2,270.7,10.3,N,0
49.4886,-120.6698,323.4,1,1,2000-11-01,0611,Terra,MODIS,100,6.2,273.4,27.1,N,0
49.4868,-120.6836,333,1,1,2000-11-01,0611,Terra,MODIS,100,6.2,273.5,39,N,0
49.6785,-120.8368,304.4,1,1,2000-11-01,0611,Terra,MODIS,60,6.2,271.1,11.5,N,0
49.6874,-120.8397,337.3,1,1,2000-11-01,0611,Terra,MODIS,100,6.2,272.1,45.2,N,0
50.2414,-123.3375,303.1,1,1,2000-11-01,0611,Terra,MODIS,53,6.2,271.9,11.3,N,0
50.9312,-120.3664,301.7,1,1,2000-11-01,0611,Terra,MODIS,44,6.2,271.4,11.1,N,0
53.1839,-122.9617,311.6,1,1,2000-11-01,0612,Terra,MODIS,83,6.2,271.7,16.1,N,0
53.1927,-122.9652,300.7,1,1,2000-11-01,0612,Terra,MODIS,33,6.2,270.5,9.6,N,0
53.4726,-122.2128,302.9,1,1,2000-11-01,0612,Terra,MODIS,52,6.2,272,11.5,N,0
53.2562,-124.3645,335.4,1,1,2000-11-01,0612,Terra,MODIS,100,6.2,270.2,43.3,N,0
53.8603,-124.9934,320,1,1,2000-11-01,0612,Terra,MODIS,99,6.2,269.8,24.3,N,0
53.8018,-125.5913,300.2,1,1,2000-11-01,0612,Terra,MODIS,21,6.2,268.6,10.2,N,0
53.9676,-124.6635,308.3,1,1,2000-11-01,0612,Terra,MODIS,74,6.2,272.2,13.9,N,0
53.9653,-124.6784,322.8,1,1,2000-11-01,0612,Terra,MODIS,100,6.2,272.1,25.9,N,0
53.963,-124.6935,361.1,1,1,2000-11-01,0612,Terra,MODIS,100,6.2,276.6,95.2,N,0
53.9606,-124.7085,340.5,1,1,2000-11-01,0612,Terra,MODIS,100,6.2,274.2,50.1,N,0
55.2846,-116.8369,302.8,1.5,1.2,2000-11-01,0612,Terra,MODIS,52,6.2,270.3,19.4,N,0
54.8261,-126.0012,318.4,1,1,2000-11-01,0612,Terra,MODIS,97,6.2,271.6,22.2,N,0
54.8349,-126.0055,316.5,1,1,2000-11-01,0612,Terra,MODIS,93,6.2,271.4,21.1,N,0
55.2704,-126.4462,326.6,1,1,2000-11-01,0613,Terra,MODIS,100,6.2,271.5,31.9,N,0
44.6912,-79.2243,301.5,1,1,2000-11-01,1627,Terra,MODIS,47,6.2,285.4,6.2,D,0
42.899,-79.0803,306.9,1,1,2000-11-01,1628,Terra,MODIS,64,6.2,286.8,8.4,D,0
43.0637,-81.3716,306.2,1.1,1.1,2000-11-01,1628,Terra,MODIS,63,6.2,288,8.6,D,0
43.0621,-81.3581,302.2,1.1,1.1,2000-11-01,1628,Terra,MODIS,51,6.2,287.5,5.8,D,0
42.8012,-80.1066,302.5,1,1,2000-11-01,1628,Terra,MODIS,40,6.2,289,4.6,D,0
42.7995,-80.0941,307,1,1,2000-11-01,1628,Terra,MODIS,0,6.2,290.5,7.2,D,2
