latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.4644,-84.7059,307,1.4,1.2,2000-11-08,1643,Terra,MODIS,34,6.2,290.6,7.1,D,1
10.4648,-84.7029,314.2,1,1,2000-11-10,0415,Terra,MODIS,89,6.2,287.1,13.1,N,1
10.4651,-84.6987,316.4,1,1,2000-11-10,1631,Terra,MODIS,67,6.2,288.8,11.6,D,1
10.4148,-85.535,321.3,1,1,2000-11-26,1630,Terra,MODIS,54,6.2,303.7,11,D,0
10.4528,-85.2199,312,2.2,1.4,2000-12-08,1654,Terra,MODIS,46,6.2,295.8,12.5,D,0
10.4534,-85.2266,314.7,2.2,1.4,2000-12-08,1654,Terra,MODIS,62,6.2,296.2,20.8,D,0
10.4351,-85.1361,314,1,1,2000-12-12,1630,Terra,MODIS,64,6.2,300.7,4.7,D,0
10.4262,-85.1374,327.5,1,1,2000-12-12,1630,Terra,MODIS,82,6.2,301,18.2,D,0
10.3942,-85.1116,318.3,1,1,2000-12-12,1630,Terra,MODIS,73,6.2,301,8.7,D,0
10.3929,-85.1026,332.1,1,1,2000-12-12,1630,Terra,MODIS,85,6.2,303.2,24.1,D,0
10.3928,-85.2872,315.6,1,1,2000-12-12,1630,Terra,MODIS,68,6.2,300.4,7.4,D,0
9.1847,-83.3275,320.2,1.2,1.1,2000-12-12,1630,Terra,MODIS,66,6.2,295.2,15.1,D,0
9.1831,-83.3172,315,1.2,1.1,2000-12-12,1630,Terra,MODIS,16,6.2,295,9.3,D,0
9.1751,-83.3289,322.4,1.2,1.1,2000-12-12,1630,Terra,MODIS,74,6.2,296.8,17,D,0
10.0253,-84.772,316.5,1.1,1.1,2000-12-14,1618,Terra,MODIS,65,6.2,300.9,7.7,D,0
10.0239,-84.7617,315.4,1.1,1.1,2000-12-14,1618,Terra,MODIS,66,6.2,301.5,6.9,D,0
9.1492,-83.3343,332.3,1,1,2000-12-14,1618,Terra,MODIS,87,6.2,298.2,27.3,D,0
10.3579,-85.1673,314.7,1.7,1.3,2000-12-17,1648,Terra,MODIS,70,6.2,298.8,12.7,D,0
10.5254,-85.5317,314.7,1.1,1,2000-12-19,1636,Terra,MODIS,64,6.2,300.5,5.4,D,0
10.524,-85.5221,327.8,1.1,1,2000-12-19,1636,Terra,MODIS,82,6.2,302.6,19.8,D,0
10.4661,-85.2026,330.3,1.1,1,2000-12-19,1636,Terra,MODIS,84,6.2,299.7,24,D,0
10.4364,-85.2575,315.6,1.1,1,2000-12-19,1636,Terra,MODIS,53,6.2,300.6,6.7,D,0
10.3832,-85.451,319,1.1,1,2000-12-19,1636,Terra,MODIS,72,6.2,302.7,8.8,D,0
10.5727,-85.5103,317.1,1.2,1.1,2000-12-21,0408,Terra,MODIS,94,6.2,293,16.7,N,0
10.5711,-85.5208,322.4,1.2,1.1,2000-12-21,0408,Terra,MODIS,100,6.2,293.3,23.3,N,0
10.4445,-85.2043,321.5,1,1,2000-12-21,1624,Terra,MODIS,76,6.2,301.9,10.9,D,0
