latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.266,-87.9424,313.8,2.1,1.4,2000-11-04,1707,Terra,MODIS,66,6.2,293,22.5,D,0
14.0172,-89.522,315,1.2,1.1,2000-11-13,1701,Terra,MODIS,62,6.2,301.5,7.5,D,0
14.0154,-89.5107,320.4,1.2,1.1,2000-11-13,1701,Terra,MODIS,74,6.2,304.3,14.5,D,0
13.3329,-88.2755,312,1.5,1.2,2000-11-13,1701,Terra,MODIS,50,6.2,297.3,10.1,D,0
14.0326,-89.6349,314.4,1,1,2000-11-15,1648,Terra,MODIS,55,6.2,301.8,5.7,D,0
13.7568,-89.4522,319.1,1,1,2000-11-15,1648,Terra,MODIS,71,6.2,302.4,8.5,D,0
13.7554,-89.4431,318.5,1,1,2000-11-15,1648,Terra,MODIS,68,6.2,301.6,7.7,D,0
13.6367,-89.6565,318.5,1.1,1,2000-11-22,1654,Terra,MODIS,68,6.2,301.7,9.6,D,0
13.5538,-88.234,315.3,1,1,2000-11-24,1642,Terra,MODIS,60,6.2,301.3,5.1,D,0
13.7238,-90.0063,316,1.1,1.1,2000-11-24,1642,Terra,MODIS,59,6.2,301,7.9,D,0
13.4261,-88.9438,317.8,1,1,2000-11-24,1642,Terra,MODIS,66,6.2,302.3,6.7,D,0
13.318,-88.5125,320,1,1,2000-11-24,1642,Terra,MODIS,67,6.2,302.1,8.9,D,0
13.3129,-88.4522,317.6,1.3,1.1,2000-11-26,1630,Terra,MODIS,61,6.2,300.9,11.1,D,0
14.0449,-89.3072,316.6,2.7,1.6,2000-11-28,1617,Terra,MODIS,68,6.2,296.9,26,D,0
13.7131,-89.7097,313.3,2.9,1.6,2000-11-28,1617,Terra,MODIS,59,6.2,296.5,22.8,D,0
13.9079,-89.3484,322.4,1.3,1.1,2000-11-29,1700,Terra,MODIS,74,6.2,300.8,16.6,D,0
13.8979,-89.3501,316.3,1.3,1.1,2000-11-29,1700,Terra,MODIS,36,6.2,300.4,7.5,D,0
13.8107,-89.3819,320.1,1.3,1.1,2000-11-29,1700,Terra,MODIS,71,6.2,301.8,12.6,D,0
13.3704,-89.0041,317,1.3,1.1,2000-11-29,1700,Terra,MODIS,64,6.2,300.3,8.7,D,0
13.9904,-89.2741,325.9,1,1,2000-12-01,1648,Terra,MODIS,78,6.2,300.5,15.8,D,0
13.9891,-89.265,325.6,1,1,2000-12-01,1648,Terra,MODIS,78,6.2,300,15.2,D,0
13.433,-88.8096,323.6,1,1,2000-12-01,1648,Terra,MODIS,75,6.2,304,10.3,D,0
14.0108,-89.5222,311.5,1.2,1.1,2000-12-03,0421,Terra,MODIS,83,6.2,285,14.8,N,0
13.997,-89.7496,309,2.3,1.5,2000-12-05,1623,Terra,MODIS,49,6.2,286.9,21.6,D,0
13.5861,-88.3017,318.6,1.7,1.3,2000-12-05,1623,Terra,MODIS,69,6.2,300,17.7,D,0
13.7468,-89.4268,309.7,1.6,1.2,2000-12-06,1706,Terra,MODIS,34,6.2,296.7,6.7,D,0
13.7501,-90.0786,318.2,1.4,1.2,2000-12-06,1706,Terra,MODIS,70,6.2,301,14.1,D,0
13.748,-90.0658,325.7,1.4,1.2,2000-12-06,1706,Terra,MODIS,79,6.2,301.1,27.3,D,0
13.6623,-89.7432,314.7,1.5,1.2,2000-12-06,1706,Terra,MODIS,63,6.2,302.7,9.2,D,0
13.4721,-88.1369,313.9,2.9,1.6,2000-12-07,1611,Terra,MODIS,61,6.2,298.8,23.1,D,0
14.0322,-89.2459,324,1.1,1,2000-12-08,1654,Terra,MODIS,77,6.2,305.3,15.1,D,1
13.5007,-88.8518,324.4,1.1,1.1,2000-12-08,1654,Terra,MODIS,77,6.2,303.4,15.3,D,0
13.4991,-88.8416,328.3,1.1,1.1,2000-12-08,1654,Terra,MODIS,81,6.2,304.9,20.5,D,0
13.4821,-89.0402,315.7,1.1,1,2000-12-08,1654,Terra,MODIS,44,6.2,303,5.5,D,0
13.7844,-89.4668,315.6,1.6,1.2,2000-12-12,1629,Terra,MODIS,56,6.2,299.3,10.3,D,0
13.4418,-88.2128,321.9,1.3,1.1,2000-12-12,1629,Terra,MODIS,59,6.2,302.5,14.4,D,0
13.3504,-88.2937,321.1,1.3,1.1,2000-12-12,1629,Terra,MODIS,66,6.2,303.3,11.1,D,0
13.2728,-88.323,315.2,1.3,1.1,2000-12-12,1629,Terra,MODIS,21,6.2,301,8.3,D,0
14.0409,-89.1964,330.7,2.1,1.4,2000-12-13,1712,Terra,MODIS,79,6.2,303.8,58.1,D,0
14.0404,-89.2032,332.2,2.1,1.4,2000-12-13,1712,Terra,MODIS,84,6.2,303.4,64.9,D,0
14.0372,-89.184,317.6,2.1,1.4,2000-12-13,1712,Terra,MODIS,68,6.2,303.6,17.2,D,0
13.3271,-88.5763,318.1,2.3,1.5,2000-12-14,1617,Terra,MODIS,66,6.2,300.6,21.6,D,0
13.3646,-88.9977,319.2,2.5,1.5,2000-12-14,1617,Terra,MODIS,49,6.2,302.6,30.8,D,0
14.0937,-89.2825,338.5,1.3,1.1,2000-12-15,1700,Terra,MODIS,89,6.2,305.8,40.1,D,0
14.0919,-89.271,324.5,1.3,1.1,2000-12-15,1700,Terra,MODIS,78,6.2,307,13.2,D,0
13.5502,-88.1983,317.6,1.5,1.2,2000-12-15,1700,Terra,MODIS,69,6.2,300.5,13,D,0
13.4468,-88.9616,320.1,1.4,1.2,2000-12-15,1700,Terra,MODIS,71,6.2,304.2,10.3,D,0
13.4448,-88.9493,320.3,1.4,1.2,2000-12-15,1700,Terra,MODIS,70,6.2,304.1,9.5,D,0
13.3399,-88.6752,326.3,1.4,1.2,2000-12-15,1700,Terra,MODIS,78,6.2,299,27.2,D,0
13.3294,-88.677,314.2,1.4,1.2,2000-12-15,1700,Terra,MODIS,50,6.2,298.6,8,D,0
13.3041,-88.5881,320.4,1.4,1.2,2000-12-15,1700,Terra,MODIS,48,6.2,301.4,12.6,D,0
14.1001,-89.0695,333,1,1,2000-12-17,1648,Terra,MODIS,85,6.2,305.7,21.1,D,0
14.1018,-89.6454,319.6,1,1,2000-12-17,1648,Terra,MODIS,69,6.2,302.4,9.4,D,0
13.8036,-89.3728,321.2,1,1,2000-12-17,1648,Terra,MODIS,65,6.2,304.7,8.2,D,0
13.7906,-89.3468,322.3,1,1,2000-12-17,1648,Terra,MODIS,42,6.2,303,9.3,D,0
14.0319,-89.1845,334.1,1.2,1.1,2000-12-19,1635,Terra,MODIS,85,6.2,301,31.5,D,0
13.8245,-89.2427,318.7,1.2,1.1,2000-12-19,1635,Terra,MODIS,56,6.2,305.2,11.4,D,0
13.823,-89.2316,317.5,1.2,1.1,2000-12-19,1635,Terra,MODIS,48,6.2,304.1,9.4,D,0
13.7806,-89.2141,315.6,1.2,1.1,2000-12-19,1635,Terra,MODIS,38,6.2,299.6,10.3,D,0
13.7222,-89.389,317.9,1.2,1.1,2000-12-19,1635,Terra,MODIS,53,6.2,300.9,12.6,D,0
13.7207,-89.3775,316.6,1.2,1.1,2000-12-19,1635,Terra,MODIS,50,6.2,301.6,11.3,D,0
13.6349,-88.7455,316.9,1.1,1.1,2000-12-19,1635,Terra,MODIS,61,6.2,303.1,7.4,D,0
13.6023,-88.7918,319.8,1.2,1.1,2000-12-19,1636,Terra,MODIS,39,6.2,304.9,11.1,D,0
13.4253,-88.9979,310.6,1.8,1.3,2000-12-21,0409,Terra,MODIS,70,6.2,290.8,22.9,N,0
13.4226,-89.014,314.9,1.8,1.3,2000-12-21,0409,Terra,MODIS,90,6.2,290.8,29.3,N,0
13.4369,-88.9999,303.9,1.8,1.3,2000-12-21,0409,Terra,MODIS,39,6.2,290.2,14,N,0
13.4343,-89.016,302.6,1.8,1.3,2000-12-21,0409,Terra,MODIS,49,6.2,290.7,10.9,N,0
14.0462,-89.1977,315.2,2,1.4,2000-12-21,1623,Terra,MODIS,51,6.2,297.1,13.4,D,0
13.8398,-89.3349,317.5,2,1.4,2000-12-21,1623,Terra,MODIS,66,6.2,298.7,20.9,D,0
13.7799,-89.6991,311.5,2.2,1.4,2000-12-21,1623,Terra,MODIS,27,6.2,296.6,15.3,D,0
13.7123,-89.9905,311.9,1.5,1.2,2000-12-22,1706,Terra,MODIS,42,6.2,289.9,8.5,D,0
13.7102,-89.9772,312.7,1.5,1.2,2000-12-22,1706,Terra,MODIS,48,6.2,290.2,9.1,D,0
13.6669,-89.7066,306.7,1,1,2000-12-26,0428,Terra,MODIS,69,6.2,294.8,5.6,N,0
13.6655,-89.7161,364.2,1,1,2000-12-26,0428,Terra,MODIS,100,6.2,297.7,103.1,N,0
13.6641,-89.7257,316.3,1,1,2000-12-26,0428,Terra,MODIS,93,6.2,293.8,13.6,N,0
13.6746,-89.7175,309,1,1,2000-12-26,0428,Terra,MODIS,76,6.2,294.3,7.6,N,0
13.8511,-89.3899,304.6,1,1,2000-12-26,0428,Terra,MODIS,61,6.2,289.6,7.1,N,0
