latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.7853,37.8683,331.9,1,1,2000-11-01,0821,Terra,MODIS,75,6.2,312.2,16.2,D,0
14.4263,37.304,331.9,1,1,2000-11-01,0821,Terra,MODIS,70,6.2,310.8,16.2,D,0
14.3266,37.2924,333.5,1,1,2000-11-01,0821,Terra,MODIS,30,6.2,308.8,15.7,D,0
14.3025,37.2701,330.9,1,1,2000-11-01,0821,Terra,MODIS,40,6.2,310.6,13.6,D,0
14.1713,36.8436,339.9,1,1,2000-11-01,0821,Terra,MODIS,85,6.2,311.4,25.5,D,0
14.1624,36.8422,337.8,1,1,2000-11-01,0821,Terra,MODIS,83,6.2,311.9,21.5,D,0
13.8881,36.8297,328.6,1,1,2000-11-01,0822,Terra,MODIS,72,6.2,305.6,15.2,D,0
13.8791,36.8283,334.8,1,1,2000-11-01,0822,Terra,MODIS,81,6.2,306.9,23.8,D,0
13.802,37.1014,324.9,1,1,2000-11-01,0822,Terra,MODIS,69,6.2,302.5,15.3,D,0
13.7393,36.9639,321.9,1,1,2000-11-01,0822,Terra,MODIS,60,6.2,304.9,9.4,D,0
13.7379,36.9731,322.1,1,1,2000-11-01,0822,Terra,MODIS,61,6.2,304.4,9.9,D,0
13.6942,36.641,322.4,1,1,2000-11-01,0822,Terra,MODIS,45,6.2,306.9,5.8,D,0
13.6111,36.4521,328.6,1,1,2000-11-01,0822,Terra,MODIS,72,6.2,309,12.1,D,0
13.3432,36.3943,320,1,1,2000-11-01,0822,Terra,MODIS,48,6.2,305.4,7.3,D,0
12.8635,36.5284,327.5,1,1,2000-11-01,0822,Terra,MODIS,76,6.2,302.6,17.2,D,0
12.8622,36.5376,339.8,1,1,2000-11-01,0822,Terra,MODIS,88,6.2,303.4,35.1,D,0
11.8115,36.0363,321.4,1,1,2000-11-01,0822,Terra,MODIS,70,6.2,303.7,10.6,D,0
11.8102,36.0456,331.5,1,1,2000-11-01,0822,Terra,MODIS,83,6.2,304.1,22.9,D,0
11.8137,35.3768,353.1,1.1,1,2000-11-01,0822,Terra,MODIS,96,6.2,305.6,62.7,D,0
11.8123,35.3865,351.4,1.1,1,2000-11-01,0822,Terra,MODIS,95,6.2,305.5,58.7,D,0
11.8045,35.3755,323.2,1.1,1,2000-11-01,0822,Terra,MODIS,63,6.2,304.7,10.4,D,0
11.653,36.2422,314.9,1,1,2000-11-01,0822,Terra,MODIS,56,6.2,299.7,6.9,D,0
11.6445,36.2345,316.4,1,1,2000-11-01,0822,Terra,MODIS,63,6.2,299.3,9.2,D,0
11.7936,35.0693,333.3,1.1,1,2000-11-01,0822,Terra,MODIS,82,6.2,303.7,26.4,D,0
11.7922,35.0792,326.6,1.1,1,2000-11-01,0822,Terra,MODIS,74,6.2,303.8,16.4,D,0
11.7704,35.1662,324.8,1.1,1,2000-11-01,0822,Terra,MODIS,71,6.2,308.4,10.3,D,0
11.6258,35.6003,314.4,1,1,2000-11-01,0822,Terra,MODIS,44,6.2,299.8,5.7,D,0
11.5543,35.193,328.8,1.1,1,2000-11-01,0822,Terra,MODIS,78,6.2,304.1,18.3,D,0
11.4604,35.5352,314.7,1,1,2000-11-01,0822,Terra,MODIS,47,6.2,300.2,5.6,D,0
