latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.0476,2.3072,303.1,1,1,2000-11-02,2145,Terra,MODIS,46,6.2,279.8,9.2,N,0
51.0443,2.3145,312.1,1,1,2000-11-03,1117,Terra,MODIS,38,6.2,283.1,11.8,D,2
51.0387,2.2916,307.2,1,1,2000-11-03,1117,Terra,MODIS,0,6.2,283.4,9.5,D,2
51.0467,2.3206,302.1,1.3,1.1,2000-11-04,2132,Terra,MODIS,35,6.2,277.7,12.1,N,0
51.0475,2.3193,307.5,1.1,1,2000-11-05,1104,Terra,MODIS,0,6.2,271.5,11.6,D,0
48.476,6.4448,300.1,1.1,1,2000-11-05,1105,Terra,MODIS,25,6.2,282,6.9,D,0
43.4511,4.8961,300.3,1.1,1.1,2000-11-05,1106,Terra,MODIS,17,6.2,289.5,4.3,D,2
43.4393,4.9067,300.7,1.1,1.1,2000-11-05,1106,Terra,MODIS,0,6.2,289.1,4,D,2
43.4438,4.8994,313.7,1,1,2000-11-07,1054,Terra,MODIS,56,6.2,280.8,15.3,D,2
43.4427,4.8979,303.7,1.1,1,2000-11-07,2201,Terra,MODIS,57,6.2,279.8,10.1,N,2
51.0384,2.2935,304.6,1.1,1,2000-11-10,1123,Terra,MODIS,38,6.2,283,8.3,D,2
43.4516,4.9006,300.6,1.9,1.3,2000-11-10,1125,Terra,MODIS,30,6.2,285.4,14,D,2
43.4435,4.9046,302.7,1.6,1.2,2000-11-11,1030,Terra,MODIS,40,6.2,287.2,12.6,D,2
43.6692,3.9007,301.4,1,1,2000-11-14,1100,Terra,MODIS,47,6.2,285.5,5.8,D,0
43.4479,4.9026,304.2,1,1,2000-11-14,1100,Terra,MODIS,51,6.2,286.3,7.1,D,2
51.0315,2.2883,310.3,1,1,2000-11-16,2157,Terra,MODIS,71,6.2,278,13.4,N,2
51.0296,2.274,323.5,1,1,2000-11-16,2157,Terra,MODIS,100,6.2,277.6,25.8,N,2
43.4449,4.8968,309.6,1.3,1.1,2000-11-18,1036,Terra,MODIS,52,6.2,284.4,17.3,D,2
43.4509,4.8934,301.4,1.1,1.1,2000-11-21,1106,Terra,MODIS,40,6.2,277.9,8.6,D,2
51.0265,2.2843,307.7,1.7,1.3,2000-11-22,2120,Terra,MODIS,72,6.2,277.5,26.2,N,2
51.0335,2.2738,311.5,1.7,1.3,2000-11-22,2120,Terra,MODIS,65,6.2,278.2,30.6,N,2
43.4524,4.8925,300.8,1.1,1.1,2000-11-25,1042,Terra,MODIS,30,6.2,283.9,6.6,D,2
43.4507,4.9064,301.5,1.1,1.1,2000-11-25,1042,Terra,MODIS,16,6.2,283.5,6.8,D,2
43.4468,4.8763,313.4,1.2,1.1,2000-11-27,2136,Terra,MODIS,87,6.2,275.3,22.3,N,0
51.0378,2.2803,300.8,3.8,1.8,2000-12-01,2252,Terra,MODIS,33,6.2,280,52.9,N,0
43.4459,4.9003,300.7,2.3,1.5,2000-12-03,1130,Terra,MODIS,0,6.2,284.5,19.9,D,2
43.4488,4.9015,300.4,1.3,1.1,2000-12-04,1035,Terra,MODIS,27,6.2,283.9,8.8,D,2
51.0435,2.3121,304.1,1,1,2000-12-04,2144,Terra,MODIS,58,6.2,280.6,9.9,N,2
51.0395,2.294,304.3,1.3,1.1,2000-12-06,2131,Terra,MODIS,59,6.2,279.6,14,N,2
49.3218,6.0886,305.6,1,1,2000-12-09,1052,Terra,MODIS,62,6.2,280.8,9.6,D,2
43.4508,4.8938,301,1.1,1,2000-12-09,2200,Terra,MODIS,36,6.2,280,7.9,N,2
51.047,2.3143,304.8,1.1,1,2000-12-09,2202,Terra,MODIS,53,6.2,279.3,10.6,N,0
51.0452,2.2992,303.7,1.1,1,2000-12-09,2202,Terra,MODIS,57,6.2,279.5,10.2,N,2
43.7901,4.4986,304,1.2,1.1,2000-12-11,1041,Terra,MODIS,58,6.2,277.8,10.6,D,0
43.7884,4.5133,304.3,1.2,1.1,2000-12-11,1041,Terra,MODIS,58,6.2,277.3,10.8,D,0
43.7872,4.507,309.7,1.2,1.1,2000-12-11,1041,Terra,MODIS,69,6.2,277.3,16.5,D,0
42.441,2.3963,310.9,1.5,1.2,2000-12-12,1124,Terra,MODIS,44,6.2,281.6,21.9,D,0
51.0425,2.2902,302.6,1.1,1.1,2000-12-13,2138,Terra,MODIS,41,6.2,280.3,9.7,N,2
43.4438,4.8978,321.1,1,1,2000-12-16,1059,Terra,MODIS,61,6.2,284.1,22.5,D,2
42.3544,8.9807,319.1,2,1.4,2000-12-17,1005,Terra,MODIS,53,6.2,274.8,56.4,D,0
42.3505,8.996,326,2,1.4,2000-12-17,1005,Terra,MODIS,69,6.2,276.7,77,D,0
43.444,4.8955,302.3,1.3,1.1,2000-12-20,1035,Terra,MODIS,39,6.2,279.7,10.8,D,2
51.029,2.2841,323.3,1,1,2000-12-21,1116,Terra,MODIS,67,6.2,277.8,23.5,D,2
51.0273,2.2789,310.8,3.2,1.7,2000-12-22,1021,Terra,MODIS,38,6.2,274.7,70.2,D,2
51.0303,2.2715,306.1,3.2,1.7,2000-12-22,1021,Terra,MODIS,55,6.2,274.9,62.5,D,0
43.4998,5.2018,304.4,1.4,1.2,2000-12-22,2130,Terra,MODIS,60,6.2,279.1,16,N,0
43.4966,5.1851,328.1,1.4,1.2,2000-12-22,2130,Terra,MODIS,100,6.2,279.9,49.5,N,0
51.0406,2.2978,302.9,1.1,1,2000-12-23,1104,Terra,MODIS,39,6.2,276.4,9.4,D,2
43.4476,4.901,300.7,1.1,1,2000-12-25,2200,Terra,MODIS,32,6.2,278.2,8.9,N,2
43.4421,4.9021,307.4,1.6,1.2,2000-12-29,1029,Terra,MODIS,0,6.2,281,21.1,D,2
43.447,4.8828,300.4,2.4,1.5,2000-12-31,1016,Terra,MODIS,0,6.2,277.6,27.9,D,0
