latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.6265,44.4618,306.5,1,1,2000-11-08,0820,Terra,MODIS,59,6.2,281.9,9.1,D,0
42.6175,44.4594,300.2,1,1,2000-11-08,0820,Terra,MODIS,4,6.2,283.7,4.9,D,0
42.5346,41.657,310,2.8,1.6,2000-11-16,0909,Terra,MODIS,69,6.2,289.1,47.3,D,0
42.7427,42.9677,313.6,1.1,1,2000-11-17,0814,Terra,MODIS,64,6.2,289.3,15.2,D,0
43.2652,40.4524,304.4,1.1,1.1,2000-11-20,0844,Terra,MODIS,56,6.2,286.4,9.2,D,0
43.2626,40.4668,301.9,1.1,1.1,2000-11-20,0844,Terra,MODIS,43,6.2,287.4,7.2,D,0
43.3409,40.4252,304.1,1.4,1.2,2000-11-20,1951,Terra,MODIS,59,6.2,279.7,16.6,N,0
42.8628,42.9227,304.2,1,1,2000-12-01,0825,Terra,MODIS,42,6.2,282.5,8.9,D,0
43.2626,40.326,301.7,2.4,1.5,2000-12-30,0754,Terra,MODIS,43,6.2,289.8,18,D,0
42.5318,41.7185,304.8,1.9,1.4,2000-12-30,0755,Terra,MODIS,60,6.2,288.9,17.6,D,0
