latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.3467,-9.0159,318.2,1.3,1.1,2000-11-01,1140,Terra,MODIS,67,6.2,301.4,12.5,D,0
12.0814,-9.4781,314.3,1.3,1.1,2000-11-01,1140,Terra,MODIS,43,6.2,296.3,9.1,D,0
12.0797,-9.4669,315.6,1.3,1.1,2000-11-01,1140,Terra,MODIS,59,6.2,296.1,10.2,D,0
12.3857,-12.5234,321.4,1,1,2000-11-01,1140,Terra,MODIS,77,6.2,296.3,12.7,D,0
11.8053,-8.8458,319.4,1.4,1.2,2000-11-01,1140,Terra,MODIS,41,6.2,302.2,12.3,D,0
11.8078,-8.8391,317.9,1.4,1.2,2000-11-01,1140,Terra,MODIS,44,6.2,303.1,10.9,D,0
11.4799,-9.0498,320.2,1.4,1.2,2000-11-01,1140,Terra,MODIS,72,6.2,301.6,13.8,D,0
11.5228,-9.6382,315.8,1.2,1.1,2000-11-01,1140,Terra,MODIS,47,6.2,293.9,10.3,D,0
11.564,-12.8278,313.8,1,1,2000-11-01,1140,Terra,MODIS,67,6.2,293.8,8.1,D,0
11.3125,-11.5101,315,1,1,2000-11-01,1140,Terra,MODIS,68,6.2,297.5,7.9,D,0
11.0299,-10.025,320.5,1.2,1.1,2000-11-01,1140,Terra,MODIS,72,6.2,299.4,14.8,D,0
10.871,-9.9956,317.6,1.2,1.1,2000-11-01,1140,Terra,MODIS,69,6.2,301.6,10.8,D,0
11.41,-13.9915,324.1,1,1,2000-11-01,1140,Terra,MODIS,80,6.2,292,17.8,D,0
11.4086,-13.982,312.5,1,1,2000-11-01,1140,Terra,MODIS,67,6.2,291.7,6.4,D,0
10.1554,-12.4571,311.9,1,1,2000-11-01,1140,Terra,MODIS,52,6.2,294.8,5.6,D,0
9.912,-12.6784,308.3,1,1,2000-11-01,1140,Terra,MODIS,53,6.2,291.4,3.7,D,0
9.7925,-12.7455,312.4,1,1,2000-11-01,1140,Terra,MODIS,65,6.2,293.2,6.3,D,0
9.7469,-12.6229,312.2,1,1,2000-11-01,1140,Terra,MODIS,61,6.2,289.9,6.2,D,0
11.5242,-11.4728,302.4,1.2,1.1,2000-11-02,2312,Terra,MODIS,49,6.2,285.4,7.1,N,0
12.2872,-11.6938,320.7,1.1,1.1,2000-11-03,1127,Terra,MODIS,78,6.2,296.5,14.2,D,0
12.2857,-11.6834,323.8,1.1,1.1,2000-11-03,1127,Terra,MODIS,81,6.2,301.1,17.7,D,0
12.088,-10.3009,318,1,1,2000-11-03,1127,Terra,MODIS,73,6.2,297.4,10.4,D,0
12.0392,-10.0916,320.7,1,1,2000-11-03,1127,Terra,MODIS,76,6.2,293.6,12.3,D,0
11.8073,-8.8888,319.3,1,1,2000-11-03,1128,Terra,MODIS,68,6.2,299.9,8.8,D,0
12.2909,-12.5237,303.3,1.3,1.1,2000-11-03,1128,Terra,MODIS,23,6.2,274.9,5,D,0
12.2893,-12.5122,307.8,1.3,1.1,2000-11-03,1128,Terra,MODIS,57,6.2,277.9,8.7,D,0
11.7489,-9.0534,317,1,1,2000-11-03,1128,Terra,MODIS,39,6.2,302,4.3,D,0
11.9776,-11.6603,315.7,1.1,1.1,2000-11-03,1128,Terra,MODIS,73,6.2,294.8,10.2,D,0
11.9696,-11.6722,318.3,1.1,1.1,2000-11-03,1128,Terra,MODIS,76,6.2,294.7,13.1,D,0
11.9682,-11.6618,333.3,1.1,1.1,2000-11-03,1128,Terra,MODIS,87,6.2,296.1,33.7,D,0
11.2554,-8.6517,320.5,1,1,2000-11-03,1128,Terra,MODIS,65,6.2,305.8,7.4,D,0
11.4474,-10.0103,316.5,1,1,2000-11-03,1128,Terra,MODIS,67,6.2,295.6,8.7,D,0
11.6271,-11.469,333.7,1.1,1,2000-11-03,1128,Terra,MODIS,88,6.2,295.2,34.3,D,0
11.3146,-9.5452,315.9,1,1,2000-11-03,1128,Terra,MODIS,61,6.2,300.7,6.6,D,0
11.2721,-9.5052,316.3,1,1,2000-11-03,1128,Terra,MODIS,60,6.2,301.3,6.4,D,0
11.1287,-8.6677,322.7,1,1,2000-11-03,1128,Terra,MODIS,72,6.2,303.8,11,D,0
11.1273,-8.6584,315.9,1,1,2000-11-03,1128,Terra,MODIS,42,6.2,302.6,4.2,D,0
