latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.6633,43.9678,313.5,1,1,2000-11-01,0815,Terra,MODIS,64,6.2,300.3,5.6,D,0
35.5662,44.2843,322.2,1,1,2000-11-01,0815,Terra,MODIS,77,6.2,300.1,13.8,D,2
35.5298,44.3348,321.8,1.1,1,2000-11-01,0815,Terra,MODIS,76,6.2,300,13.1,D,2
35.5279,44.3462,325,1.1,1,2000-11-01,0815,Terra,MODIS,80,6.2,300.6,16.8,D,2
35.4614,44.4188,321.4,1.1,1,2000-11-01,0815,Terra,MODIS,67,6.2,296.1,13.9,D,2
35.4151,44.1892,317.4,1,1,2000-11-01,0816,Terra,MODIS,70,6.2,298.9,10.2,D,2
35.4096,44.2233,320,1,1,2000-11-01,0816,Terra,MODIS,74,6.2,298.7,12.7,D,2
35.3824,44.2168,312.7,1,1,2000-11-01,0816,Terra,MODIS,61,6.2,298.6,6.3,D,2
35.2463,44.4269,344.9,1.1,1,2000-11-01,0816,Terra,MODIS,93,6.2,300.9,49.5,D,2
35.2444,44.4384,336.1,1.1,1,2000-11-01,0816,Terra,MODIS,88,6.2,299.9,33.3,D,2
32.1044,47.5541,321.4,1.7,1.3,2000-11-01,0816,Terra,MODIS,71,6.2,306.4,18.2,D,0
31.5517,47.7095,315.2,1.8,1.3,2000-11-01,0816,Terra,MODIS,37,6.2,300,15.4,D,0
30.88,47.3308,322.7,1.7,1.3,2000-11-01,0817,Terra,MODIS,68,6.2,307.6,20,D,2
30.6109,47.3238,322.8,1.8,1.3,2000-11-01,0817,Terra,MODIS,67,6.2,306.9,19.4,D,2
30.6151,47.3192,320,1.8,1.3,2000-11-01,0817,Terra,MODIS,63,6.2,307.1,14.9,D,2
30.6117,47.3372,321,1.8,1.3,2000-11-01,0817,Terra,MODIS,65,6.2,306.7,17.4,D,2
30.5622,47.3432,321,1.8,1.3,2000-11-01,0817,Terra,MODIS,59,6.2,306.5,16.4,D,2
30.5507,47.3402,325.7,1.8,1.3,2000-11-01,0817,Terra,MODIS,74,6.2,306.2,28.1,D,2
30.417,47.6095,325.7,1.9,1.3,2000-11-01,0817,Terra,MODIS,74,6.2,306.2,30.9,D,2
30.3624,47.6349,320.4,1.9,1.3,2000-11-01,0817,Terra,MODIS,39,6.2,306.2,15.7,D,2
30.3692,47.6311,321.3,1.9,1.3,2000-11-01,0817,Terra,MODIS,66,6.2,306.5,19.7,D,2
30.3655,47.6501,320.3,1.9,1.3,2000-11-01,0817,Terra,MODIS,63,6.2,306.1,17.6,D,2
30.3269,47.7207,321.4,1.9,1.3,2000-11-01,0817,Terra,MODIS,66,6.2,304.9,22,D,2
30.2717,47.7468,319.5,1.9,1.4,2000-11-01,0817,Terra,MODIS,61,6.2,304.8,16.6,D,2
30.2637,47.7243,320.2,1.9,1.3,2000-11-01,0817,Terra,MODIS,63,6.2,305.7,18.3,D,2
30.2786,47.3652,325.8,1.8,1.3,2000-11-01,0817,Terra,MODIS,75,6.2,305.3,31.7,D,2
30.2187,47.3825,319.8,1.8,1.3,2000-11-01,0817,Terra,MODIS,52,6.2,304.4,15.9,D,2
30.2152,47.401,327.2,1.8,1.3,2000-11-01,0817,Terra,MODIS,77,6.2,305.1,34.9,D,2
30.2071,47.3795,318.9,1.8,1.3,2000-11-01,0817,Terra,MODIS,39,6.2,304.3,13.7,D,2
30.2035,47.3979,330.8,1.8,1.3,2000-11-01,0817,Terra,MODIS,81,6.2,304.5,45.4,D,2
