latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.3391,57.4144,300.5,3.9,1.8,2000-11-01,0633,Terra,MODIS,39,6.2,279.2,42.1,D,2
48.3342,57.4057,303.8,3.9,1.8,2000-11-01,0633,Terra,MODIS,57,6.2,279.4,56.6,D,2
48.3328,57.4596,308.3,3.8,1.8,2000-11-01,0633,Terra,MODIS,67,6.2,279.7,75.7,D,2
42.8634,70.2562,301.5,1,1,2000-11-01,0635,Terra,MODIS,47,6.2,287.7,4.1,D,0
41.9195,68.0192,300.3,1,1,2000-11-01,0635,Terra,MODIS,35,6.2,287.5,3.9,D,0
41.8271,67.9528,309.4,1,1,2000-11-01,0635,Terra,MODIS,69,6.2,288.8,9.1,D,0
41.8255,67.9651,307,1,1,2000-11-01,0635,Terra,MODIS,65,6.2,288.6,7.3,D,0
41.8182,67.9574,310.4,1,1,2000-11-01,0635,Terra,MODIS,70,6.2,289.2,9.9,D,0
51.2873,53.3315,307.8,1.3,1.1,2000-11-01,0811,Terra,MODIS,66,6.2,275.9,16.6,D,0
50.4481,56.045,310.6,1.7,1.3,2000-11-01,0811,Terra,MODIS,70,6.2,273.7,29.3,D,0
50.4523,56.0417,301.4,1.7,1.3,2000-11-01,0811,Terra,MODIS,47,6.2,272.9,17.2,D,0
50.4412,56.0356,309.4,1.7,1.3,2000-11-01,0811,Terra,MODIS,69,6.2,273.3,28.8,D,0
51.205,52.2048,307.3,1.2,1.1,2000-11-01,0811,Terra,MODIS,65,6.2,270.4,14.6,D,0
50.6358,52.6663,302,1.2,1.1,2000-11-01,0811,Terra,MODIS,50,6.2,279.3,9.5,D,0
50.6453,51.2376,315,1.1,1.1,2000-11-01,0811,Terra,MODIS,75,6.2,281.1,18.5,D,0
48.3287,57.4342,327.8,2.4,1.5,2000-11-01,0811,Terra,MODIS,85,6.2,280.9,98.6,D,2
52.8806,62.5354,303.2,1,1,2000-11-02,0715,Terra,MODIS,36,6.2,279.1,7.6,D,0
52.8739,62.5173,302.1,1,1,2000-11-02,0715,Terra,MODIS,51,6.2,279,7.5,D,0
52.8718,62.5319,315.3,1,1,2000-11-02,0715,Terra,MODIS,76,6.2,279,16.6,D,0
52.8213,62.1059,303.8,1,1,2000-11-02,0715,Terra,MODIS,57,6.2,280,9,D,0
52.2571,62.2815,308.7,1,1,2000-11-02,0715,Terra,MODIS,67,6.2,279.8,11.8,D,0
50.9608,64.9409,302.9,1.1,1,2000-11-02,0715,Terra,MODIS,33,6.2,278.8,8.7,D,0
50.9581,64.956,329,1.1,1,2000-11-02,0715,Terra,MODIS,86,6.2,279.5,34.8,D,0
50.9517,64.9369,300.8,1.1,1,2000-11-02,0715,Terra,MODIS,42,6.2,278.7,7.9,D,0
50.949,64.9521,308.9,1.1,1,2000-11-02,0715,Terra,MODIS,68,6.2,278.6,13.5,D,0
47.7627,67.7481,307.6,1.6,1.3,2000-11-02,0716,Terra,MODIS,66,6.2,281.4,20.8,D,2
47.7639,67.743,304.7,1.6,1.3,2000-11-02,0716,Terra,MODIS,60,6.2,281.5,16,D,2
45.6821,61.9269,306.2,1.1,1,2000-11-02,0717,Terra,MODIS,60,6.2,286.8,8.8,D,0
45.2083,64.3475,303.3,1.3,1.1,2000-11-02,0717,Terra,MODIS,56,6.2,286.5,8.6,D,0
45.2053,64.3635,308.6,1.3,1.1,2000-11-02,0717,Terra,MODIS,67,6.2,285.9,13.3,D,0
46.1593,53.4116,373.5,1.6,1.2,2000-11-02,0717,Terra,MODIS,100,6.2,289.7,257.1,D,2
46.1574,53.4322,303.8,1.6,1.2,2000-11-02,0717,Terra,MODIS,57,6.2,285,13.2,D,2
42.9896,68.933,353.2,2.5,1.5,2000-11-02,0717,Terra,MODIS,97,6.2,291.6,270.9,D,0
42.9764,68.9271,300.5,2.5,1.5,2000-11-02,0717,Terra,MODIS,37,6.2,288.5,13.8,D,0
46.4845,49.2412,306.5,3.7,1.8,2000-11-02,0855,Terra,MODIS,60,6.2,288,50.9,D,0
46.4921,49.2406,303,3.7,1.8,2000-11-02,0855,Terra,MODIS,52,6.2,288,36.2,D,0
46.1511,53.4128,326.9,1.1,1,2000-11-02,1825,Terra,MODIS,100,6.2,280.4,33,N,2
46.1602,53.4096,375.2,1.1,1,2000-11-02,1825,Terra,MODIS,100,6.2,283.5,154.5,N,2
46.1579,53.396,323.1,1.1,1,2000-11-02,1825,Terra,MODIS,100,6.2,278.3,28,N,2
48.336,57.436,320.5,1.1,1,2000-11-02,1826,Terra,MODIS,100,6.2,274.7,26.7,N,2
48.3343,57.4217,305.3,1.1,1,2000-11-02,1826,Terra,MODIS,64,6.2,272.8,13.2,N,2
45.3664,64.2285,316.9,2.3,1.5,2000-11-03,0622,Terra,MODIS,77,6.2,286,53,D,0
45.1121,64.5589,302.3,2.2,1.4,2000-11-03,0622,Terra,MODIS,45,6.2,286.9,15.9,D,0
44.978,64.8368,308,2.1,1.4,2000-11-03,0622,Terra,MODIS,36,6.2,286.3,23.4,D,0
44.9779,64.831,313.4,2.1,1.4,2000-11-03,0622,Terra,MODIS,69,6.2,286.5,37.4,D,0
44.563,64.1326,301.1,2.3,1.5,2000-11-03,0622,Terra,MODIS,44,6.2,285.3,13.9,D,0
44.5611,64.1612,302.1,2.3,1.5,2000-11-03,0622,Terra,MODIS,50,6.2,286.1,15.6,D,0
44.1559,66.5961,301.9,1.6,1.3,2000-11-03,0622,Terra,MODIS,49,6.2,290,7.9,D,0
46.1497,53.4186,303.6,1.2,1.1,2000-11-03,0800,Terra,MODIS,0,6.2,266.4,12.9,D,2
48.3371,57.4516,301.5,2.6,1.6,2000-11-03,1731,Terra,MODIS,42,6.2,271.8,39.6,N,2
48.3286,57.4178,322.1,2.6,1.6,2000-11-03,1731,Terra,MODIS,100,6.2,272.7,103.9,N,2
48.3419,57.444,302,2.6,1.6,2000-11-03,1731,Terra,MODIS,46,6.2,271.8,40.4,N,2
48.3333,57.4102,309.5,2.6,1.6,2000-11-03,1731,Terra,MODIS,77,6.2,271.8,59.6,N,2
46.1554,53.4094,337.7,2,1.4,2000-11-03,1908,Terra,MODIS,100,6.2,267.2,0,N,2
48.3365,57.4145,302.9,3.4,1.7,2000-11-03,1909,Terra,MODIS,52,6.2,271.4,67.3,N,2
50.1269,64.8718,307.9,1,1,2000-11-04,0704,Terra,MODIS,66,6.2,280.3,11.3,D,0
44.6181,76.9007,321.7,4.2,1.9,2000-11-04,0704,Terra,MODIS,71,6.2,285.1,162.5,D,0
