latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.5764,12.2085,304.9,1,1,2000-11-02,2138,Terra,MODIS,62,6.2,288.8,8.4,N,2
28.1961,9.8359,301.5,1.1,1,2000-11-02,2138,Terra,MODIS,42,6.2,286.4,7.6,N,0
27.5839,22.4011,311.5,1.3,1.1,2000-11-03,2042,Terra,MODIS,83,6.2,288,18.2,N,2
27.6418,22.4982,309.9,1.2,1.1,2000-11-03,2042,Terra,MODIS,79,6.2,289.2,15.5,N,2
27.6496,22.4837,303.3,1.2,1.1,2000-11-03,2042,Terra,MODIS,53,6.2,288.1,9.5,N,2
27.9827,22.3228,312.8,1.3,1.1,2000-11-03,2043,Terra,MODIS,86,6.2,288.8,19.4,N,2
28.8331,22.1206,303.7,1.2,1.1,2000-11-03,2043,Terra,MODIS,57,6.2,288.9,10.7,N,2
28.5194,19.8739,317.1,1.7,1.3,2000-11-03,2043,Terra,MODIS,94,6.2,288.1,38.1,N,0
28.5162,19.8567,314.4,1.7,1.3,2000-11-03,2043,Terra,MODIS,89,6.2,288.1,33.1,N,0
29.0555,20.7835,312.4,1.5,1.2,2000-11-03,2043,Terra,MODIS,85,6.2,289.7,22.6,N,2
28.9075,19.7727,314.2,1.7,1.3,2000-11-03,2043,Terra,MODIS,89,6.2,287.9,32.4,N,2
28.9045,19.7681,307.6,1.7,1.3,2000-11-03,2043,Terra,MODIS,72,6.2,287.8,23.2,N,2
27.6413,22.4982,300.6,2.3,1.5,2000-11-04,2125,Terra,MODIS,30,6.2,287.4,21.8,N,2
28.9114,19.7676,304.6,1.6,1.2,2000-11-04,2126,Terra,MODIS,61,6.2,286.6,17.5,N,2
28.9775,17.4654,304.3,1.2,1.1,2000-11-04,2126,Terra,MODIS,59,6.2,287.5,10.1,N,2
30.3975,19.6171,316.4,1.6,1.3,2000-11-04,2126,Terra,MODIS,93,6.2,288.9,32.7,N,2
30.3958,19.6006,305.1,1.6,1.2,2000-11-04,2126,Terra,MODIS,63,6.2,287.9,15.8,N,2
