latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-15.3738,48.7976,324.7,2.3,1.5,2000-11-01,0651,Terra,MODIS,73,6.2,292.8,47.5,D,0
-17.8553,44.2567,324.9,4.5,1.9,2000-11-01,0652,Terra,MODIS,37,6.2,294.3,94.1,D,0
-12.4178,49.0019,328.7,1.3,1.1,2000-11-02,0733,Terra,MODIS,80,6.2,310.5,14.6,D,0
-13.0483,49.2962,327.3,1.4,1.2,2000-11-02,0733,Terra,MODIS,42,6.2,303.9,27,D,0
-13.4731,49.2073,335.6,1.4,1.2,2000-11-02,0733,Terra,MODIS,85,6.2,311.8,34.7,D,0
-13.4748,49.2211,326,1.4,1.2,2000-11-02,0733,Terra,MODIS,62,6.2,308.9,14,D,0
-14.1925,48.8635,326.9,1.4,1.2,2000-11-02,0734,Terra,MODIS,75,6.2,303,26.8,D,0
-14.2028,48.8613,322.6,1.4,1.2,2000-11-02,0734,Terra,MODIS,63,6.2,304.1,21.8,D,0
-14.4324,48.1435,325.9,1.2,1.1,2000-11-02,0734,Terra,MODIS,77,6.2,308.2,12.4,D,0
-14.7356,48.4369,326.2,1.3,1.1,2000-11-02,0734,Terra,MODIS,78,6.2,303,21.4,D,0
-15.2472,47.9174,328.3,1.2,1.1,2000-11-02,0734,Terra,MODIS,74,6.2,306.6,17.2,D,0
-15.3315,48.1708,324.8,1.3,1.1,2000-11-02,0734,Terra,MODIS,69,6.2,304.5,15.4,D,0
-15.3331,48.1826,323,1.3,1.1,2000-11-02,0734,Terra,MODIS,65,6.2,305,12.3,D,0
-15.5498,48.5027,330.5,1.3,1.1,2000-11-02,0734,Terra,MODIS,76,6.2,300.3,28.9,D,0
-15.5461,48.4982,328.1,1.3,1.1,2000-11-02,0734,Terra,MODIS,70,6.2,302.3,25.8,D,0
-15.5732,47.3958,328.9,1.2,1.1,2000-11-02,0734,Terra,MODIS,75,6.2,309.6,10.8,D,0
-15.7321,47.3609,328.9,1.2,1.1,2000-11-02,0734,Terra,MODIS,75,6.2,307.6,14.6,D,0
-15.8609,47.5603,339.9,1.2,1.1,2000-11-02,0734,Terra,MODIS,87,6.2,310.6,33.1,D,0
-16.0513,47.4649,326.4,1.2,1.1,2000-11-02,0734,Terra,MODIS,57,6.2,307.5,7.9,D,0
-16.0528,47.4759,328.6,1.2,1.1,2000-11-02,0734,Terra,MODIS,72,6.2,309,11.3,D,0
-16.054,47.4693,328.2,1.2,1.1,2000-11-02,0734,Terra,MODIS,74,6.2,308.2,10.2,D,0
-16.2011,48.1248,335.3,1.3,1.1,2000-11-02,0734,Terra,MODIS,85,6.2,307.2,29.9,D,0
-16.2098,48.112,335.9,1.3,1.1,2000-11-02,0734,Terra,MODIS,85,6.2,306.5,32.1,D,0
-16.3401,47.8668,315.8,1.3,1.1,2000-11-02,0734,Terra,MODIS,49,6.2,300.6,7.5,D,0
-16.5827,48.4039,327.5,1.4,1.2,2000-11-02,0734,Terra,MODIS,67,6.2,307.2,17.9,D,0
-16.5818,48.3145,334.9,1.3,1.1,2000-11-02,0734,Terra,MODIS,85,6.2,308.4,28.1,D,0
-16.2732,45.9004,327.1,1,1,2000-11-02,0734,Terra,MODIS,69,6.2,307.7,8.2,D,0
-16.245,45.1922,332.1,1,1,2000-11-02,0734,Terra,MODIS,64,6.2,306.8,10.8,D,0
-16.3191,45.6431,337.8,1,1,2000-11-02,0734,Terra,MODIS,84,6.2,310.2,20.3,D,0
-16.702,48.2923,343.5,1.3,1.1,2000-11-02,0734,Terra,MODIS,86,6.2,300.9,58.2,D,0
-16.9088,44.6968,354.9,1,1,2000-11-02,0734,Terra,MODIS,97,6.2,296.3,63,D,0
-17.3366,47.7819,322.6,1.3,1.1,2000-11-02,0734,Terra,MODIS,72,6.2,303.5,12.7,D,0
-17.4802,47.2541,325.1,1.2,1.1,2000-11-02,0734,Terra,MODIS,69,6.2,304.1,12.1,D,0
-17.4818,47.2654,324.5,1.2,1.1,2000-11-02,0734,Terra,MODIS,67,6.2,303,12.5,D,0
-17.2267,44.8584,354.3,1,1,2000-11-02,0734,Terra,MODIS,97,6.2,301.8,57.6,D,0
-17.9408,47.579,317,1.3,1.1,2000-11-02,0735,Terra,MODIS,64,6.2,297.2,12.8,D,0
-17.6943,44.7842,337.7,1,1,2000-11-02,0735,Terra,MODIS,73,6.2,303.8,24.6,D,0
-17.654,44.0733,328,1,1,2000-11-02,0735,Terra,MODIS,58,6.2,304.8,10.3,D,0
-17.6554,44.0827,326.7,1,1,2000-11-02,0735,Terra,MODIS,61,6.2,303.3,8.7,D,0
-17.9084,44.4244,334.8,1,1,2000-11-02,0735,Terra,MODIS,55,6.2,307.4,18.6,D,0
-18.7205,49.1582,311.9,1.6,1.3,2000-11-02,0735,Terra,MODIS,0,6.2,292.4,9.1,D,0
-18.5896,47.4826,319.2,1.3,1.1,2000-11-02,0735,Terra,MODIS,67,6.2,301.3,9.6,D,0
-19.5484,47.7414,319.3,1.4,1.2,2000-11-02,0735,Terra,MODIS,65,6.2,304.4,10.4,D,0
-19.8832,44.5994,323.6,1,1,2000-11-02,0735,Terra,MODIS,77,6.2,307.6,11.9,D,0
