latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-10.0086,33.7003,323.6,1.6,1.2,2000-11-05,0804,Terra,MODIS,29,6.2,300.2,17.3,D,0
-10.0105,33.7083,321.8,1.6,1.2,2000-11-05,0804,Terra,MODIS,27,6.2,298.7,13.2,D,0
-11.1271,34.136,320.9,1.4,1.2,2000-11-05,0804,Terra,MODIS,32,6.2,297.6,15.2,D,0
-11.1336,34.1091,323.2,1.4,1.2,2000-11-05,0804,Terra,MODIS,57,6.2,297.4,19.2,D,0
-10.2204,34,323.5,2.2,1.4,2000-11-06,0847,Terra,MODIS,72,6.2,301.6,20.2,D,0
-10.3396,33.9111,333.3,2.2,1.4,2000-11-06,0847,Terra,MODIS,83,6.2,296.6,80.8,D,0
-10.3381,33.9046,328.4,2.2,1.4,2000-11-06,0847,Terra,MODIS,79,6.2,296.1,62.6,D,0
-10.3405,33.924,317.6,2.2,1.4,2000-11-06,0847,Terra,MODIS,51,6.2,294.3,24,D,0
-9.7444,33.535,324.3,1.2,1.1,2000-11-08,0834,Terra,MODIS,52,6.2,302.6,16.6,D,0
-9.9356,33.4999,330.2,1.3,1.1,2000-11-12,0810,Terra,MODIS,76,6.2,297.7,22.8,D,0
-10.3219,33.9412,331.6,1.2,1.1,2000-11-12,0810,Terra,MODIS,76,6.2,306.1,20.6,D,0
-10.496,34.0679,372.6,1.2,1.1,2000-11-12,0810,Terra,MODIS,100,6.2,299.8,147.9,D,0
-10.4976,34.0782,323,1.2,1.1,2000-11-12,0810,Terra,MODIS,42,6.2,299.4,12.5,D,0
-11.5607,33.8042,342.8,1.2,1.1,2000-11-12,0810,Terra,MODIS,90,6.2,299,48.3,D,0
-12.5807,34.1237,321.5,1.1,1.1,2000-11-12,0810,Terra,MODIS,63,6.2,288.9,8.6,D,0
-9.6721,33.6966,324.1,2.1,1.4,2000-11-14,0757,Terra,MODIS,72,6.2,297.4,27.3,D,0
-9.6718,33.6897,323.8,2.1,1.4,2000-11-14,0757,Terra,MODIS,66,6.2,297.4,28.8,D,0
-10.8509,34.1246,316.6,1.8,1.3,2000-11-15,0841,Terra,MODIS,50,6.2,294,17.4,D,0
-10.8531,34.1414,324.7,1.8,1.3,2000-11-15,0841,Terra,MODIS,75,6.2,294.5,37.8,D,0
-11.8361,33.7837,342,1.7,1.3,2000-11-15,0841,Terra,MODIS,90,6.2,299.2,85.8,D,0
-11.838,33.7992,350.1,1.7,1.3,2000-11-15,0841,Terra,MODIS,95,6.2,297.8,125.6,D,0
-11.8476,33.7821,326.3,1.7,1.3,2000-11-15,0841,Terra,MODIS,63,6.2,299.2,35.2,D,0
-11.8496,33.7977,340.9,1.7,1.3,2000-11-15,0841,Terra,MODIS,90,6.2,296.9,85.6,D,0
-11.8411,33.7945,395.4,1,1,2000-11-19,0816,Terra,MODIS,100,6.2,308.7,226.1,D,0
-11.8425,33.8039,351.1,1,1,2000-11-19,0816,Terra,MODIS,95,6.2,301.1,58.3,D,0
-11.8488,33.7873,323,1,1,2000-11-19,0816,Terra,MODIS,55,6.2,296.8,12.3,D,0
-11.8502,33.7966,363.3,1,1,2000-11-19,0816,Terra,MODIS,100,6.2,297.6,91.4,D,0
-12.2186,33.7342,324.6,1,1,2000-11-19,0816,Terra,MODIS,43,6.2,303.5,11.8,D,0
-12.2228,33.7621,328.9,1,1,2000-11-19,0816,Terra,MODIS,76,6.2,299.5,16,D,0
-11.8443,33.7934,302.2,1,1,2000-11-19,2031,Terra,MODIS,47,6.2,288.8,5.6,N,0
-11.7073,34.0573,310.7,1.4,1.2,2000-11-24,0834,Terra,MODIS,0,6.2,288.4,7.1,D,0
-15.0849,35.612,314.8,1.2,1.1,2000-12-07,2017,Terra,MODIS,90,6.2,289.7,16.7,N,0
-14.0278,34.8491,316,1.7,1.3,2000-12-10,0834,Terra,MODIS,0,6.2,297.8,15.9,D,0
-15.5191,35.7536,311,2.1,1.4,2000-12-26,0835,Terra,MODIS,62,6.2,284.2,20.6,D,0
-15.5215,35.7732,313.8,2.1,1.4,2000-12-26,0835,Terra,MODIS,73,6.2,283.2,26.6,D,0
-15.5211,35.7666,318,2.1,1.4,2000-12-26,0835,Terra,MODIS,76,6.2,283.8,35.1,D,0
