latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.4021,-8.6353,350.7,1.3,1.1,2000-11-01,1139,Terra,MODIS,95,6.2,313.4,69.3,D,0
15.3922,-8.637,374.6,1.3,1.1,2000-11-01,1139,Terra,MODIS,100,6.2,311.6,166.1,D,0
14.2002,-7.0931,344.4,1.7,1.3,2000-11-01,1139,Terra,MODIS,92,6.2,302.7,89.2,D,0
14.7739,-11.17,344.7,1,1,2000-11-01,1139,Terra,MODIS,91,6.2,310.5,36.9,D,0
14.7725,-11.1607,348.3,1,1,2000-11-01,1139,Terra,MODIS,94,6.2,311.6,45.6,D,0
14.0553,-7.4711,339.5,1.6,1.2,2000-11-01,1139,Terra,MODIS,89,6.2,295.8,68,D,0
14.1405,-9.0152,334.5,1.2,1.1,2000-11-01,1139,Terra,MODIS,85,6.2,306.3,27.1,D,0
14.0946,-9.0522,320.6,1.2,1.1,2000-11-01,1139,Terra,MODIS,55,6.2,298.8,9.6,D,0
13.9838,-8.9358,310.3,1.3,1.1,2000-11-01,1139,Terra,MODIS,42,6.2,286.1,8.1,D,0
14.4284,-11.9429,311.6,1,1,2000-11-01,1139,Terra,MODIS,58,6.2,278.7,6.9,D,0
13.8559,-8.9696,316.1,1.3,1.1,2000-11-01,1139,Terra,MODIS,31,6.2,275.9,16.1,D,0
13.8495,-8.9943,354.6,1.3,1.1,2000-11-01,1139,Terra,MODIS,80,6.2,274.6,90.2,D,0
13.8477,-8.9828,339.3,1.3,1.1,2000-11-01,1139,Terra,MODIS,36,6.2,273.1,50.1,D,0
13.4316,-8.5685,342.8,1.4,1.2,2000-11-01,1139,Terra,MODIS,92,6.2,280.2,66.9,D,0
13.4233,-8.5825,340.2,1.4,1.2,2000-11-01,1139,Terra,MODIS,90,6.2,277.5,60.1,D,0
13.4252,-8.576,341,1.4,1.2,2000-11-01,1139,Terra,MODIS,88,6.2,278.7,63.2,D,0
13.4002,-9.2624,313.9,1.2,1.1,2000-11-01,1139,Terra,MODIS,55,6.2,288.7,7.9,D,0
13.3321,-9.2222,317.5,1.2,1.1,2000-11-01,1139,Terra,MODIS,72,6.2,296.5,9.6,D,0
12.7975,-8.705,313.7,1.4,1.2,2000-11-01,1139,Terra,MODIS,30,6.2,292.9,11.2,D,0
12.6523,-8.3842,322.8,1.4,1.2,2000-11-01,1139,Terra,MODIS,78,6.2,299.2,23.4,D,0
12.2943,-6.2779,315.8,2.1,1.4,2000-11-01,1139,Terra,MODIS,33,6.2,293.1,15.8,D,0
12.2932,-6.2849,320.7,2.1,1.4,2000-11-01,1139,Terra,MODIS,75,6.2,294.2,31,D,0
12.6758,-10.2449,317.2,1.1,1.1,2000-11-01,1140,Terra,MODIS,66,6.2,296.9,11.3,D,0
12.4251,-8.7973,321.6,1.4,1.2,2000-11-01,1140,Terra,MODIS,73,6.2,302.9,12.6,D,0
12.5449,-10.6935,321.4,1.1,1,2000-11-01,1140,Terra,MODIS,45,6.2,301.6,13.5,D,0
12.5434,-10.6837,320.9,1.1,1,2000-11-01,1140,Terra,MODIS,28,6.2,302.5,13.1,D,0
12.5326,-10.6754,317.8,1.1,1,2000-11-01,1140,Terra,MODIS,28,6.2,302,7.5,D,0
12.361,-9.5626,321.2,1.2,1.1,2000-11-01,1140,Terra,MODIS,31,6.2,288.6,17.4,D,0
12.3663,-10.7939,317.2,1.1,1,2000-11-01,1140,Terra,MODIS,41,6.2,291.7,11.6,D,0
12.3603,-10.7549,323.1,1.1,1,2000-11-01,1140,Terra,MODIS,77,6.2,300.9,15.1,D,0
12.3588,-10.7452,322.7,1.1,1,2000-11-01,1140,Terra,MODIS,77,6.2,298.8,15.1,D,0
11.9559,-8.4399,316.3,1.5,1.2,2000-11-01,1140,Terra,MODIS,67,6.2,301.4,10.4,D,0
12.1916,-10.5041,311.1,1.1,1,2000-11-01,1140,Terra,MODIS,33,6.2,295.5,5.2,D,0
11.8393,-8.6584,318.2,1.4,1.2,2000-11-01,1140,Terra,MODIS,63,6.2,302.2,10.9,D,0
11.6528,-8.7798,330.3,1.4,1.2,2000-11-01,1140,Terra,MODIS,83,6.2,302.7,34,D,0
11.5288,-8.4457,355,1.5,1.2,2000-11-01,1140,Terra,MODIS,97,6.2,303.7,117.5,D,0
11.5267,-8.4324,321.9,1.5,1.2,2000-11-01,1140,Terra,MODIS,74,6.2,302.3,20.8,D,0
11.5181,-8.4474,316.1,1.5,1.2,2000-11-01,1140,Terra,MODIS,50,6.2,299.4,11.8,D,0
15.2873,-9.3404,306.6,4.2,1.9,2000-11-01,2231,Terra,MODIS,66,6.2,293.3,54.9,N,0
15.3259,-7.8025,330.5,4,1.9,2000-11-02,1044,Terra,MODIS,79,6.2,308.1,125.3,D,0
15.3092,-7.8041,320.4,4,1.9,2000-11-02,1044,Terra,MODIS,55,6.2,306.5,46,D,0
15.3171,-7.774,321,3.9,1.8,2000-11-02,1044,Terra,MODIS,57,6.2,305.7,47.7,D,0
14.4595,-6.4536,322.6,3,1.7,2000-11-02,1044,Terra,MODIS,63,6.2,303.5,35.5,D,0
14.3621,-6.5286,320.9,3.1,1.7,2000-11-02,1044,Terra,MODIS,57,6.2,303.2,30.7,D,0
14.4412,-7.7352,320.2,3.8,1.8,2000-11-02,1044,Terra,MODIS,59,6.2,303.6,42.3,D,0
14.2385,-7.3563,325.4,3.6,1.8,2000-11-02,1044,Terra,MODIS,71,6.2,304.7,77.2,D,0
14.1864,-7.0097,323.9,3.3,1.7,2000-11-02,1044,Terra,MODIS,36,6.2,305.5,41.1,D,0
