latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.7133,-62.1738,321.3,1,1,2000-11-01,0244,Terra,MODIS,100,6.2,292.8,18.9,N,1
16.7088,-62.168,312.9,2.2,1.4,2000-11-04,1527,Terra,MODIS,32,6.2,289.8,20.9,D,2
16.7078,-62.1751,329.7,1.8,1.3,2000-11-05,0219,Terra,MODIS,100,6.2,293,69.1,N,1
16.7137,-62.1754,339.3,2.5,1.5,2000-11-05,1432,Terra,MODIS,68,6.2,297.2,140.3,D,1
16.707,-62.1826,334.9,2.5,1.5,2000-11-05,1432,Terra,MODIS,75,6.2,295.6,115.7,D,1
16.7045,-62.1609,319.9,2.5,1.5,2000-11-05,1432,Terra,MODIS,54,6.2,295.2,46,D,2
16.7083,-62.1728,325.2,1.1,1.1,2000-11-08,0250,Terra,MODIS,100,6.2,288.5,27,N,2
16.714,-62.1683,319.9,1.1,1.1,2000-11-08,0250,Terra,MODIS,99,6.2,288.1,20.7,N,1
16.7126,-62.1793,314.1,1.1,1.1,2000-11-08,0250,Terra,MODIS,84,6.2,287.3,14.7,N,1
16.7107,-62.1745,317.3,1,1,2000-11-10,0238,Terra,MODIS,93,6.2,291.7,15.3,N,1
16.7081,-62.1706,315.6,1.4,1.2,2000-11-12,0226,Terra,MODIS,89,6.2,292.8,23.3,N,2
16.7059,-62.1846,305.6,1.4,1.2,2000-11-12,0226,Terra,MODIS,33,6.2,291.1,10.9,N,2
16.7084,-62.1853,335,1.9,1.4,2000-11-12,1438,Terra,MODIS,82,6.2,298.7,78,D,1
16.7062,-62.1671,333.7,1.9,1.4,2000-11-12,1438,Terra,MODIS,65,6.2,300.4,72,D,2
16.7134,-62.1652,316.1,1.7,1.3,2000-11-13,1521,Terra,MODIS,39,6.2,294.1,17.5,D,2
16.7113,-62.1698,360.1,1.3,1.1,2000-11-22,1515,Terra,MODIS,87,6.2,295.1,122.3,D,1
16.7114,-62.1712,311.7,1,1,2000-12-03,0243,Terra,MODIS,76,6.2,289.2,11.6,N,1
16.7087,-62.1742,385.3,1.2,1.1,2000-12-05,0231,Terra,MODIS,100,6.2,300.2,221.7,N,1
16.7069,-62.1858,323.9,1.2,1.1,2000-12-05,0231,Terra,MODIS,100,6.2,292.4,25.6,N,2
16.7183,-62.1764,355.3,1.2,1.1,2000-12-05,0231,Terra,MODIS,100,6.2,293.8,93,N,1
16.7165,-62.1876,307.7,1.2,1.1,2000-12-05,0231,Terra,MODIS,35,6.2,290.7,8.5,N,1
16.7176,-62.172,314.9,2.1,1.4,2000-12-06,1526,Terra,MODIS,40,6.2,290.8,27,D,1
16.7092,-62.1675,324.8,1.7,1.3,2000-12-08,0301,Terra,MODIS,100,6.2,296.3,49,N,2
16.7074,-62.1836,308.7,1.7,1.3,2000-12-08,0301,Terra,MODIS,62,6.2,291.8,17.5,N,1
16.7155,-62.1823,316.9,1.3,1.1,2000-12-08,1514,Terra,MODIS,51,6.2,295.6,14.2,D,1
16.7135,-62.1702,383.2,1.3,1.1,2000-12-08,1514,Terra,MODIS,94,6.2,310.5,235.8,D,1
16.7203,-62.17,314.3,1.7,1.3,2000-12-15,1520,Terra,MODIS,46,6.2,298.9,20.7,D,1
16.7095,-62.1741,373.6,1.7,1.3,2000-12-15,1520,Terra,MODIS,75,6.2,302.9,261.9,D,1
16.7103,-62.1795,348,1.7,1.3,2000-12-15,1520,Terra,MODIS,89,6.2,299.1,113.2,D,1
16.7075,-62.1628,349.2,1.7,1.3,2000-12-15,1520,Terra,MODIS,0,6.2,300.6,119,D,2
16.7106,-62.172,325.5,2.4,1.5,2000-12-16,0213,Terra,MODIS,95,6.2,288.8,0,N,1
16.719,-62.1806,328.4,2.4,1.5,2000-12-16,0213,Terra,MODIS,80,6.2,290.1,93.9,N,1
16.7095,-62.1663,340.5,3.1,1.7,2000-12-25,0207,Terra,MODIS,100,6.2,287.9,0,N,2
16.7083,-62.1724,345.5,3.1,1.7,2000-12-25,0207,Terra,MODIS,100,6.2,288.3,0,N,2
16.7163,-62.1693,339.6,1,1,2000-12-26,1502,Terra,MODIS,90,6.2,300.7,38.6,D,1
16.7132,-62.1689,378.6,1,1,2000-12-28,0237,Terra,MODIS,100,6.2,305.7,152.2,N,1
16.7118,-62.1781,391.3,1,1,2000-12-28,0237,Terra,MODIS,100,6.2,303.5,211.9,N,1
16.7161,-62.1834,327.5,1.9,1.4,2000-12-30,1437,Terra,MODIS,76,6.2,295,52.6,D,1
16.7141,-62.1662,339.8,1.9,1.4,2000-12-30,1437,Terra,MODIS,68,6.2,300.9,97.1,D,2
