latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.8707,55.9251,330.3,1.2,1.1,2000-11-02,0723,Terra,MODIS,55,6.2,316.7,8.7,D,2
22.8612,55.9233,335.3,1.2,1.1,2000-11-02,0723,Terra,MODIS,75,6.2,316.7,17.7,D,2
22.8693,55.9193,309.9,2.1,1.4,2000-11-02,1819,Terra,MODIS,79,6.2,292.4,28,N,2
22.8685,55.9322,305.9,1.4,1.2,2000-11-03,1902,Terra,MODIS,66,6.2,290.3,11.7,N,2
22.8669,55.9183,314.8,1.4,1.2,2000-11-03,1902,Terra,MODIS,90,6.2,291.8,22.5,N,2
22.8657,55.9229,336.5,1,1,2000-11-04,0711,Terra,MODIS,81,6.2,311.1,20.9,D,2
22.8643,55.9326,325.7,1,1,2000-11-04,0711,Terra,MODIS,56,6.2,310.9,6.5,D,2
22.7801,55.8137,325.4,1,1,2000-11-04,0711,Terra,MODIS,53,6.2,310.6,6.5,D,0
21.3321,56.6983,303.4,1.1,1,2000-11-05,1849,Terra,MODIS,55,6.2,290.1,5.6,N,2
22.8637,55.9274,312.8,1,1,2000-11-05,1850,Terra,MODIS,86,6.2,292.1,12.5,N,2
22.8624,55.9175,305.3,1,1,2000-11-05,1850,Terra,MODIS,64,6.2,291.3,7.1,N,2
23.1821,55.4981,305.1,1,1,2000-11-05,1850,Terra,MODIS,63,6.2,291.1,7.2,N,0
22.8674,55.923,330.4,1.3,1.1,2000-11-06,0659,Terra,MODIS,73,6.2,306.7,20.6,D,2
22.8678,55.9292,327.8,1.3,1.1,2000-11-06,0659,Terra,MODIS,67,6.2,306.9,15.2,D,2
22.8657,55.9265,319.3,1.1,1,2000-11-07,1838,Terra,MODIS,98,6.2,293.6,18.9,N,2
22.8641,55.916,304.2,1.1,1,2000-11-07,1838,Terra,MODIS,59,6.2,293.1,6,N,2
22.8649,55.9266,303.6,1.6,1.2,2000-11-09,1825,Terra,MODIS,56,6.2,281.2,12.9,N,2
22.8672,55.9115,301.9,2.7,1.6,2000-11-11,1813,Terra,MODIS,45,6.2,289.7,20.7,N,2
18.3188,55.1043,305.3,1,1,2000-11-12,1855,Terra,MODIS,64,6.2,290.2,6.4,N,0
18.6857,55.5038,304.4,1,1,2000-11-12,1855,Terra,MODIS,60,6.2,289.1,6.7,N,0
22.8709,55.9287,304.7,1.2,1.1,2000-11-12,1856,Terra,MODIS,61,6.2,289.8,8.9,N,0
22.8695,55.9173,305.7,1.2,1.1,2000-11-12,1856,Terra,MODIS,65,6.2,289.6,9.7,N,2
22.8655,55.9291,336.6,1.1,1,2000-11-13,0705,Terra,MODIS,83,6.2,310.3,24.6,D,2
22.863,55.9305,323.3,3.1,1.7,2000-11-14,0748,Terra,MODIS,60,6.2,301.4,33,D,2
22.8612,55.9265,327.6,1.6,1.3,2000-11-15,0653,Terra,MODIS,71,6.2,304.7,24.7,D,2
22.8658,55.9239,332.7,1.8,1.3,2000-11-16,0736,Terra,MODIS,77,6.2,306,40.4,D,2
23.1906,55.4621,308.4,1.4,1.2,2000-11-16,1831,Terra,MODIS,75,6.2,292.5,14,N,0
22.8712,55.9315,301.7,2.4,1.5,2000-11-17,1914,Terra,MODIS,43,6.2,291.2,17.1,N,0
22.866,55.9265,304.2,2.4,1.5,2000-11-17,1914,Terra,MODIS,59,6.2,291.3,22.4,N,2
23.5962,57.8788,322.4,1.5,1.2,2000-11-18,0723,Terra,MODIS,68,6.2,306.4,12.3,D,0
22.8676,55.925,338.4,1.2,1.1,2000-11-18,0723,Terra,MODIS,84,6.2,310.2,30.6,D,2
22.8655,55.917,305.1,2.1,1.4,2000-11-18,1819,Terra,MODIS,63,6.2,291.1,20.1,N,2
22.8705,55.9309,302.3,2.1,1.4,2000-11-18,1819,Terra,MODIS,48,6.2,291.1,14.1,N,2
22.8649,55.9198,309.9,1.4,1.2,2000-11-19,1902,Terra,MODIS,78,6.2,291.1,17.8,N,2
22.8705,55.9239,327.7,1,1,2000-11-20,0711,Terra,MODIS,60,6.2,312.8,8,D,2
22.8616,55.9224,331.7,1,1,2000-11-20,0711,Terra,MODIS,75,6.2,312.6,13.4,D,2
22.8642,55.9237,301.7,3.4,1.7,2000-11-20,1807,Terra,MODIS,43,6.2,291.4,31.2,N,2
22.8651,55.9317,304.5,1,1,2000-11-21,1850,Terra,MODIS,60,6.2,291.9,6.3,N,2
22.8637,55.9217,322.4,1,1,2000-11-21,1850,Terra,MODIS,100,6.2,292.4,21.2,N,2
22.8693,55.9319,319.6,1.3,1.1,2000-11-22,0659,Terra,MODIS,50,6.2,302.9,8.4,D,2
22.8618,55.9225,320.8,2.4,1.5,2000-11-23,0742,Terra,MODIS,57,6.2,301.3,24.4,D,2
22.8654,55.9222,319,1.1,1,2000-11-23,1837,Terra,MODIS,98,6.2,290.8,19.9,N,2
22.8596,55.9295,321.9,2.1,1.4,2000-11-24,0646,Terra,MODIS,63,6.2,303.3,23.4,D,2
22.8643,55.9198,327.1,1.4,1.2,2000-11-25,0729,Terra,MODIS,67,6.2,310.8,14.7,D,2
22.8619,55.9335,325,1.4,1.2,2000-11-25,0729,Terra,MODIS,61,6.2,310.8,10.7,D,2
22.8677,55.928,309.8,1.6,1.2,2000-11-25,1825,Terra,MODIS,78,6.2,291.1,20.1,N,2
22.8651,55.9125,300.9,1.6,1.3,2000-11-25,1825,Terra,MODIS,35,6.2,290.8,9.2,N,2
22.8673,55.9217,313.8,1.6,1.2,2000-11-25,1825,Terra,MODIS,88,6.2,291,24.9,N,2
22.8697,55.9191,304,1.8,1.3,2000-11-26,1908,Terra,MODIS,58,6.2,289,16.5,N,2
22.8682,55.9279,332.1,1,1,2000-11-27,0717,Terra,MODIS,79,6.2,308.8,19.9,D,2
22.8621,55.92,300.5,2.7,1.6,2000-11-27,1813,Terra,MODIS,29,6.2,282.8,26.7,N,2
18.6881,55.5062,300.6,1,1,2000-11-28,1854,Terra,MODIS,30,6.2,289.3,5.3,N,0
21.3755,56.72,311.4,1.2,1.1,2000-11-28,1855,Terra,MODIS,83,6.2,287.9,16.5,N,2
21.374,56.7081,301.5,1.2,1.1,2000-11-28,1855,Terra,MODIS,41,6.2,287,7.8,N,2
22.8636,55.9256,313,1.2,1.1,2000-11-28,1855,Terra,MODIS,86,6.2,289.3,16.8,N,2
22.8744,55.3682,301,1.1,1,2000-11-28,1855,Terra,MODIS,37,6.2,290.2,6,N,0
22.8672,55.9246,338.4,1.1,1,2000-11-29,0705,Terra,MODIS,86,6.2,308.7,30.8,D,2
22.8603,55.9288,320.4,3,1.7,2000-11-30,0747,Terra,MODIS,63,6.2,299.5,36.9,D,2
22.86,55.9235,318.8,3,1.7,2000-11-30,0747,Terra,MODIS,58,6.2,299.5,29.6,D,2
18.6889,55.5032,301.2,1.1,1,2000-11-30,1842,Terra,MODIS,39,6.2,285.8,6.9,N,0
22.8697,55.9214,312,1,1,2000-11-30,1843,Terra,MODIS,84,6.2,287.6,12.9,N,2
22.865,55.9237,328.5,1.8,1.3,2000-12-02,0735,Terra,MODIS,74,6.2,309,30.6,D,2
22.8696,55.9189,324,1.8,1.3,2000-12-02,0735,Terra,MODIS,64,6.2,308.7,16.7,D,2
22.8665,55.9361,323.3,1.8,1.3,2000-12-02,0735,Terra,MODIS,58,6.2,308.7,15.1,D,2
22.8607,55.9199,301.5,1.3,1.1,2000-12-02,1831,Terra,MODIS,42,6.2,288.4,8.6,N,2
22.8673,55.9141,302.8,2.3,1.5,2000-12-03,1914,Terra,MODIS,51,6.2,287.5,24.5,N,2
22.8655,55.9242,334.9,1.2,1.1,2000-12-04,0723,Terra,MODIS,81,6.2,310.6,25.7,D,2
22.8694,55.9278,301.9,2.1,1.4,2000-12-04,1818,Terra,MODIS,45,6.2,289,17,N,2
22.8698,55.9224,303.8,2.1,1.4,2000-12-04,1818,Terra,MODIS,57,6.2,289,21.4,N,2
22.8677,55.9269,329,1,1,2000-12-06,0710,Terra,MODIS,77,6.2,306.5,16.7,D,2
18.6897,55.5031,302,1,1,2000-12-07,1848,Terra,MODIS,46,6.2,285.9,6.4,N,0
22.4407,56.6981,313.9,1.1,1,2000-12-07,1849,Terra,MODIS,88,6.2,290.5,14.9,N,0
22.8698,55.9234,322.8,1,1,2000-12-07,1849,Terra,MODIS,100,6.2,288.2,23.2,N,2
23.1792,55.4965,302.4,1,1,2000-12-07,1849,Terra,MODIS,49,6.2,287.8,7,N,0
22.8634,55.9211,324,1.3,1.1,2000-12-08,0658,Terra,MODIS,69,6.2,307.5,13.5,D,2
22.8638,55.9254,319.6,2.3,1.5,2000-12-09,0741,Terra,MODIS,60,6.2,298,26.7,D,2
22.8666,55.9292,313.5,1.1,1,2000-12-09,1837,Terra,MODIS,87,6.2,289.7,15.5,N,2
22.8649,55.9187,314.8,1.1,1,2000-12-09,1837,Terra,MODIS,90,6.2,290.1,16.6,N,2
22.8687,55.9163,316.9,1.4,1.2,2000-12-11,0729,Terra,MODIS,54,6.2,301,8.8,D,2
22.8664,55.9299,327.1,1.4,1.2,2000-12-11,0729,Terra,MODIS,77,6.2,301.1,26.3,D,2
22.8691,55.9246,307.6,1.8,1.3,2000-12-12,1907,Terra,MODIS,72,6.2,287.2,24.1,N,2
22.8644,55.9217,327,1,1,2000-12-13,0716,Terra,MODIS,76,6.2,303.3,16.3,D,2
22.8629,55.9316,321,1,1,2000-12-13,0716,Terra,MODIS,66,6.2,303.1,9.6,D,2
22.8604,55.9205,301,2.7,1.6,2000-12-13,1812,Terra,MODIS,36,6.2,284.8,29,N,2
18.6903,55.5046,301.6,1,1,2000-12-14,1854,Terra,MODIS,42,6.2,289.5,5.5,N,0
22.8696,55.9296,305.8,1.2,1.1,2000-12-14,1855,Terra,MODIS,66,6.2,286.1,10.6,N,2
22.8682,55.9183,309.5,1.2,1.1,2000-12-14,1855,Terra,MODIS,77,6.2,285.2,13.7,N,2
18.6851,55.5073,306,1.1,1,2000-12-16,1842,Terra,MODIS,66,6.2,285.6,9.5,N,0
22.8658,55.9236,318,1,1,2000-12-16,1843,Terra,MODIS,96,6.2,285.7,18.7,N,2
22.8681,55.9272,327,1.8,1.3,2000-12-18,0735,Terra,MODIS,76,6.2,304.4,33.1,D,2
22.862,55.9195,320.8,1.8,1.3,2000-12-18,0735,Terra,MODIS,65,6.2,304.5,18.4,D,2
22.8653,55.9285,303.8,1.3,1.1,2000-12-18,1831,Terra,MODIS,57,6.2,284.6,12.4,N,2
22.8676,55.9201,323.8,1.2,1.1,2000-12-20,0723,Terra,MODIS,70,6.2,305.4,14.2,D,2
22.8657,55.9314,324.9,1.2,1.1,2000-12-20,0723,Terra,MODIS,72,6.2,305.5,15.8,D,2
22.8688,55.9228,312.7,1.4,1.2,2000-12-21,1901,Terra,MODIS,85,6.2,284.9,24.6,N,2
22.8669,55.9203,322.6,1,1,2000-12-22,0710,Terra,MODIS,68,6.2,305.4,8.9,D,2
22.8655,55.9299,326.3,1,1,2000-12-22,0710,Terra,MODIS,74,6.2,306.1,13,D,2
17.944,54.5646,300.2,1,1,2000-12-23,1848,Terra,MODIS,20,6.2,284.9,5.7,N,0
22.8686,55.9228,327.6,1,1,2000-12-23,1849,Terra,MODIS,100,6.2,288.3,29.3,N,2
23.1921,55.462,302.8,1,1,2000-12-23,1849,Terra,MODIS,51,6.2,287.2,7.7,N,0
22.87,55.9236,324.9,1.3,1.1,2000-12-24,0658,Terra,MODIS,72,6.2,306.7,16.1,D,2
22.1561,56.0168,300.4,1.1,1,2000-12-25,1837,Terra,MODIS,26,6.2,288.1,6.2,N,0
22.8613,55.9253,306,1.1,1,2000-12-25,1837,Terra,MODIS,67,6.2,287.2,10.1,N,2
22.8705,55.9236,318.5,1.1,1,2000-12-25,1837,Terra,MODIS,97,6.2,286.8,20.5,N,2
22.868,55.9305,321.7,1.4,1.2,2000-12-27,0729,Terra,MODIS,69,6.2,302.3,18.1,D,2
22.8707,55.9248,305.1,1.6,1.2,2000-12-27,1825,Terra,MODIS,63,6.2,285.1,17.9,N,2
18.6991,55.4979,312.7,1.5,1.2,2000-12-28,1906,Terra,MODIS,85,6.2,281.6,26.5,N,0
18.6974,55.4836,300.7,1.5,1.2,2000-12-28,1906,Terra,MODIS,32,6.2,281.7,12.3,N,0
22.865,55.9265,304.1,1.9,1.3,2000-12-28,1907,Terra,MODIS,59,6.2,285.4,20.8,N,2
22.8706,55.9193,304.4,1.9,1.3,2000-12-28,1907,Terra,MODIS,60,6.2,285.2,19.9,N,2
22.8668,55.9235,325.7,1,1,2000-12-29,0717,Terra,MODIS,77,6.2,300.3,17.3,D,2
22.8653,55.9334,313.6,1,1,2000-12-29,0717,Terra,MODIS,45,6.2,299.9,5.2,D,2
22.8663,55.9311,304.3,1.2,1.1,2000-12-30,1855,Terra,MODIS,59,6.2,283.6,11.3,N,2
22.8648,55.9197,316,1.2,1.1,2000-12-30,1855,Terra,MODIS,92,6.2,283.8,22.1,N,2
22.8698,55.9246,326,1.1,1,2000-12-31,0704,Terra,MODIS,76,6.2,304.4,15.9,D,2
22.8605,55.9232,322.6,1.1,1,2000-12-31,0704,Terra,MODIS,72,6.2,304.3,12,D,2
