latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.8542,68.9419,324.2,1.4,1.2,2000-11-01,0639,Terra,MODIS,63,6.2,306.6,18.7,D,2
25.3991,68.7728,328.6,1.4,1.2,2000-11-01,0639,Terra,MODIS,73,6.2,304.1,29.4,D,0
25.8555,68.9452,302.4,1.3,1.1,2000-11-01,1737,Terra,MODIS,49,6.2,291.7,7.4,N,2
25.8534,68.9324,303.9,1.3,1.1,2000-11-01,1737,Terra,MODIS,57,6.2,292.4,8.6,N,2
35.5789,74.241,312.8,1.3,1.1,2000-11-03,0624,Terra,MODIS,73,6.2,283.3,17.9,D,0
25.8555,68.9407,330.4,1,1,2000-11-03,0627,Terra,MODIS,76,6.2,309.6,18.6,D,2
24.7874,68.014,324.1,1,1,2000-11-03,0627,Terra,MODIS,64,6.2,304.3,11.7,D,0
24.786,68.0238,323.7,1,1,2000-11-03,0627,Terra,MODIS,54,6.2,304.9,10.3,D,0
25.8511,68.9398,303.8,2.1,1.4,2000-11-03,1724,Terra,MODIS,57,6.2,291.3,18.7,N,2
25.8503,68.9413,304.8,1.4,1.2,2000-11-04,1807,Terra,MODIS,62,6.2,290.3,11.3,N,2
25.9088,69.2843,331.5,1.1,1,2000-11-05,0615,Terra,MODIS,76,6.2,310.6,22,D,0
25.9074,69.2948,331.2,1.1,1,2000-11-05,0615,Terra,MODIS,75,6.2,309.2,22.6,D,0
25.8532,68.9426,324.6,1.1,1,2000-11-05,0615,Terra,MODIS,62,6.2,310.2,11.9,D,2
25.3821,69.0331,321.1,1.1,1,2000-11-05,0615,Terra,MODIS,34,6.2,310.1,7.9,D,0
24.4326,68.433,327.9,1.1,1.1,2000-11-05,0615,Terra,MODIS,72,6.2,311.5,12.3,D,0
25.8544,68.9433,308.2,1,1,2000-11-06,1755,Terra,MODIS,74,6.2,293,8.5,N,2
25.853,68.9332,305.4,1,1,2000-11-06,1755,Terra,MODIS,64,6.2,293.4,6.6,N,2
31.8482,73.8932,310.2,1.1,1,2000-11-07,0601,Terra,MODIS,53,6.2,297.9,5,D,0
30.1567,72.8679,315.2,1.1,1,2000-11-07,0601,Terra,MODIS,46,6.2,301.8,7.4,D,0
25.8555,68.9334,318.8,1.8,1.3,2000-11-08,0645,Terra,MODIS,27,6.2,303.8,14.2,D,2
25.8562,68.9359,311.3,1.1,1,2000-11-08,1743,Terra,MODIS,82,6.2,293.5,11.7,N,2
30.1776,73.0816,311.6,1.6,1.2,2000-11-09,0549,Terra,MODIS,45,6.2,298.1,10.2,D,0
