latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.1583,-78.5827,306.3,1.4,1.2,2000-11-01,0416,Terra,MODIS,68,6.2,288.6,13.1,N,0
-6.0038,-78.99,310.1,1.4,1.2,2000-11-01,0416,Terra,MODIS,68,6.2,290.3,13.3,N,0
-5.9973,-78.9964,303.3,1.4,1.2,2000-11-01,0416,Terra,MODIS,33,6.2,290,10,N,0
-3.8728,-73.1094,313.3,1.3,1.1,2000-11-02,1545,Terra,MODIS,67,6.2,291.4,10.3,D,0
-4.6325,-79.5495,321.6,1.3,1.1,2000-11-02,1546,Terra,MODIS,59,6.2,303.6,10.6,D,0
-4.6327,-79.5441,320.9,1.3,1.1,2000-11-02,1546,Terra,MODIS,50,6.2,304.8,10.7,D,0
-5.0927,-78.9496,323.6,1.2,1.1,2000-11-02,1546,Terra,MODIS,67,6.2,305.3,14.2,D,0
-5.7915,-78.4975,326.4,1.1,1,2000-11-02,1546,Terra,MODIS,57,6.2,306.5,10.5,D,0
-5.869,-78.2762,321.4,1.1,1,2000-11-02,1546,Terra,MODIS,49,6.2,305.5,6.2,D,0
-5.8028,-79.104,320.6,1.2,1.1,2000-11-02,1546,Terra,MODIS,48,6.2,302.2,13,D,0
-5.7772,-79.3561,340,1.2,1.1,2000-11-02,1546,Terra,MODIS,87,6.2,310,34.8,D,0
-5.7787,-79.3463,332,1.2,1.1,2000-11-02,1546,Terra,MODIS,79,6.2,311.8,19.6,D,0
-5.9314,-78.7936,321.6,1.1,1.1,2000-11-02,1546,Terra,MODIS,58,6.2,304.3,9.6,D,0
-6.1226,-78.4904,331.5,1.1,1,2000-11-02,1546,Terra,MODIS,78,6.2,313.8,16.2,D,0
-6.124,-78.4815,329,1.1,1,2000-11-02,1546,Terra,MODIS,73,6.2,312.3,12.9,D,0
-6.0078,-79.3801,329.3,1.2,1.1,2000-11-02,1546,Terra,MODIS,61,6.2,309.8,19.6,D,0
-6.2049,-78.429,326.3,1.1,1,2000-11-02,1546,Terra,MODIS,61,6.2,311.9,10.5,D,0
-6.1527,-79.0943,328.3,1.2,1.1,2000-11-02,1546,Terra,MODIS,68,6.2,303,19.5,D,0
-6.5256,-78.1986,330.6,1.1,1,2000-11-02,1546,Terra,MODIS,80,6.2,306.1,17.5,D,0
-6.6777,-77.7984,319.7,1,1,2000-11-02,1546,Terra,MODIS,39,6.2,303.4,8.5,D,0
-6.5907,-78.7953,320,1.1,1.1,2000-11-02,1546,Terra,MODIS,18,6.2,303,7.2,D,0
-6.6642,-79.4328,327.9,1.2,1.1,2000-11-02,1546,Terra,MODIS,69,6.2,304.1,15.7,D,0
-6.8967,-78.057,326.2,1,1,2000-11-02,1546,Terra,MODIS,51,6.2,309.6,7.8,D,0
