latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.1716,121.5701,312.8,1,1,2000-11-07,0247,Terra,MODIS,71,6.2,283.7,8.6,D,0
7.2201,124.2507,313,1.7,1.3,2000-11-07,0250,Terra,MODIS,48,6.2,293.8,13.1,D,0
9.7227,122.6215,314.9,1,1,2000-11-09,0237,Terra,MODIS,66,6.2,295.3,7.1,D,0
9.6568,122.6644,315.2,1.3,1.1,2000-11-11,0224,Terra,MODIS,63,6.2,287.6,13.1,D,0
7.9436,123.095,309.7,1.2,1.1,2000-11-11,0225,Terra,MODIS,54,6.2,284.3,7.7,D,0
15.7494,120.2291,305.7,1,1,2000-11-15,1428,Terra,MODIS,65,6.2,292.4,5.7,N,0
15.855,120.0778,313,1.2,1.1,2000-11-16,0241,Terra,MODIS,53,6.2,300,6.7,D,0
15.7121,120.2109,324.9,1.2,1.1,2000-11-16,0241,Terra,MODIS,78,6.2,300.1,20.7,D,0
15.4023,120.6394,319.1,1.1,1,2000-11-16,0241,Terra,MODIS,71,6.2,297.4,9.9,D,0
15.4009,120.6495,321.3,1.1,1,2000-11-16,0241,Terra,MODIS,74,6.2,298.2,11.9,D,0
15.3958,120.6422,325.6,1.1,1,2000-11-16,0241,Terra,MODIS,79,6.2,296.4,17.5,D,0
15.1589,120.2236,313.4,1.1,1.1,2000-11-16,0241,Terra,MODIS,45,6.2,294.8,7.2,D,0
15.3346,120.1739,309.7,1.8,1.3,2000-11-18,0229,Terra,MODIS,27,6.2,290,13.7,D,0
9.6482,122.6508,325.7,1.1,1,2000-11-18,0230,Terra,MODIS,79,6.2,293.3,20.5,D,0
6.9686,124.9694,315.4,1,1,2000-11-18,0231,Terra,MODIS,64,6.2,294,7.6,D,0
6.4173,124.7131,317.4,1,1,2000-11-18,0231,Terra,MODIS,55,6.2,297,8.5,D,0
6.4701,124.2934,311.4,1,1,2000-11-18,0231,Terra,MODIS,53,6.2,292.4,6.5,D,0
15.1114,120.6482,315,1.2,1.1,2000-11-21,0300,Terra,MODIS,66,6.2,295.6,7.3,D,0
15.0708,120.6529,313.5,1.2,1.1,2000-11-21,0300,Terra,MODIS,58,6.2,292.1,9.1,D,0
15.069,120.6639,325.6,1.2,1.1,2000-11-21,0300,Terra,MODIS,81,6.2,292.8,24.4,D,0
15.0674,120.6578,325.5,1.2,1.1,2000-11-21,0300,Terra,MODIS,79,6.2,290.9,25.2,D,0
15.0656,120.6689,310.9,1.2,1.1,2000-11-21,0300,Terra,MODIS,31,6.2,290.8,7.6,D,0
15.3783,120.0536,301.8,1,1,2000-11-22,1434,Terra,MODIS,44,6.2,290.4,3.5,N,0
15.5268,120.2612,303.3,1,1,2000-11-22,1434,Terra,MODIS,54,6.2,289.8,5.1,N,0
17.6684,120.6022,311.9,1,1,2000-11-23,0247,Terra,MODIS,65,6.2,298.1,5.6,D,0
15.9996,120.0388,316.2,1,1,2000-11-23,0247,Terra,MODIS,68,6.2,298.2,7.9,D,0
15.3118,120.4015,309.1,1,1,2000-11-23,0247,Terra,MODIS,38,6.2,292.6,3.2,D,0
15.0853,120.4406,313.5,1,1,2000-11-23,0247,Terra,MODIS,56,6.2,294.4,8.3,D,0
15.0162,120.2816,325.5,1,1,2000-11-23,0247,Terra,MODIS,62,6.2,302.2,15.9,D,0
10.669,123.0136,313.9,1.3,1.1,2000-11-23,0248,Terra,MODIS,65,6.2,295.7,7,D,0
10.3144,122.9217,317.5,1.2,1.1,2000-11-23,0249,Terra,MODIS,71,6.2,294.1,11.9,D,0
7.7084,124.997,314,1.9,1.4,2000-11-23,0249,Terra,MODIS,69,6.2,289.3,17.5,D,0
7.2197,124.2496,313.5,1.7,1.3,2000-11-23,0249,Terra,MODIS,57,6.2,293.4,12.7,D,0
10.7628,123.014,318.6,1,1,2000-11-25,0236,Terra,MODIS,76,6.2,298.1,9,D,0
10.485,122.8991,308.7,1,1,2000-11-25,0236,Terra,MODIS,60,6.2,288.6,4,D,0
10.136,122.9519,315.2,1,1,2000-11-25,0236,Terra,MODIS,63,6.2,295.9,6.7,D,0
10.0128,122.7835,326.4,1,1,2000-11-25,0236,Terra,MODIS,82,6.2,295.7,17.9,D,0
10.0115,122.7925,314.9,1,1,2000-11-25,0236,Terra,MODIS,63,6.2,295.5,6.1,D,0
9.7898,122.9223,313.5,1,1,2000-11-25,0236,Terra,MODIS,67,6.2,289,7,D,0
17.4065,120.6966,311.8,2.3,1.5,2000-11-26,0317,Terra,MODIS,30,6.2,295.7,18.6,D,0
15.3964,120.1009,312,2.4,1.5,2000-11-27,0223,Terra,MODIS,51,6.2,296.3,26,D,0
14.8691,120.5027,316.1,2.2,1.4,2000-11-27,0223,Terra,MODIS,62,6.2,296,22.7,D,0
14.8708,120.4968,312.7,2.2,1.4,2000-11-27,0223,Terra,MODIS,55,6.2,295.9,14.4,D,0
10.3447,123.0446,322.6,1.3,1.1,2000-11-27,0224,Terra,MODIS,76,6.2,296.9,16.8,D,0
9.6857,123.0087,310.3,1.2,1.1,2000-11-27,0224,Terra,MODIS,44,6.2,291.2,5.9,D,0
7.7942,125.0892,314.2,1,1,2000-11-27,0224,Terra,MODIS,61,6.2,296,6.6,D,0
14.4554,120.4918,305.3,1.1,1,2000-11-29,1440,Terra,MODIS,26,6.2,289.9,6.3,N,0
6.906,125.2832,311.2,2.2,1.4,2000-12-01,0200,Terra,MODIS,17,6.2,290.8,18.8,D,0
6.9065,125.2774,311.4,2.2,1.4,2000-12-01,0200,Terra,MODIS,45,6.2,291.1,20.7,D,0
6.4222,125.209,309.6,1.1,1,2000-12-01,1425,Terra,MODIS,78,6.2,289.3,10.7,N,0
8.1743,125.3161,314.3,1.5,1.2,2000-12-02,0242,Terra,MODIS,69,6.2,294.6,15.5,D,0
7.3198,125.1964,308.5,1.5,1.2,2000-12-02,0243,Terra,MODIS,36,6.2,295.2,7.3,D,0
6.8563,124.2389,309.8,1.3,1.1,2000-12-02,0243,Terra,MODIS,40,6.2,294.7,7.1,D,0
7.5695,126.4575,314.1,1.2,1.1,2000-12-04,0230,Terra,MODIS,68,6.2,294,10.6,D,0
7.5679,126.4682,309.7,1.2,1.1,2000-12-04,0230,Terra,MODIS,58,6.2,294.3,6.1,D,0
7.2923,124.3698,312.9,1,1,2000-12-04,0230,Terra,MODIS,61,6.2,293.2,5,D,0
16.0609,120.6668,303.2,2.3,1.5,2000-12-05,1403,Terra,MODIS,54,6.2,292.5,14.4,N,0
15.7863,120.1305,312.4,1.1,1,2000-12-07,0259,Terra,MODIS,71,6.2,291.6,10.4,D,0
15.7847,120.1408,317.5,1.1,1,2000-12-07,0259,Terra,MODIS,76,6.2,290.2,15.5,D,0
6.62,124.8968,303,1.3,1.1,2000-12-08,1431,Terra,MODIS,53,6.2,290.8,5.8,N,0
13.9436,121.1659,308.5,1,1,2000-12-09,0247,Terra,MODIS,46,6.2,290.9,3.8,D,0
7.7937,124.8717,311.5,1.8,1.3,2000-12-09,0248,Terra,MODIS,64,6.2,293.8,12.4,D,0
7.1197,125.6428,313.2,2.2,1.4,2000-12-09,0249,Terra,MODIS,0,6.2,294.3,20.6,D,0
17.7069,120.5629,315.6,1.5,1.2,2000-12-11,0234,Terra,MODIS,58,6.2,296.3,14.3,D,0
7.5351,125.7615,304.2,1.1,1.1,2000-12-12,1407,Terra,MODIS,59,6.2,292.7,4.9,N,0
7.7423,124.9419,309.4,1.2,1.1,2000-12-12,1407,Terra,MODIS,77,6.2,291.7,11.4,N,0
7.7407,124.931,302.6,1.2,1.1,2000-12-12,1407,Terra,MODIS,50,6.2,291.5,5.9,N,0
10.4389,122.922,313.9,1.3,1.1,2000-12-13,0223,Terra,MODIS,65,6.2,298.7,8,D,0
10.3561,123.0822,313,1.3,1.1,2000-12-13,0223,Terra,MODIS,64,6.2,298.1,8,D,0
15.6799,119.9863,314.4,1.3,1.1,2000-12-14,0305,Terra,MODIS,65,6.2,296.2,11.8,D,0
15.3924,120.6879,316.3,1.5,1.2,2000-12-14,0305,Terra,MODIS,67,6.2,295.5,12,D,0
7.1057,124.1714,311.2,3.9,1.8,2000-12-14,0307,Terra,MODIS,47,6.2,287.4,46.9,D,0
7.1154,124.1677,310.7,3.9,1.8,2000-12-14,0307,Terra,MODIS,42,6.2,287.2,44.6,D,0
15.8669,120.1565,314.1,1,1,2000-12-16,0253,Terra,MODIS,66,6.2,296.7,6.7,D,0
14.4798,120.4256,326.4,1,1,2000-12-16,0253,Terra,MODIS,80,6.2,294.7,19.9,D,0
15.3778,120.6505,315.8,1.7,1.3,2000-12-20,0228,Terra,MODIS,64,6.2,296.1,12.7,D,0
15.3189,120.5638,319.4,1.7,1.3,2000-12-20,0228,Terra,MODIS,73,6.2,294.9,21.8,D,0
15.3313,120.2021,316.4,1.8,1.3,2000-12-20,0228,Terra,MODIS,48,6.2,295.4,19.3,D,0
12.0987,120.1703,312.7,1.6,1.3,2000-12-20,0229,Terra,MODIS,55,6.2,297.2,12,D,0
11.0987,123.9681,316.3,1,1,2000-12-20,0229,Terra,MODIS,0,6.2,294,7.1,D,0
10.891,123.4262,322.7,1,1,2000-12-20,0230,Terra,MODIS,78,6.2,295.1,14.6,D,0
10.8931,122.6882,313.9,1.1,1.1,2000-12-20,0230,Terra,MODIS,66,6.2,295.9,7.4,D,0
10.6807,123.0274,309.9,1.1,1,2000-12-20,0230,Terra,MODIS,55,6.2,291.5,4,D,0
10.6149,123.0413,315.2,1.1,1,2000-12-20,0230,Terra,MODIS,68,6.2,293.5,8.1,D,0
10.5941,122.9888,313,1.1,1,2000-12-20,0230,Terra,MODIS,63,6.2,293.5,6.1,D,0
10.5928,122.9985,311.3,1.1,1,2000-12-20,0230,Terra,MODIS,53,6.2,292.8,5,D,0
