latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.1864,-11.5174,316.5,1.6,1.2,2000-11-21,1116,Terra,MODIS,58,6.2,294,17.6,D,0
9.2672,-11.4949,312.4,1.3,1.1,2000-11-24,1146,Terra,MODIS,59,6.2,299.5,9.3,D,0
9.2378,-11.5699,318.5,1.3,1.1,2000-11-24,1146,Terra,MODIS,48,6.2,302,14.1,D,0
9.2278,-11.5713,320.6,1.3,1.1,2000-11-24,1146,Terra,MODIS,64,6.2,299.9,16.4,D,0
9.1988,-11.5173,312,1.3,1.1,2000-11-24,1146,Terra,MODIS,60,6.2,299.3,8,D,0
9.1751,-11.5624,323.2,1.3,1.1,2000-11-24,1146,Terra,MODIS,79,6.2,302.4,21.3,D,0
9.1733,-11.5508,315,1.3,1.1,2000-11-24,1146,Terra,MODIS,59,6.2,299.8,11.1,D,0
9.0914,-11.6171,311.3,1.3,1.1,2000-11-24,1146,Terra,MODIS,62,6.2,298.5,7.8,D,0
9.0896,-11.6055,321.9,1.3,1.1,2000-11-24,1146,Terra,MODIS,78,6.2,299.2,21.6,D,0
8.606,-12.2557,319.2,1.2,1.1,2000-11-24,1147,Terra,MODIS,74,6.2,296.5,14.4,D,0
9.6769,-12.5138,313,1,1,2000-11-26,1134,Terra,MODIS,62,6.2,298.6,6.7,D,0
9.0015,-10.741,305.5,1,1,2000-11-26,1134,Terra,MODIS,38,6.2,290.1,4,D,0
9.4955,-12.6172,320.7,1.5,1.2,2000-11-28,1122,Terra,MODIS,75,6.2,300.2,22.7,D,0
9.2344,-11.4966,314.1,1.6,1.3,2000-12-01,1152,Terra,MODIS,53,6.2,291.3,22.2,D,0
9.9324,-11.4396,316.3,1.1,1,2000-12-03,1140,Terra,MODIS,62,6.2,299.1,9.9,D,0
9.9064,-11.4532,311.8,1.1,1,2000-12-03,1140,Terra,MODIS,34,6.2,300.6,5.7,D,0
9.6932,-11.2024,313,1.1,1,2000-12-03,1140,Terra,MODIS,65,6.2,299.1,8.5,D,0
9.6917,-11.1927,309,1.1,1,2000-12-03,1140,Terra,MODIS,53,6.2,298.8,5.3,D,0
9.6688,-12.5757,319.6,1,1,2000-12-03,1140,Terra,MODIS,71,6.2,301.1,10.8,D,0
9.2041,-11.5017,324.2,1.1,1,2000-12-03,1140,Terra,MODIS,79,6.2,299.6,17.2,D,0
9.1399,-11.6254,317.8,1.1,1,2000-12-03,1140,Terra,MODIS,53,6.2,298.9,10.1,D,0
9.1104,-11.6779,314.5,1.1,1,2000-12-03,1140,Terra,MODIS,65,6.2,299.4,8.7,D,0
9.27,-10.6879,301,1.1,1.1,2000-12-04,2311,Terra,MODIS,36,6.2,289,6.5,N,0
9.9399,-11.3799,308.4,1.1,1,2000-12-05,1127,Terra,MODIS,60,6.2,293.9,5.8,D,0
9.688,-11.5521,312.6,1.1,1,2000-12-05,1127,Terra,MODIS,59,6.2,292.8,8.6,D,0
9.682,-11.5595,313.5,1.1,1,2000-12-05,1127,Terra,MODIS,69,6.2,292,10.6,D,0
9.6806,-11.5498,311.4,1.1,1,2000-12-05,1127,Terra,MODIS,66,6.2,292.8,8.6,D,0
9.6922,-12.4122,307.5,1.2,1.1,2000-12-05,1127,Terra,MODIS,55,6.2,293.5,5.7,D,0
9.5822,-12.4231,324.5,1.2,1.1,2000-12-05,1127,Terra,MODIS,81,6.2,296.6,23.1,D,0
9.3,-11.5301,309.6,1.1,1,2000-12-05,1127,Terra,MODIS,41,6.2,290.3,8.2,D,0
9.2403,-11.6161,318.5,1.6,1.3,2000-12-07,1115,Terra,MODIS,74,6.2,298,25.6,D,0
9.2382,-11.6006,320.6,1.6,1.3,2000-12-07,1115,Terra,MODIS,75,6.2,300.6,27.8,D,0
9.071,-11.6353,312.6,1.6,1.3,2000-12-07,1115,Terra,MODIS,50,6.2,300.8,11.9,D,0
9.0018,-11.6307,313,1.6,1.3,2000-12-07,1115,Terra,MODIS,66,6.2,297.4,15.9,D,0
8.9998,-11.6159,311.2,1.6,1.3,2000-12-07,1115,Terra,MODIS,63,6.2,297.5,13.3,D,0
9.4439,-10.9252,311.6,2.3,1.5,2000-12-08,1158,Terra,MODIS,58,6.2,298.1,22.3,D,0
8.6715,-12.0492,310,2,1.4,2000-12-08,1158,Terra,MODIS,57,6.2,299.3,11.4,D,0
8.9438,-10.8039,317.4,1.1,1.1,2000-12-09,2329,Terra,MODIS,95,6.2,289.8,19.7,N,0
8.9424,-10.8143,301,1.1,1.1,2000-12-09,2329,Terra,MODIS,36,6.2,289.7,5.4,N,0
9.1295,-11.8554,303.6,1,1,2000-12-09,2329,Terra,MODIS,55,6.2,293.5,5.4,N,0
9.1282,-11.8646,302.7,1,1,2000-12-09,2329,Terra,MODIS,36,6.2,292.5,5.1,N,0
9.9801,-11.8339,310.7,1.2,1.1,2000-12-10,1146,Terra,MODIS,54,6.2,300,6.1,D,0
9.4056,-11.3029,310.9,1.3,1.1,2000-12-10,1146,Terra,MODIS,56,6.2,299.4,9,D,0
9.5684,-12.469,314.6,1.1,1.1,2000-12-10,1146,Terra,MODIS,65,6.2,299.8,8.2,D,0
9.5623,-12.4656,312.1,1.1,1.1,2000-12-10,1146,Terra,MODIS,59,6.2,299.2,7.1,D,0
9.2371,-11.5367,321.5,1.3,1.1,2000-12-10,1146,Terra,MODIS,69,6.2,304.2,13.9,D,0
8.9465,-10.8025,318.5,1.4,1.2,2000-12-10,1146,Terra,MODIS,73,6.2,299.5,21.2,D,0
8.9443,-10.7892,309.2,1.4,1.2,2000-12-10,1146,Terra,MODIS,51,6.2,297.6,8.4,D,0
8.9395,-10.7964,310.6,1.4,1.2,2000-12-10,1146,Terra,MODIS,32,6.2,297.6,9.7,D,0
8.9178,-10.811,303.7,1,1,2000-12-11,2317,Terra,MODIS,32,6.2,292.1,5.2,N,0
9.6374,-11.5652,313.5,1,1,2000-12-12,1134,Terra,MODIS,53,6.2,295,8.3,D,0
9.5574,-12.152,328,1,1,2000-12-12,1134,Terra,MODIS,84,6.2,297.8,23.2,D,0
9.556,-12.1429,321.6,1,1,2000-12-12,1134,Terra,MODIS,78,6.2,297.7,16.1,D,0
8.7897,-10.6953,310.9,1,1,2000-12-12,1134,Terra,MODIS,65,6.2,293.8,6.3,D,0
8.013,-11.9226,311.4,1,1,2000-12-12,1134,Terra,MODIS,63,6.2,294.9,5.9,D,0
9.1413,-11.6017,310.3,2.8,1.6,2000-12-15,1204,Terra,MODIS,58,6.2,295.3,24.7,D,0
9.0551,-10.6517,311.7,1.8,1.3,2000-12-16,1109,Terra,MODIS,61,6.2,297.3,14.5,D,0
9.0531,-10.6359,308.5,1.8,1.3,2000-12-16,1109,Terra,MODIS,34,6.2,297.1,9.3,D,0
9.0435,-10.6536,310.9,1.8,1.3,2000-12-16,1109,Terra,MODIS,50,6.2,297.8,12.6,D,0
9.0439,-10.749,310,1.8,1.3,2000-12-16,1109,Terra,MODIS,53,6.2,296.8,11.7,D,0
9.0458,-10.6439,323,1.8,1.3,2000-12-16,1109,Terra,MODIS,79,6.2,298.2,35.9,D,0
9.1119,-11.6027,310.6,2.1,1.4,2000-12-16,1109,Terra,MODIS,31,6.2,299,11.4,D,0
9.4203,-11.9239,315.3,1.5,1.2,2000-12-17,1152,Terra,MODIS,69,6.2,299.5,16.7,D,0
9.0436,-10.6437,310.6,1.9,1.4,2000-12-17,1152,Terra,MODIS,60,6.2,299.3,13.3,D,0
9.0315,-10.6455,310.6,1.9,1.4,2000-12-17,1152,Terra,MODIS,59,6.2,298.4,13,D,0
9.1431,-11.8477,320.8,1.6,1.2,2000-12-17,1152,Terra,MODIS,77,6.2,301.1,25.1,D,0
9.9006,-11.3227,308.8,1.1,1,2000-12-19,1140,Terra,MODIS,32,6.2,298.4,4.8,D,0
9.7057,-11.2551,310.2,1.1,1,2000-12-19,1140,Terra,MODIS,54,6.2,299.5,5.7,D,0
9.7365,-12.4324,323,1,1,2000-12-19,1140,Terra,MODIS,77,6.2,300.5,15.3,D,0
9.5871,-12.4205,325.4,1,1,2000-12-19,1140,Terra,MODIS,80,6.2,302.8,17.9,D,0
9.5857,-12.4114,314.7,1,1,2000-12-19,1140,Terra,MODIS,48,6.2,301.7,7.6,D,0
9.3319,-10.7175,312.1,1.2,1.1,2000-12-19,1140,Terra,MODIS,46,6.2,299.6,6.5,D,0
9.5781,-12.4218,312.9,1,1,2000-12-19,1140,Terra,MODIS,48,6.2,299.7,6.1,D,0
