latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.1158,101.9957,302.7,1.1,1,2000-11-01,1554,Terra,MODIS,51,6.2,290.5,5.5,N,0
14.1291,101.9528,302.2,1.1,1,2000-11-01,1554,Terra,MODIS,48,6.2,290.2,5,N,0
16.9326,103.0034,311.4,1.1,1,2000-11-02,0407,Terra,MODIS,48,6.2,300.1,4.2,D,0
16.1908,101.999,309.3,1,1,2000-11-02,0407,Terra,MODIS,59,6.2,295.9,6.8,D,0
14.6086,100.9907,311.6,1,1,2000-11-02,0408,Terra,MODIS,64,6.2,296,5.4,D,0
14.6073,100.9999,312.4,1,1,2000-11-02,0408,Terra,MODIS,66,6.2,296,6.1,D,0
14.0141,102.0015,311.9,1,1,2000-11-02,0408,Terra,MODIS,63,6.2,296.5,5.8,D,0
14.0127,102.0111,328,1,1,2000-11-02,0408,Terra,MODIS,83,6.2,296.8,22.5,D,0
13.9362,102.3256,310.8,1.1,1,2000-11-02,0408,Terra,MODIS,61,6.2,295,6,D,0
13.9346,102.3354,309.9,1.1,1,2000-11-02,0408,Terra,MODIS,59,6.2,294.4,5.2,D,0
13.6644,101.8149,310.2,1,1,2000-11-02,0408,Terra,MODIS,57,6.2,294.2,5.3,D,0
16.0293,102.084,312.1,1.1,1.1,2000-11-04,0355,Terra,MODIS,46,6.2,298.7,8,D,0
16.0199,102.0825,323,1.1,1.1,2000-11-04,0355,Terra,MODIS,78,6.2,299.6,19.8,D,0
16.0054,102.048,309.4,1.1,1.1,2000-11-04,0355,Terra,MODIS,51,6.2,297.7,6.4,D,0
16.0039,102.0586,308.8,1.1,1.1,2000-11-04,0355,Terra,MODIS,17,6.2,296.8,5,D,0
14.3285,103.0527,323.4,1,1,2000-11-04,0356,Terra,MODIS,79,6.2,301.4,17.1,D,0
14.3271,103.0621,316.9,1,1,2000-11-04,0356,Terra,MODIS,72,6.2,299.1,11,D,0
14.5039,101.0784,311.3,1.2,1.1,2000-11-04,0356,Terra,MODIS,64,6.2,300.4,7.9,D,0
13.9503,102.1492,314.2,1.1,1,2000-11-04,0356,Terra,MODIS,66,6.2,300.2,7.2,D,0
13.9489,102.159,314.3,1.1,1,2000-11-04,0356,Terra,MODIS,66,6.2,300.1,7.2,D,0
16.1422,102.0436,307.7,3.1,1.7,2000-11-05,0438,Terra,MODIS,54,6.2,297,26.5,D,0
16.1435,102.0382,308.2,3.1,1.7,2000-11-05,0438,Terra,MODIS,52,6.2,297,28.8,D,0
15.7087,102.297,318.6,1.7,1.3,2000-11-06,0343,Terra,MODIS,72,6.2,302.4,18.4,D,0
15.7101,102.2911,316.8,1.7,1.3,2000-11-06,0343,Terra,MODIS,61,6.2,302.8,14.1,D,0
15.7082,102.3064,314.9,1.6,1.3,2000-11-06,0343,Terra,MODIS,35,6.2,302.9,11.2,D,0
13.2913,101.3433,312.4,1.8,1.3,2000-11-06,0344,Terra,MODIS,63,6.2,301.8,11.7,D,0
16.0805,101.6678,316.3,1.7,1.3,2000-11-07,0426,Terra,MODIS,68,6.2,300.2,19.3,D,0
14.1896,102.6387,307.5,2.2,1.4,2000-11-07,0426,Terra,MODIS,48,6.2,296.9,12.9,D,0
14.1909,102.6322,310.2,2.2,1.4,2000-11-07,0426,Terra,MODIS,57,6.2,297,18.2,D,0
13.671,101.8417,310.8,2,1.4,2000-11-07,0427,Terra,MODIS,55,6.2,300.6,11,D,0
13.6679,101.8595,311.7,2,1.4,2000-11-07,0427,Terra,MODIS,58,6.2,301.5,12.4,D,0
13.6644,101.8532,314.9,2,1.4,2000-11-07,0427,Terra,MODIS,66,6.2,301.3,20,D,0
16.4623,102.8353,311.7,2.6,1.6,2000-11-08,0331,Terra,MODIS,58,6.2,298.1,19.1,D,0
16.4688,102.8538,312,2.6,1.6,2000-11-08,0331,Terra,MODIS,58,6.2,297.3,21.3,D,0
17.5411,103.3787,316.7,1,1,2000-11-11,0401,Terra,MODIS,65,6.2,300.9,7.7,D,0
16.9017,100.1775,313.2,1.2,1.1,2000-11-11,0401,Terra,MODIS,58,6.2,300.5,6.9,D,0
16.524,102.8401,314.1,1,1,2000-11-11,0401,Terra,MODIS,58,6.2,300.1,5.5,D,0
16.2489,102.1386,310.4,1,1,2000-11-11,0401,Terra,MODIS,45,6.2,297.5,4.4,D,0
15.3854,100.1594,311.3,1.1,1.1,2000-11-11,0402,Terra,MODIS,46,6.2,299.2,6.5,D,0
15.2709,100.4647,318.4,1.1,1,2000-11-11,0402,Terra,MODIS,70,6.2,303.1,9.3,D,0
15.2695,100.4748,325.7,1.1,1,2000-11-11,0402,Terra,MODIS,79,6.2,303.7,18.1,D,0
14.2494,102.7014,310.6,1,1,2000-11-11,0402,Terra,MODIS,48,6.2,296.6,5,D,0
14.0788,100.7639,319,1.1,1,2000-11-11,0402,Terra,MODIS,69,6.2,301.4,9.7,D,0
14.092,100.5506,316.1,1.1,1,2000-11-11,0402,Terra,MODIS,48,6.2,300.6,7.7,D,0
14.0413,100.3717,315.3,1.1,1,2000-11-11,0402,Terra,MODIS,62,6.2,301.6,6.5,D,0
12.8426,101.1767,317.9,1,1,2000-11-11,0402,Terra,MODIS,66,6.2,303.2,6.2,D,0
15.6896,101.2013,314.8,1.5,1.2,2000-11-13,0349,Terra,MODIS,67,6.2,298.1,12.4,D,0
14.8234,100.7315,320.2,1.6,1.2,2000-11-13,0350,Terra,MODIS,76,6.2,297.9,23.4,D,0
12.7997,101.2478,315.3,1.4,1.2,2000-11-13,0350,Terra,MODIS,65,6.2,298,10,D,0
16.1092,101.9901,308.6,2.4,1.5,2000-11-14,0432,Terra,MODIS,34,6.2,293.7,14.1,D,0
13.7242,101.7397,314.6,2.5,1.5,2000-11-14,0433,Terra,MODIS,66,6.2,293.8,22.1,D,0
13.7175,101.7328,314.2,2.5,1.5,2000-11-14,0433,Terra,MODIS,65,6.2,293.3,23.1,D,0
12.2083,99.7832,310,1.9,1.4,2000-11-14,0433,Terra,MODIS,20,6.2,290.6,13.1,D,0
10.9222,99.4612,313.2,1.9,1.4,2000-11-14,0433,Terra,MODIS,57,6.2,293.2,16.5,D,0
10.9193,99.4784,319.8,1.9,1.4,2000-11-14,0433,Terra,MODIS,68,6.2,293.6,31,D,0
17.9129,100.3028,312.4,1.1,1,2000-11-16,0419,Terra,MODIS,65,6.2,298.4,8.5,D,0
17.1102,100.0622,314.6,1.1,1,2000-11-16,0420,Terra,MODIS,63,6.2,300.5,5.8,D,0
16.9818,100.2322,316.8,1.1,1,2000-11-16,0420,Terra,MODIS,70,6.2,301.4,8.6,D,0
16.0438,101.9712,314.7,1.4,1.2,2000-11-16,0420,Terra,MODIS,65,6.2,294.1,15.4,D,0
15.4536,101.3206,324.6,1.3,1.1,2000-11-16,0420,Terra,MODIS,78,6.2,294.9,26.5,D,0
14.8318,99.8765,309.7,1.1,1.1,2000-11-16,0420,Terra,MODIS,60,6.2,293.7,4.8,D,0
14.3917,100.9088,311.5,1.3,1.1,2000-11-16,0420,Terra,MODIS,64,6.2,290.2,8.1,D,0
14.3898,100.9206,315.3,1.3,1.1,2000-11-16,0420,Terra,MODIS,71,6.2,290,12.7,D,0
14.206,102.5726,310.6,1.1,1,2000-11-18,0408,Terra,MODIS,59,6.2,288.3,7.1,D,0
13.2063,101.0517,302.3,1.1,1.1,2000-11-19,1542,Terra,MODIS,48,6.2,289.1,4.7,N,0
14.3063,101.4362,312.4,1.1,1,2000-11-19,1542,Terra,MODIS,85,6.2,291.2,11.6,N,0
16.0163,100.163,309.7,1.4,1.2,2000-11-20,0355,Terra,MODIS,56,6.2,290.1,7.2,D,0
15.3081,102.9618,317.1,1,1,2000-11-20,0355,Terra,MODIS,51,6.2,299,7,D,0
14.1588,101.7101,329,1.1,1.1,2000-11-20,0356,Terra,MODIS,83,6.2,297.3,24.8,D,0
14.1662,100.8337,313.7,1.2,1.1,2000-11-20,0356,Terra,MODIS,59,6.2,296,6.9,D,0
19.96,99.6875,307.5,1.1,1.1,2000-11-23,0425,Terra,MODIS,61,6.2,295.3,6.4,D,0
16.9235,103.9919,324.5,1.5,1.2,2000-11-25,0413,Terra,MODIS,80,6.2,293.3,29.4,D,0
16.9199,103.9846,319.2,1.5,1.2,2000-11-25,0413,Terra,MODIS,73,6.2,292.8,18.6,D,0
16.9177,103.9985,313.4,1.5,1.2,2000-11-25,0413,Terra,MODIS,29,6.2,291.2,10.3,D,0
17.2294,100.0431,318.3,1,1,2000-11-25,0413,Terra,MODIS,72,6.2,299.2,8.2,D,0
17.1855,100.0932,317.6,1,1,2000-11-25,0413,Terra,MODIS,63,6.2,299.3,7.1,D,0
17.1841,100.1025,319.4,1,1,2000-11-25,0413,Terra,MODIS,68,6.2,299.1,8.6,D,0
17.1527,100.0626,317.4,1,1,2000-11-25,0413,Terra,MODIS,39,6.2,300.4,7,D,0
17.1135,100.142,316.3,1,1,2000-11-25,0413,Terra,MODIS,53,6.2,298.7,5.9,D,0
16.8622,100.2172,315.8,1,1,2000-11-25,0413,Terra,MODIS,68,6.2,298,6.4,D,0
