latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3567,-14.3145,320.5,1.2,1.1,2000-11-06,1158,Terra,MODIS,62,6.2,307.9,10.3,D,0
13.6214,-14.627,317.9,2.3,1.5,2000-11-11,1216,Terra,MODIS,67,6.2,293.4,25.5,D,0
13.6034,-14.5679,333,1.1,1.1,2000-11-17,1139,Terra,MODIS,85,6.2,304.2,27.7,D,0
13.4396,-14.476,319.1,3.2,1.7,2000-11-18,1222,Terra,MODIS,66,6.2,301.4,41.8,D,0
13.4345,-14.4474,319.5,3.2,1.7,2000-11-18,1222,Terra,MODIS,67,6.2,302.8,44.9,D,0
13.3298,-14.4163,318.9,1.9,1.3,2000-11-20,1210,Terra,MODIS,47,6.2,305.7,15.1,D,0
13.4765,-15.3459,323,1.6,1.2,2000-11-20,1210,Terra,MODIS,53,6.2,304.4,26.3,D,0
13.3246,-14.4237,321.1,1.9,1.3,2000-11-20,1210,Terra,MODIS,69,6.2,304.8,22.8,D,0
13.542,-13.948,325,1.2,1.1,2000-11-22,1158,Terra,MODIS,73,6.2,308.8,15.3,D,0
13.539,-14.9148,321.7,1.1,1,2000-11-22,1158,Terra,MODIS,52,6.2,307.1,10.5,D,0
13.5374,-14.9048,324.2,1.1,1,2000-11-22,1158,Terra,MODIS,62,6.2,307.1,13.6,D,0
13.3992,-14.2099,321.9,1.2,1.1,2000-11-22,1158,Terra,MODIS,66,6.2,307.3,10.2,D,0
13.3974,-14.1991,323.4,1.2,1.1,2000-11-22,1158,Terra,MODIS,66,6.2,308.1,13,D,0
13.4278,-14.6678,323.3,1.1,1.1,2000-11-22,1158,Terra,MODIS,71,6.2,306.6,13.4,D,0
13.3392,-14.4135,323.7,1.2,1.1,2000-11-22,1158,Terra,MODIS,71,6.2,308.5,12.9,D,0
13.5076,-15.6154,317.1,1,1,2000-11-22,1158,Terra,MODIS,41,6.2,301.7,8.3,D,0
13.5251,-13.9989,329.1,1,1,2000-11-24,1145,Terra,MODIS,79,6.2,307,16.9,D,0
13.5179,-14.5222,320,1,1,2000-11-24,1145,Terra,MODIS,65,6.2,298.6,8.7,D,0
13.4375,-14.2861,318.7,1,1,2000-11-24,1145,Terra,MODIS,66,6.2,301.3,7.2,D,0
13.4445,-14.3976,331.4,1,1,2000-11-24,1145,Terra,MODIS,83,6.2,299.8,22.8,D,0
13.4432,-14.3884,318.7,1,1,2000-11-24,1145,Terra,MODIS,66,6.2,299.7,8.2,D,0
13.4369,-14.4082,333.4,1,1,2000-11-24,1145,Terra,MODIS,84,6.2,299.1,24.4,D,0
13.4355,-14.399,331.5,1,1,2000-11-24,1145,Terra,MODIS,83,6.2,299.4,22.3,D,0
13.343,-14.5226,313.3,1,1,2000-11-24,1145,Terra,MODIS,46,6.2,291.4,5.6,D,0
13.3417,-14.5133,322.6,1,1,2000-11-24,1145,Terra,MODIS,74,6.2,292.2,14.2,D,0
13.76,-14.9576,326.4,1.5,1.2,2000-11-26,1133,Terra,MODIS,44,6.2,308.3,20.2,D,0
13.7582,-14.9438,340.5,1.5,1.2,2000-11-26,1133,Terra,MODIS,88,6.2,310.5,55.4,D,0
13.7565,-14.93,338.4,1.5,1.2,2000-11-26,1133,Terra,MODIS,87,6.2,310.4,48.1,D,0
13.7512,-14.8888,323.1,1.5,1.2,2000-11-26,1133,Terra,MODIS,56,6.2,307.9,12.7,D,0
13.7509,-14.9729,325.1,1.5,1.2,2000-11-26,1133,Terra,MODIS,42,6.2,307.4,18.5,D,0
13.7492,-14.9591,324.2,1.5,1.2,2000-11-26,1133,Terra,MODIS,36,6.2,309.3,15.4,D,0
13.7421,-14.904,323.4,1.5,1.2,2000-11-26,1133,Terra,MODIS,45,6.2,309.8,12.5,D,0
13.7404,-14.8903,330.4,1.5,1.2,2000-11-26,1133,Terra,MODIS,79,6.2,310.2,27.7,D,0
13.6188,-14.9131,375,1.5,1.2,2000-11-26,1133,Terra,MODIS,100,6.2,306.7,227.6,D,0
13.617,-14.8993,413.6,1.5,1.2,2000-11-26,1133,Terra,MODIS,100,6.2,318.6,604.5,D,0
13.6153,-14.8856,394,1.5,1.2,2000-11-26,1133,Terra,MODIS,100,6.2,316.1,375.4,D,0
13.6136,-14.872,357,1.5,1.2,2000-11-26,1133,Terra,MODIS,98,6.2,311.9,120.3,D,0
13.6119,-14.8584,373.4,1.5,1.2,2000-11-26,1133,Terra,MODIS,100,6.2,313.7,207.6,D,0
13.6102,-14.8449,356.5,1.5,1.2,2000-11-26,1133,Terra,MODIS,98,6.2,311.2,114.5,D,0
13.6068,-14.8179,353.7,1.5,1.2,2000-11-26,1133,Terra,MODIS,96,6.2,310.7,99,D,0
13.6193,-14.8635,343.5,1.5,1.2,2000-11-26,1133,Terra,MODIS,91,6.2,306.9,66.6,D,0
13.6175,-14.8499,343.3,1.5,1.2,2000-11-26,1133,Terra,MODIS,88,6.2,307.1,63.5,D,0
13.6139,-14.823,339.5,1.5,1.2,2000-11-26,1133,Terra,MODIS,84,6.2,307.8,50.1,D,0
13.6121,-14.8096,328.6,1.5,1.2,2000-11-26,1133,Terra,MODIS,30,6.2,308.4,22.6,D,0
13.614,-14.9058,421.9,1.5,1.2,2000-11-26,1133,Terra,MODIS,100,6.2,318.7,721.6,D,0
13.6122,-14.892,400.2,1.5,1.2,2000-11-26,1133,Terra,MODIS,100,6.2,318.1,435.1,D,0
13.6104,-14.8784,369.7,1.5,1.2,2000-11-26,1133,Terra,MODIS,100,6.2,313.7,182.3,D,0
13.6086,-14.8649,349.7,1.5,1.2,2000-11-26,1133,Terra,MODIS,94,6.2,312.6,84.9,D,0
13.6068,-14.8513,351.3,1.5,1.2,2000-11-26,1133,Terra,MODIS,95,6.2,312,89.4,D,0
13.605,-14.8379,332.7,1.5,1.2,2000-11-26,1133,Terra,MODIS,61,6.2,310.8,31.8,D,0
13.6014,-14.811,327.8,1.5,1.2,2000-11-26,1133,Terra,MODIS,74,6.2,310.4,24.4,D,0
13.5996,-14.7976,324.4,1.5,1.2,2000-11-26,1133,Terra,MODIS,62,6.2,308.5,17.6,D,0
13.6014,-14.8936,341.1,1.5,1.2,2000-11-26,1133,Terra,MODIS,85,6.2,307.5,61,D,0
13.434,-14.1842,321.9,1.3,1.1,2000-11-26,1133,Terra,MODIS,65,6.2,307.4,14.2,D,0
13.4249,-14.1797,321.2,1.3,1.1,2000-11-26,1133,Terra,MODIS,61,6.2,307.5,13.5,D,0
13.4334,-14.5594,323.5,1.4,1.2,2000-11-26,1133,Terra,MODIS,73,6.2,307.4,16.4,D,0
13.4318,-14.5466,320.7,1.4,1.2,2000-11-26,1133,Terra,MODIS,37,6.2,307.9,11.5,D,0
13.4754,-15.229,345.8,1.6,1.2,2000-11-26,1133,Terra,MODIS,92,6.2,307.5,84.3,D,0
13.4742,-15.2352,325,1.6,1.2,2000-11-26,1133,Terra,MODIS,75,6.2,305.8,25.3,D,0
13.4723,-15.2209,344,1.6,1.2,2000-11-26,1133,Terra,MODIS,91,6.2,307.3,76.6,D,0
13.372,-14.5475,342.1,1.4,1.2,2000-11-26,1133,Terra,MODIS,90,6.2,307.2,58.9,D,0
13.3703,-14.5347,328.2,1.4,1.2,2000-11-26,1133,Terra,MODIS,79,6.2,306.8,26.1,D,0
13.3616,-14.5488,350.2,1.4,1.2,2000-11-26,1133,Terra,MODIS,95,6.2,306.7,85.5,D,0
13.3464,-14.4349,337.2,1.4,1.2,2000-11-26,1133,Terra,MODIS,87,6.2,306.7,46.5,D,0
13.3511,-14.5502,348.8,1.4,1.2,2000-11-26,1133,Terra,MODIS,94,6.2,307.4,80.1,D,0
13.3494,-14.5374,347.8,1.4,1.2,2000-11-26,1133,Terra,MODIS,94,6.2,308.2,76.9,D,0
