latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
7.7063,1.1794,311.9,4.3,1.9,2000-11-01,1002,Terra,MODIS,61,6.2,291.1,47.8,D,0
10.6168,0.6838,313,1,1,2000-11-02,1045,Terra,MODIS,31,6.2,293.5,4.8,D,0
9.7263,1.2261,338.8,1,1,2000-11-02,1045,Terra,MODIS,89,6.2,302.6,30.4,D,0
9.7249,1.2352,319.7,1,1,2000-11-02,1045,Terra,MODIS,66,6.2,300,6.5,D,0
10.9592,0.8288,320.7,1.3,1.1,2000-11-04,1032,Terra,MODIS,31,6.2,305.9,10.5,D,0
10.9109,0.7246,326.7,1.3,1.1,2000-11-04,1032,Terra,MODIS,64,6.2,310.9,13.6,D,0
10.8759,0.6147,322.4,1.4,1.2,2000-11-04,1032,Terra,MODIS,35,6.2,307.4,9.9,D,0
10.8172,0.5818,322,1.4,1.2,2000-11-04,1032,Terra,MODIS,56,6.2,306.4,12.4,D,0
10.8281,0.4499,318.3,1.4,1.2,2000-11-04,1032,Terra,MODIS,41,6.2,304.5,7.9,D,0
10.6028,0.4451,325.7,1.4,1.2,2000-11-04,1032,Terra,MODIS,73,6.2,304.7,20.9,D,0
7.7112,1.2154,367.1,1.1,1.1,2000-11-04,1033,Terra,MODIS,100,6.2,301.9,119.1,D,0
7.7097,1.2257,339.7,1.1,1.1,2000-11-04,1033,Terra,MODIS,89,6.2,301.5,40.5,D,0
7.7016,1.2141,321.6,1.1,1.1,2000-11-04,1033,Terra,MODIS,72,6.2,300.6,12.6,D,0
10.9688,0.7814,321.6,2.6,1.5,2000-11-05,1115,Terra,MODIS,26,6.2,305.6,28.5,D,0
10.9591,0.7556,322.8,2.6,1.5,2000-11-05,1115,Terra,MODIS,35,6.2,307.1,35.2,D,0
10.9532,0.749,323,2.6,1.5,2000-11-05,1115,Terra,MODIS,33,6.2,305.3,34.2,D,0
10.8165,0.1446,338.7,2.3,1.5,2000-11-05,1115,Terra,MODIS,82,6.2,305.5,100.1,D,0
10.8128,0.1659,328.8,2.3,1.5,2000-11-05,1115,Terra,MODIS,74,6.2,304.9,53.1,D,0
10.5224,0.2516,326.5,2.4,1.5,2000-11-05,1115,Terra,MODIS,76,6.2,303.4,52.5,D,0
10.2867,0.6376,323.9,2.6,1.6,2000-11-05,1115,Terra,MODIS,74,6.2,301.6,46.6,D,0
10.9483,0.5332,322.5,1.5,1.2,2000-11-07,1103,Terra,MODIS,42,6.2,308.8,10.8,D,0
10.8745,0.6237,380.5,1.5,1.2,2000-11-07,1103,Terra,MODIS,100,6.2,312.2,252.2,D,0
10.8724,0.6372,325.5,1.5,1.2,2000-11-07,1103,Terra,MODIS,56,6.2,307.3,16.7,D,0
10.8828,0.5028,322.5,1.5,1.2,2000-11-07,1103,Terra,MODIS,40,6.2,309.1,13.7,D,0
10.8638,0.622,338.7,1.5,1.2,2000-11-07,1103,Terra,MODIS,87,6.2,306.8,47.6,D,0
10.851,0.5652,328.2,1.5,1.2,2000-11-07,1103,Terra,MODIS,76,6.2,309.4,25.1,D,0
10.8488,0.5785,324.1,1.5,1.2,2000-11-07,1103,Terra,MODIS,58,6.2,309,15.2,D,0
10.8028,0.6338,324.7,1.5,1.2,2000-11-07,1103,Terra,MODIS,72,6.2,306.2,22.2,D,0
10.7852,0.4007,321,1.4,1.2,2000-11-07,1103,Terra,MODIS,52,6.2,306.4,10.4,D,0
10.7831,0.4137,331.8,1.4,1.2,2000-11-07,1103,Terra,MODIS,80,6.2,308.1,31.7,D,0
10.7234,0.5798,323,1.5,1.2,2000-11-07,1103,Terra,MODIS,67,6.2,305.2,15.1,D,0
10.7212,0.5931,326.3,1.5,1.2,2000-11-07,1103,Terra,MODIS,74,6.2,306.8,22.7,D,0
10.7182,0.5861,329,1.5,1.2,2000-11-07,1103,Terra,MODIS,78,6.2,306.2,27.8,D,0
10.6169,0.6666,318,1.5,1.2,2000-11-07,1103,Terra,MODIS,46,6.2,303.8,11.5,D,0
10.3761,0.651,325.2,1.5,1.2,2000-11-07,1103,Terra,MODIS,58,6.2,309,16.4,D,0
10.3674,0.6356,326.2,1.5,1.2,2000-11-07,1103,Terra,MODIS,71,6.2,306.6,20.6,D,0
10.3652,0.6492,350.2,1.5,1.2,2000-11-07,1103,Terra,MODIS,95,6.2,309.2,91,D,0
10.2005,0.5965,321.4,1.5,1.2,2000-11-07,1103,Terra,MODIS,45,6.2,304.8,15.5,D,0
10.1897,0.5948,322.9,1.5,1.2,2000-11-07,1103,Terra,MODIS,61,6.2,303.8,19.7,D,0
9.2084,1.3782,313.9,1.8,1.3,2000-11-07,1103,Terra,MODIS,58,6.2,300.6,11.7,D,0
11.0035,0.4607,323.4,1,1,2000-11-09,1051,Terra,MODIS,60,6.2,306.8,7.7,D,0
10.5317,0.7752,322.6,1,1,2000-11-09,1051,Terra,MODIS,61,6.2,307.9,7.5,D,0
10.4194,0.4208,321.2,1,1,2000-11-09,1051,Terra,MODIS,35,6.2,307.2,7.6,D,0
10.3393,0.7047,326.2,1,1,2000-11-09,1051,Terra,MODIS,70,6.2,309.2,9.6,D,0
10.3321,0.6975,334.8,1,1,2000-11-09,1051,Terra,MODIS,83,6.2,308.9,23.5,D,0
10.3307,0.707,341.1,1,1,2000-11-09,1051,Terra,MODIS,89,6.2,308.6,34.1,D,0
10.2686,0.5632,326.1,1,1,2000-11-09,1051,Terra,MODIS,73,6.2,306.2,12.8,D,0
10.2657,0.5819,327.2,1,1,2000-11-09,1051,Terra,MODIS,70,6.2,306.5,13.9,D,0
10.069,1.096,322.6,1.1,1,2000-11-09,1051,Terra,MODIS,69,6.2,305.3,11.1,D,0
10.1103,0.5748,318.8,1,1,2000-11-09,1051,Terra,MODIS,56,6.2,303.8,6.7,D,0
10.1089,0.5842,318.9,1,1,2000-11-09,1051,Terra,MODIS,56,6.2,303.2,6.6,D,0
8.6257,0.5132,317.1,1.1,1,2000-11-09,1051,Terra,MODIS,63,6.2,300,7.6,D,0
7.7232,1.1794,313.8,1.2,1.1,2000-11-09,1052,Terra,MODIS,45,6.2,296.4,4.3,D,0
7.7216,1.1897,325.7,1.2,1.1,2000-11-09,1052,Terra,MODIS,79,6.2,298.4,18,D,0
7.7137,1.1779,315.4,1.2,1.1,2000-11-09,1052,Terra,MODIS,60,6.2,298.2,5.9,D,0
