latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.4735,53.631,309.2,2.7,1.6,2000-11-01,0814,Terra,MODIS,61,6.2,293.7,19.4,D,2
39.4705,53.6343,313,1.3,1.1,2000-11-02,0719,Terra,MODIS,69,6.2,294.1,11,D,2
39.4755,53.2016,310.4,1.3,1.1,2000-11-02,0719,Terra,MODIS,37,6.2,292.8,9,D,2
39.4794,53.1961,314.7,1.3,1.1,2000-11-02,0719,Terra,MODIS,71,6.2,293.1,14.8,D,2
38.1437,58.2875,325.9,1,1,2000-11-02,0719,Terra,MODIS,81,6.2,296.9,19.3,D,0
38.1419,58.2989,317.3,1,1,2000-11-02,0719,Terra,MODIS,71,6.2,296.7,10.6,D,0
37.5716,59.5992,318.9,1.1,1,2000-11-02,0719,Terra,MODIS,74,6.2,300.7,12.4,D,0
39.4673,53.64,319.1,1.3,1.1,2000-11-02,1824,Terra,MODIS,98,6.2,282.5,31.3,N,2
42.6206,58.6052,302.5,1.2,1.1,2000-11-04,0706,Terra,MODIS,53,6.2,287.8,5.9,D,0
42.1594,59.377,301.4,1.1,1,2000-11-04,0706,Terra,MODIS,47,6.2,286.8,4.8,D,0
42.1578,59.39,313.2,1.1,1,2000-11-04,0706,Terra,MODIS,73,6.2,286.5,13.3,D,0
40.2553,61.2934,327.7,1,1,2000-11-04,0706,Terra,MODIS,83,6.2,296.9,20.3,D,0
39.4705,53.639,320.2,1.2,1.1,2000-11-05,0750,Terra,MODIS,77,6.2,298.4,16.8,D,2
39.4781,53.1981,323.7,1.2,1.1,2000-11-05,0750,Terra,MODIS,80,6.2,297.4,20.2,D,2
37.929,53.9153,311.3,1.3,1.1,2000-11-05,0750,Terra,MODIS,66,6.2,296.6,9.7,D,0
39.4701,53.6333,302.9,1.2,1.1,2000-11-05,1854,Terra,MODIS,52,6.2,278.5,11.1,N,2
39.4732,53.6403,304.1,1.2,1.1,2000-11-05,1854,Terra,MODIS,58,6.2,278.5,13.2,N,2
38.852,54.2333,311.6,1,1,2000-11-07,0738,Terra,MODIS,68,6.2,291.6,8,D,0
38.5046,54.1985,310,1,1,2000-11-07,0738,Terra,MODIS,63,6.2,295.2,4.9,D,0
37.9293,53.9137,314.3,1,1,2000-11-07,0738,Terra,MODIS,69,6.2,297.8,8.1,D,0
37.9294,53.9134,300.3,1,1,2000-11-07,1842,Terra,MODIS,25,6.2,275,8.5,N,0
39.467,53.6367,309.3,1,1,2000-11-07,1842,Terra,MODIS,77,6.2,276.5,14.1,N,2
39.4786,53.2006,305.3,1,1,2000-11-07,1842,Terra,MODIS,64,6.2,275.5,11.4,N,2
38.7478,56.7987,306.3,1,1,2000-11-09,0725,Terra,MODIS,63,6.2,287.5,6.6,D,0
38.746,56.8102,308.9,1,1,2000-11-09,0725,Terra,MODIS,68,6.2,288,8.6,D,0
37.9257,53.9131,308.6,1.1,1,2000-11-09,0726,Terra,MODIS,55,6.2,290,5.8,D,0
