latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.3435,103.5001,312,1,1,2000-11-04,0356,Terra,MODIS,64,6.2,296.9,5.2,D,0
12.9514,102.8752,317.1,1,1,2000-11-11,0402,Terra,MODIS,69,6.2,296.1,9.9,D,0
12.8807,102.9155,310.4,1,1,2000-11-11,0402,Terra,MODIS,50,6.2,297.6,4.6,D,0
12.274,105.7535,312.7,1.4,1.2,2000-11-11,0402,Terra,MODIS,0,6.2,295.3,10.3,D,0
12.1453,105.7123,315.2,1.4,1.2,2000-11-11,0402,Terra,MODIS,49,6.2,296.1,11.9,D,0
10.9717,103.699,316.1,1,1,2000-11-13,0351,Terra,MODIS,65,6.2,294.4,7.4,D,0
10.9512,103.785,316.2,1.4,1.2,2000-11-15,0338,Terra,MODIS,68,6.2,291.1,13.9,D,0
14.1545,104.7981,314.9,1.5,1.2,2000-11-18,0408,Terra,MODIS,72,6.2,293,13.6,D,0
11.2578,103.7566,311.5,1,1,2000-11-20,0356,Terra,MODIS,54,6.2,291.3,5.4,D,0
14.3256,104.0638,308.6,1.2,1.1,2000-11-22,0343,Terra,MODIS,64,6.2,276.2,11,D,0
14.1649,102.9465,313.8,1,1,2000-11-27,0402,Terra,MODIS,43,6.2,297.2,5.8,D,0
14.3007,104.9332,317.8,1,1,2000-11-29,0349,Terra,MODIS,70,6.2,297.9,8.8,D,0
14.2907,104.9346,314.8,1,1,2000-11-29,0349,Terra,MODIS,64,6.2,297.9,6.9,D,0
11.6132,104.9045,315.8,1,1,2000-11-29,0350,Terra,MODIS,0,6.2,289.6,10,D,0
14.2844,104.9234,310.6,1.5,1.2,2000-12-04,0407,Terra,MODIS,60,6.2,297.7,7.8,D,0
14.1987,105.1524,309.5,1.5,1.2,2000-12-04,0407,Terra,MODIS,59,6.2,297.4,8.8,D,0
14.1514,103.9108,315.6,1.3,1.1,2000-12-04,0407,Terra,MODIS,58,6.2,301.7,10.8,D,0
12.3129,105.5428,313.1,1.7,1.3,2000-12-04,0408,Terra,MODIS,56,6.2,297.1,12.1,D,0
11.189,103.4506,313.1,1.3,1.1,2000-12-04,0408,Terra,MODIS,60,6.2,298.5,8,D,0
14.3314,104.3859,314,1,1,2000-12-06,0355,Terra,MODIS,68,6.2,295.5,7.6,D,0
14.33,104.3951,312.5,1,1,2000-12-06,0355,Terra,MODIS,66,6.2,295.3,6.2,D,0
14.3183,104.4121,313.4,1,1,2000-12-06,0355,Terra,MODIS,68,6.2,293.7,7.4,D,0
14.3169,104.4213,312.1,1,1,2000-12-06,0355,Terra,MODIS,65,6.2,294.1,6.9,D,0
14.1728,102.9458,311.3,1,1,2000-12-06,0355,Terra,MODIS,39,6.2,295.5,6.4,D,0
14.1715,102.9551,310.4,1,1,2000-12-06,0355,Terra,MODIS,45,6.2,295.3,5.3,D,0
13.4237,102.4528,310.3,1,1,2000-12-06,0355,Terra,MODIS,38,6.2,294.1,5.7,D,0
13.4223,102.4623,315.9,1,1,2000-12-06,0355,Terra,MODIS,66,6.2,292.5,11,D,0
14.1486,104.738,313.3,1.8,1.3,2000-12-10,0330,Terra,MODIS,64,6.2,295.6,12.9,D,0
14.1465,104.7542,314.5,1.8,1.3,2000-12-10,0330,Terra,MODIS,66,6.2,295.6,14.7,D,0
12.3832,107.2198,318.9,1.2,1.1,2000-12-10,0331,Terra,MODIS,74,6.2,296.1,15.7,D,0
12.3239,107.1948,316.5,1.2,1.1,2000-12-10,0331,Terra,MODIS,66,6.2,297.7,11.8,D,0
12.3143,105.5433,315.7,1.5,1.2,2000-12-10,0331,Terra,MODIS,68,6.2,297,13.2,D,0
11.3348,103.4789,314.5,2,1.4,2000-12-10,0331,Terra,MODIS,61,6.2,294.7,19.7,D,0
11.3325,103.497,316.1,2,1.4,2000-12-10,0331,Terra,MODIS,68,6.2,295.2,22.2,D,0
14.2896,104.4972,317.8,1.8,1.3,2000-12-11,0413,Terra,MODIS,71,6.2,291,24.6,D,0
13.9429,104.6463,313,1.8,1.3,2000-12-11,0413,Terra,MODIS,64,6.2,292.3,14.5,D,0
13.779,102.753,315.9,1.2,1.1,2000-12-15,0349,Terra,MODIS,67,6.2,297.4,9.8,D,0
11.2,103.6771,315.8,1,1,2000-12-15,0350,Terra,MODIS,69,6.2,295.6,7.4,D,0
11.0099,103.9107,309.9,1,1,2000-12-15,0350,Terra,MODIS,46,6.2,290.1,4.3,D,0
11.005,103.3043,312.7,1.1,1,2000-12-15,0350,Terra,MODIS,63,6.2,296,5.9,D,0
10.9355,103.7243,313.9,1,1,2000-12-15,0350,Terra,MODIS,67,6.2,296.6,6.8,D,0
13.7254,102.6769,310.3,3,1.6,2000-12-16,0432,Terra,MODIS,52,6.2,291.6,18.7,D,0
13.4177,102.3544,313.9,2.9,1.6,2000-12-16,0432,Terra,MODIS,65,6.2,293.4,29.1,D,0
13.4298,102.3501,311.8,2.9,1.6,2000-12-16,0432,Terra,MODIS,59,6.2,293.6,21.9,D,0
14.2098,104.8345,314.2,1.4,1.2,2000-12-17,0337,Terra,MODIS,62,6.2,297.1,8.4,D,0
13.9664,106.3272,313.4,1.1,1.1,2000-12-17,0337,Terra,MODIS,58,6.2,296.1,7.7,D,0
12.3684,107.2083,322.7,1,1,2000-12-17,0337,Terra,MODIS,79,6.2,292.3,17.2,D,0
12.3671,107.2176,309.1,1,1,2000-12-17,0337,Terra,MODIS,48,6.2,289.8,5.3,D,0
11.2999,103.5032,312,1.5,1.2,2000-12-17,0337,Terra,MODIS,56,6.2,296.7,9.1,D,0
11.1615,103.4368,313.4,1.5,1.2,2000-12-17,0338,Terra,MODIS,57,6.2,296.4,10.3,D,0
11.1069,103.4089,311.5,1.5,1.2,2000-12-17,0338,Terra,MODIS,58,6.2,295.7,8.6,D,0
11.1051,103.4228,310.9,1.5,1.2,2000-12-17,0338,Terra,MODIS,49,6.2,295.4,7.6,D,0
10.909,103.7658,314.4,1.4,1.2,2000-12-17,0338,Terra,MODIS,66,6.2,296.1,11.8,D,0
14.3107,104.5106,310,2.3,1.5,2000-12-18,0419,Terra,MODIS,39,6.2,294.5,9,D,0
14.3001,104.3526,310,2.3,1.5,2000-12-18,0419,Terra,MODIS,30,6.2,295.4,12.3,D,0
13.8721,105.4893,315.8,2.8,1.6,2000-12-18,0420,Terra,MODIS,57,6.2,296.9,34.7,D,0
13.8578,105.4866,322.9,2.8,1.6,2000-12-18,0420,Terra,MODIS,78,6.2,296.8,67.5,D,0
13.8695,105.4821,326.7,2.8,1.6,2000-12-18,0420,Terra,MODIS,82,6.2,297.2,85.2,D,0
13.8553,105.4794,313.5,2.8,1.6,2000-12-18,0420,Terra,MODIS,64,6.2,296.6,28,D,0
13.923,102.8972,335.5,1.8,1.3,2000-12-18,0420,Terra,MODIS,87,6.2,297.6,66.2,D,0
13.9274,102.8915,338.1,1.8,1.3,2000-12-18,0420,Terra,MODIS,89,6.2,297.9,76.7,D,0
13.9247,102.9078,315.8,1.8,1.3,2000-12-18,0420,Terra,MODIS,64,6.2,296.9,14.9,D,0
12.9707,102.5971,313.6,1.8,1.3,2000-12-18,0420,Terra,MODIS,61,6.2,297.9,15.4,D,0
12.9745,102.5921,312.2,1.8,1.3,2000-12-18,0420,Terra,MODIS,57,6.2,298.1,12.2,D,0
14.3679,104.9551,305.3,1.9,1.4,2000-12-18,1511,Terra,MODIS,64,6.2,293.5,14.5,N,0
14.3257,104.5522,313,1.4,1.2,2000-12-20,0407,Terra,MODIS,27,6.2,296.5,9,D,0
14.3048,104.4391,317,1.4,1.2,2000-12-20,0407,Terra,MODIS,46,6.2,297.9,10.7,D,0
14.1682,104.8822,314.8,1.5,1.2,2000-12-20,0407,Terra,MODIS,47,6.2,296.9,9.6,D,0
14.166,104.8957,315.1,1.5,1.2,2000-12-20,0407,Terra,MODIS,40,6.2,296.4,10.2,D,0
14.1203,104.9716,315.9,1.5,1.2,2000-12-20,0407,Terra,MODIS,66,6.2,296.8,12.6,D,0
14.1284,104.9665,317.7,1.5,1.2,2000-12-20,0407,Terra,MODIS,69,6.2,297.8,15.5,D,0
14.2864,103.6521,323.9,1.2,1.1,2000-12-20,0407,Terra,MODIS,76,6.2,299.2,19,D,0
13.967,105.6047,316.9,1.7,1.3,2000-12-20,0407,Terra,MODIS,68,6.2,296.3,17.1,D,0
13.9557,105.6027,324.5,1.7,1.3,2000-12-20,0407,Terra,MODIS,78,6.2,296,34.1,D,0
14.174,103.9694,317.5,1.3,1.1,2000-12-20,0407,Terra,MODIS,67,6.2,298.4,11.8,D,0
14.0452,103.7512,325.4,1.3,1.1,2000-12-20,0407,Terra,MODIS,79,6.2,298.3,21.9,D,0
14.0453,103.7454,318.6,1.3,1.1,2000-12-20,0407,Terra,MODIS,71,6.2,298.5,12.9,D,0
14.0435,103.7569,316,1.3,1.1,2000-12-20,0407,Terra,MODIS,66,6.2,297.9,10.5,D,0
14.0505,103.5836,317.3,1.2,1.1,2000-12-20,0407,Terra,MODIS,69,6.2,298.4,9,D,0
14.0318,103.6382,314.9,1.2,1.1,2000-12-20,0407,Terra,MODIS,64,6.2,297.3,7.5,D,0
14.063,103.3146,325.4,1.2,1.1,2000-12-20,0407,Terra,MODIS,79,6.2,297,19.6,D,0
14.0613,103.3254,327.5,1.2,1.1,2000-12-20,0407,Terra,MODIS,81,6.2,298.4,22.8,D,0
14.0426,103.2558,316.3,1.2,1.1,2000-12-20,0407,Terra,MODIS,48,6.2,296.7,8.4,D,0
13.9135,102.8449,318.8,1.1,1.1,2000-12-20,0407,Terra,MODIS,70,6.2,297.4,9.2,D,0
13.6635,103.8896,314.3,1.3,1.1,2000-12-20,0407,Terra,MODIS,61,6.2,295.6,11.3,D,0
13.5773,104.4161,312.6,1.4,1.2,2000-12-20,0407,Terra,MODIS,47,6.2,294.4,8.3,D,0
13.4284,104.1981,312.3,1.4,1.2,2000-12-20,0408,Terra,MODIS,54,6.2,293.6,8.1,D,0
13.4196,102.3597,317.4,1.1,1,2000-12-20,0408,Terra,MODIS,67,6.2,292,11.2,D,0
12.1026,105.7437,310.7,3.1,1.7,2000-12-21,0313,Terra,MODIS,54,6.2,292.1,24.4,D,0
12.0993,105.7715,313.4,3.1,1.7,2000-12-21,0313,Terra,MODIS,67,6.2,294.2,37.6,D,0
14.3516,104.8962,317.6,1,1,2000-12-22,0355,Terra,MODIS,71,6.2,298,10.2,D,0
14.3023,104.491,312.1,1,1,2000-12-22,0355,Terra,MODIS,54,6.2,297.5,4.4,D,0
14.3253,104.149,332,1,1,2000-12-22,0355,Terra,MODIS,85,6.2,299.2,25.4,D,0
14.217,104.8724,311.6,1,1,2000-12-22,0355,Terra,MODIS,57,6.2,298.6,4.8,D,0
14.3156,104.0913,314.3,1,1,2000-12-22,0355,Terra,MODIS,41,6.2,298.9,4.8,D,0
14.149,105.0753,318.4,1,1,2000-12-22,0355,Terra,MODIS,72,6.2,298.8,10.7,D,0
13.9498,105.4785,315.1,1.1,1,2000-12-22,0355,Terra,MODIS,67,6.2,300.6,7.1,D,0
14.0196,104.8968,314.9,1,1,2000-12-22,0355,Terra,MODIS,21,6.2,299.6,6.2,D,0
14.0153,104.9252,312.6,1,1,2000-12-22,0355,Terra,MODIS,45,6.2,299,4.7,D,0
14.0138,104.9347,315.2,1,1,2000-12-22,0355,Terra,MODIS,67,6.2,299.6,6.9,D,0
14.0105,104.8954,323.7,1,1,2000-12-22,0355,Terra,MODIS,78,6.2,299.8,14.7,D,0
13.9819,104.9007,315.4,1,1,2000-12-22,0355,Terra,MODIS,35,6.2,300.3,5.7,D,0
13.9579,104.9357,313.5,1,1,2000-12-22,0355,Terra,MODIS,63,6.2,299,6,D,0
13.8197,104.9989,314.5,1,1,2000-12-22,0355,Terra,MODIS,55,6.2,299.2,5.9,D,0
14.0517,103.3158,320.6,1,1,2000-12-22,0355,Terra,MODIS,75,6.2,294.8,11.5,D,0
14.078,102.9425,321.3,1,1,2000-12-22,0355,Terra,MODIS,76,6.2,298,11.8,D,0
14.0767,102.9518,318.9,1,1,2000-12-22,0355,Terra,MODIS,61,6.2,298.1,9.4,D,0
