latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.9368,14.8607,331.2,1.2,1.1,2000-11-01,1001,Terra,MODIS,36,6.2,312.8,23.8,D,0
11.9255,14.8523,325.3,1.2,1.1,2000-11-01,1001,Terra,MODIS,38,6.2,311.7,19.8,D,0
11.8316,14.7983,324.3,1.2,1.1,2000-11-01,1001,Terra,MODIS,17,6.2,311.7,13.4,D,0
11.83,14.8091,342.6,1.2,1.1,2000-11-01,1001,Terra,MODIS,87,6.2,313.8,45.6,D,0
11.8283,14.8199,339.7,1.2,1.1,2000-11-01,1001,Terra,MODIS,84,6.2,313,39.1,D,0
11.753,14.5831,324.1,1.2,1.1,2000-11-01,1001,Terra,MODIS,45,6.2,310.1,10.4,D,0
10.5597,14.9464,338.9,1.3,1.1,2000-11-01,1001,Terra,MODIS,85,6.2,310.7,37.4,D,0
10.5579,14.9578,329.8,1.3,1.1,2000-11-01,1001,Terra,MODIS,75,6.2,310.2,19,D,0
9.736,13.5354,329.3,1.1,1,2000-11-01,1001,Terra,MODIS,79,6.2,311.5,16,D,0
9.4822,14.1071,332.4,1.2,1.1,2000-11-01,1002,Terra,MODIS,78,6.2,311.4,19.3,D,0
9.4726,14.1056,331.2,1.2,1.1,2000-11-01,1002,Terra,MODIS,80,6.2,312,17,D,0
9.288,14.1077,321.2,1.2,1.1,2000-11-01,1002,Terra,MODIS,64,6.2,307.5,9.6,D,0
9.2372,14.29,341.9,1.2,1.1,2000-11-01,1002,Terra,MODIS,90,6.2,313.4,41.6,D,0
9.2355,14.3009,325.8,1.2,1.1,2000-11-01,1002,Terra,MODIS,69,6.2,310.7,11.2,D,0
9.2275,14.2885,346.3,1.2,1.1,2000-11-01,1002,Terra,MODIS,93,6.2,310.8,52.1,D,0
9.2504,14.0099,321.4,1.2,1.1,2000-11-01,1002,Terra,MODIS,68,6.2,306.4,9.9,D,0
9.1711,14.203,325.6,1.2,1.1,2000-11-01,1002,Terra,MODIS,64,6.2,308,12.3,D,0
8.8434,13.3019,317.9,1.1,1,2000-11-01,1002,Terra,MODIS,36,6.2,291,12.4,D,0
8.5918,14.7622,323.6,1.3,1.1,2000-11-01,1002,Terra,MODIS,74,6.2,304.5,19.9,D,0
8.2727,14.4415,318.8,1.3,1.1,2000-11-01,1002,Terra,MODIS,67,6.2,303.8,10.7,D,0
7.254,12.7143,310.2,1.1,1,2000-11-01,1002,Terra,MODIS,52,6.2,290,5.9,D,0
6.8476,14.1221,318.6,1.3,1.1,2000-11-01,1002,Terra,MODIS,73,6.2,300.2,12.5,D,0
6.8459,14.1333,315.6,1.3,1.1,2000-11-01,1002,Terra,MODIS,63,6.2,301.2,8.7,D,0
6.7395,12.8831,312.5,1.1,1,2000-11-01,1002,Terra,MODIS,37,6.2,297.5,4.8,D,0
4.8447,9.8196,310.5,1,1,2000-11-01,1003,Terra,MODIS,42,6.2,291.9,5.4,D,0
12.0929,14.7351,363.9,1,1,2000-11-02,2134,Terra,MODIS,100,6.2,284,100,N,0
12.0916,14.7259,372.3,1,1,2000-11-02,2134,Terra,MODIS,100,6.2,284.8,127.5,N,0
12.1012,14.728,308.8,1,1,2000-11-02,2134,Terra,MODIS,75,6.2,279.3,10.7,N,0
12.3757,14.8929,329.3,1,1,2000-11-03,0949,Terra,MODIS,54,6.2,305.7,14.3,D,0
12.0981,14.7121,337.7,1,1,2000-11-03,0949,Terra,MODIS,84,6.2,311.3,21.9,D,0
12.0968,14.7213,347,1,1,2000-11-03,0949,Terra,MODIS,92,6.2,313.5,37.8,D,0
12.0955,14.7305,339.3,1,1,2000-11-03,0949,Terra,MODIS,86,6.2,314.9,23.6,D,0
