latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.7845,21.1211,313.1,3.8,1.8,2000-11-01,1001,Terra,MODIS,47,6.2,299.8,34.2,D,0
9.3819,22.439,330.1,4.8,2,2000-11-01,1001,Terra,MODIS,78,6.2,298.8,204.9,D,0
9.3641,22.4361,314.3,4.8,2,2000-11-01,1001,Terra,MODIS,50,6.2,294,64.4,D,0
9.3836,22.4322,320.9,4.8,2,2000-11-01,1001,Terra,MODIS,44,6.2,298.2,107.9,D,0
9.3657,22.4295,316.6,4.8,2,2000-11-01,1001,Terra,MODIS,20,6.2,293.9,74,D,0
9.1021,22.0629,326.2,4.6,2,2000-11-01,1001,Terra,MODIS,73,6.2,292.5,153.2,D,0
9.095,22.1028,325.4,4.6,2,2000-11-01,1001,Terra,MODIS,65,6.2,295.2,147.1,D,0
9.0847,22.0599,323,4.6,2,2000-11-01,1001,Terra,MODIS,76,6.2,292.6,135.5,D,0
9.0775,22.0999,321.2,4.6,2,2000-11-01,1001,Terra,MODIS,74,6.2,293.2,120.7,D,0
9.1019,22.0561,321.2,4.6,2,2000-11-01,1001,Terra,MODIS,40,6.2,292.1,105.2,D,0
9.0951,22.0962,328.7,4.6,2,2000-11-01,1001,Terra,MODIS,74,6.2,295.2,181.7,D,0
9.0845,22.0531,318.3,4.6,2,2000-11-01,1001,Terra,MODIS,68,6.2,292.6,93.1,D,0
9.0776,22.0933,324.9,4.6,2,2000-11-01,1001,Terra,MODIS,78,6.2,293.3,153.5,D,0
8.9841,20.6487,316.5,3.6,1.8,2000-11-01,1001,Terra,MODIS,50,6.2,302.9,45.7,D,0
8.9786,20.6804,322.5,3.6,1.8,2000-11-01,1001,Terra,MODIS,75,6.2,303.2,82.4,D,0
8.97,20.6718,319.1,3.6,1.8,2000-11-01,1001,Terra,MODIS,25,6.2,303.5,51.3,D,0
8.8695,20.6881,313.4,3.6,1.8,2000-11-01,1001,Terra,MODIS,51,6.2,300.4,32.9,D,0
8.8607,20.6813,316.5,3.6,1.8,2000-11-01,1001,Terra,MODIS,65,6.2,301.6,47.9,D,0
8.7153,20.6154,312.3,3.6,1.8,2000-11-01,1001,Terra,MODIS,44,6.2,298.2,27.3,D,0
8.7098,20.6474,314.1,3.6,1.8,2000-11-01,1001,Terra,MODIS,57,6.2,297.6,37.3,D,0
7.8065,18.6021,320.9,2.6,1.5,2000-11-01,1002,Terra,MODIS,74,6.2,299.4,46.5,D,0
7.8145,18.5967,312.9,2.6,1.5,2000-11-01,1002,Terra,MODIS,50,6.2,298.7,18.9,D,0
7.8229,18.4574,312.3,2.5,1.5,2000-11-01,1002,Terra,MODIS,59,6.2,298.6,18.1,D,0
7.8007,18.5941,315.4,2.6,1.5,2000-11-01,1002,Terra,MODIS,66,6.2,299,26.8,D,0
7.7494,18.5622,312.5,2.6,1.5,2000-11-01,1002,Terra,MODIS,60,6.2,298.8,18.2,D,0
7.722,18.3436,312.6,2.5,1.5,2000-11-01,1002,Terra,MODIS,60,6.2,298,21.5,D,0
7.7184,18.3658,315.6,2.5,1.5,2000-11-01,1002,Terra,MODIS,67,6.2,297.8,30.5,D,0
7.6016,17.8748,322.9,2.3,1.5,2000-11-01,1002,Terra,MODIS,77,6.2,298,50.8,D,0
7.5033,18.3873,313.2,2.5,1.5,2000-11-01,1002,Terra,MODIS,62,6.2,298.2,23.7,D,0
7.3917,18.2881,311.7,2.5,1.5,2000-11-01,1002,Terra,MODIS,52,6.2,296.8,14,D,0
7.3459,18.1449,312.5,2.4,1.5,2000-11-01,1002,Terra,MODIS,26,6.2,294.1,19.8,D,0
7.3199,18.3384,314.5,2.5,1.5,2000-11-01,1002,Terra,MODIS,66,6.2,299.3,20,D,0
10.9149,22.4326,320.3,1.3,1.1,2000-11-02,0906,Terra,MODIS,48,6.2,303.9,10.8,D,0
10.4322,22.3173,313.1,1.3,1.1,2000-11-02,0906,Terra,MODIS,59,6.2,291,9.5,D,0
10.2323,23.4102,320.6,1.1,1.1,2000-11-02,0906,Terra,MODIS,46,6.2,302.6,8.5,D,0
10.2275,23.4134,327.4,1.1,1.1,2000-11-02,0906,Terra,MODIS,66,6.2,303.6,19.8,D,0
10.3565,22.2758,313.2,1.3,1.1,2000-11-02,0906,Terra,MODIS,59,6.2,293.2,9.9,D,0
10.1634,23.2174,325,1.2,1.1,2000-11-02,0906,Terra,MODIS,73,6.2,304.1,16.1,D,0
10.1591,23.1084,319.2,1.2,1.1,2000-11-02,0906,Terra,MODIS,61,6.2,296.2,12.1,D,0
10.2181,22.3121,311.8,1.3,1.1,2000-11-02,0906,Terra,MODIS,46,6.2,290.1,7.8,D,0
10.1047,23.1445,321.6,1.2,1.1,2000-11-02,0906,Terra,MODIS,67,6.2,299.7,13.2,D,0
10.1032,23.1551,320.7,1.2,1.1,2000-11-02,0906,Terra,MODIS,62,6.2,302.5,11.9,D,0
10.1427,22.5695,324.1,1.3,1.1,2000-11-02,0906,Terra,MODIS,60,6.2,303.5,12.7,D,0
10.1342,22.5566,327.2,1.3,1.1,2000-11-02,0906,Terra,MODIS,65,6.2,304.9,18.2,D,0
10.1222,21.8985,319,1.4,1.2,2000-11-02,0906,Terra,MODIS,32,6.2,293.3,13.7,D,0
10.1205,21.9111,320,1.4,1.2,2000-11-02,0906,Terra,MODIS,52,6.2,292.5,14.6,D,0
9.8912,23.5666,332.2,1.1,1.1,2000-11-02,0906,Terra,MODIS,81,6.2,305.9,23.2,D,0
9.8897,23.5767,332.4,1.1,1.1,2000-11-02,0906,Terra,MODIS,81,6.2,301.5,23.7,D,0
10.0039,22.6142,322,1.3,1.1,2000-11-02,0906,Terra,MODIS,67,6.2,301.7,13.3,D,0
9.9954,22.6014,320.1,1.3,1.1,2000-11-02,0906,Terra,MODIS,46,6.2,300.2,10.1,D,0
9.9939,22.6128,342.4,1.3,1.1,2000-11-02,0906,Terra,MODIS,91,6.2,302.2,52.3,D,0
9.9742,22.5338,329.3,1.3,1.1,2000-11-02,0906,Terra,MODIS,82,6.2,301,22.8,D,0
9.9637,22.4622,323.2,1.3,1.1,2000-11-02,0906,Terra,MODIS,58,6.2,296.1,16.8,D,0
9.8734,23.039,319.5,1.2,1.1,2000-11-02,0906,Terra,MODIS,66,6.2,301.7,11,D,0
9.7987,23.4335,322.8,1.1,1.1,2000-11-02,0906,Terra,MODIS,69,6.2,298,14,D,0
9.7973,23.4437,323.2,1.1,1.1,2000-11-02,0906,Terra,MODIS,70,6.2,298.6,14,D,0
9.9141,22.5257,323.1,1.3,1.1,2000-11-02,0906,Terra,MODIS,47,6.2,301.2,14.2,D,0
9.9056,22.5128,323,1.3,1.1,2000-11-02,0906,Terra,MODIS,55,6.2,297.5,15.3,D,0
9.904,22.5243,334.3,1.3,1.1,2000-11-02,0906,Terra,MODIS,86,6.2,300.3,34,D,0
9.8287,22.772,325.4,1.2,1.1,2000-11-02,0906,Terra,MODIS,43,6.2,300.7,17,D,0
9.8173,22.7818,324.5,1.2,1.1,2000-11-02,0906,Terra,MODIS,57,6.2,302.1,16.7,D,0
9.7131,23.4571,328.1,1.1,1.1,2000-11-02,0906,Terra,MODIS,79,6.2,304,19.3,D,0
9.8584,22.3347,323.9,1.3,1.1,2000-11-02,0906,Terra,MODIS,56,6.2,277.3,23,D,0
9.8568,22.3464,325.4,1.3,1.1,2000-11-02,0906,Terra,MODIS,58,6.2,277,25.6,D,0
9.705,23.4456,347.4,1.1,1.1,2000-11-02,0906,Terra,MODIS,93,6.2,304.6,56,D,0
9.7036,23.4557,347,1.1,1.1,2000-11-02,0906,Terra,MODIS,93,6.2,305.8,54.8,D,0
9.8499,22.3215,367.6,1.3,1.1,2000-11-02,0906,Terra,MODIS,100,6.2,282,149.4,D,0
9.8483,22.3333,353.1,1.3,1.1,2000-11-02,0906,Terra,MODIS,97,6.2,279,92.5,D,0
9.8467,22.345,323.4,1.3,1.1,2000-11-02,0906,Terra,MODIS,58,6.2,275.6,22.2,D,0
9.7066,23.0583,323.7,1.2,1.1,2000-11-02,0906,Terra,MODIS,36,6.2,295.7,16.9,D,0
9.6985,23.0461,325,1.2,1.1,2000-11-02,0906,Terra,MODIS,34,6.2,293,18.9,D,0
9.697,23.0568,341.2,1.2,1.1,2000-11-02,0906,Terra,MODIS,81,6.2,296.9,45.4,D,0
9.6955,23.0674,340.5,1.2,1.1,2000-11-02,0906,Terra,MODIS,64,6.2,299.1,41.3,D,0
9.6732,23.0858,324.6,1.2,1.1,2000-11-02,0906,Terra,MODIS,31,6.2,297.2,16.8,D,0
