latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.6234,21.3289,334.9,3.4,1.7,2000-11-01,1000,Terra,MODIS,66,6.2,314.6,105.5,D,0
13.1324,17.7584,331.9,1.8,1.3,2000-11-01,1000,Terra,MODIS,64,6.2,318.8,23.6,D,0
13.1207,17.7563,330.7,1.8,1.3,2000-11-01,1000,Terra,MODIS,60,6.2,318.4,20.1,D,0
13.1254,17.7508,332.4,1.8,1.3,2000-11-01,1000,Terra,MODIS,67,6.2,318.7,24.5,D,0
13.7144,13.9406,348,1.1,1,2000-11-01,1000,Terra,MODIS,91,6.2,318.2,37.2,D,0
13.7052,13.9392,336.2,1.1,1,2000-11-01,1000,Terra,MODIS,77,6.2,319.6,14.9,D,0
13.6789,13.8665,336.3,1,1,2000-11-01,1000,Terra,MODIS,71,6.2,318,16.8,D,0
12.2503,21.9951,339.9,3.9,1.8,2000-11-01,1000,Terra,MODIS,84,6.2,309.6,204.2,D,0
13.6319,13.8141,332.7,1,1,2000-11-01,1000,Terra,MODIS,58,6.2,316.7,13.2,D,0
12.2605,21.9923,324.8,3.9,1.8,2000-11-01,1000,Terra,MODIS,40,6.2,307.7,53.1,D,0
13.6367,13.6598,328.5,1,1,2000-11-01,1000,Terra,MODIS,49,6.2,312.7,12.6,D,0
12.2442,21.9887,341.6,3.9,1.8,2000-11-01,1000,Terra,MODIS,86,6.2,310.5,223.8,D,0
13.5318,13.9289,333.4,1.1,1,2000-11-01,1000,Terra,MODIS,59,6.2,316.9,18.2,D,0
12.2029,21.6226,326,3.7,1.8,2000-11-01,1000,Terra,MODIS,49,6.2,311.8,58.4,D,0
12.1887,21.649,324.7,3.7,1.8,2000-11-01,1000,Terra,MODIS,26,6.2,309.2,38,D,0
11.8184,22.0325,325.7,4,1.9,2000-11-01,1001,Terra,MODIS,55,6.2,305.4,81.5,D,0
11.8137,22.0246,331.3,4,1.9,2000-11-01,1001,Terra,MODIS,74,6.2,306.5,131.7,D,0
11.7386,21.4724,334.3,3.7,1.8,2000-11-01,1001,Terra,MODIS,79,6.2,307.2,138.9,D,0
12.0698,19.5545,339.6,2.6,1.5,2000-11-01,1001,Terra,MODIS,84,6.2,313.4,102.4,D,0
11.7465,21.4672,327.3,3.7,1.8,2000-11-01,1001,Terra,MODIS,67,6.2,306.6,83.2,D,0
12.0639,19.5467,338.9,2.6,1.5,2000-11-01,1001,Terra,MODIS,84,6.2,311.6,96.4,D,0
12.06,19.5699,325.1,2.6,1.5,2000-11-01,1001,Terra,MODIS,20,6.2,312.3,21.3,D,0
12.7971,14.9211,340.4,1.2,1.1,2000-11-01,1001,Terra,MODIS,46,6.2,320.9,26,D,0
12.0279,19.1944,329.6,2.4,1.5,2000-11-01,1001,Terra,MODIS,70,6.2,313,44.2,D,0
12.0325,19.1897,325.3,2.4,1.5,2000-11-01,1001,Terra,MODIS,59,6.2,312.7,27.8,D,0
11.7569,20.4435,324.9,3,1.7,2000-11-01,1001,Terra,MODIS,45,6.2,310.5,41.3,D,0
11.7577,20.4368,325.3,3,1.7,2000-11-01,1001,Terra,MODIS,28,6.2,310.5,40.9,D,0
11.8407,19.8633,321.8,2.7,1.6,2000-11-01,1001,Terra,MODIS,37,6.2,309.6,31.2,D,0
11.7453,19.3084,335.9,2.5,1.5,2000-11-01,1001,Terra,MODIS,82,6.2,309.8,86.8,D,0
11.3097,21.7187,320.9,3.9,1.8,2000-11-01,1001,Terra,MODIS,27,6.2,304.6,54.7,D,0
11.3033,21.7534,324.7,3.9,1.8,2000-11-01,1001,Terra,MODIS,59,6.2,307.7,85.4,D,0
11.7318,19.306,349,2.5,1.5,2000-11-01,1001,Terra,MODIS,93,6.2,310.5,174.7,D,0
11.7382,19.3004,357.7,2.5,1.5,2000-11-01,1001,Terra,MODIS,98,6.2,311,250.5,D,0
11.7344,19.3229,333.6,2.5,1.5,2000-11-01,1001,Terra,MODIS,79,6.2,310.4,73.4,D,0
11.3141,21.7483,325.3,3.9,1.8,2000-11-01,1001,Terra,MODIS,59,6.2,306.5,86.5,D,0
11.2977,21.7454,324.1,3.9,1.8,2000-11-01,1001,Terra,MODIS,55,6.2,307,82.1,D,0
12.307,15.4313,374.8,1.3,1.1,2000-11-01,1001,Terra,MODIS,100,6.2,317.9,163.3,D,0
11.6247,19.5103,321.6,2.6,1.5,2000-11-01,1001,Terra,MODIS,34,6.2,309,29.3,D,0
11.6167,19.0695,325.4,2.4,1.5,2000-11-01,1001,Terra,MODIS,58,6.2,311.3,33.3,D,0
11.5286,19.0474,328.9,2.4,1.5,2000-11-01,1001,Terra,MODIS,68,6.2,310.3,51.3,D,0
11.5153,19.0451,338.8,2.4,1.5,2000-11-01,1001,Terra,MODIS,83,6.2,312.2,97.7,D,0
11.5199,19.0405,344.8,2.4,1.5,2000-11-01,1001,Terra,MODIS,90,6.2,311.2,136.2,D,0
11.795,17.2196,334.1,1.7,1.3,2000-11-01,1001,Terra,MODIS,77,6.2,318,30.8,D,0
11.3521,19.6958,326,2.7,1.6,2000-11-01,1001,Terra,MODIS,68,6.2,308.3,53,D,0
11.3545,19.3957,327,2.6,1.5,2000-11-01,1001,Terra,MODIS,60,6.2,311.2,40.5,D,0
11.8959,16.0225,333.6,1.4,1.2,2000-11-01,1001,Terra,MODIS,75,6.2,317,23.1,D,0
11.0705,20.7778,337,3.3,1.7,2000-11-01,1001,Terra,MODIS,85,6.2,305.1,176.8,D,0
11.2458,19.6954,327.3,2.7,1.6,2000-11-01,1001,Terra,MODIS,70,6.2,306.9,62.1,D,0
11.0552,20.775,318.5,3.3,1.7,2000-11-01,1001,Terra,MODIS,41,6.2,305.4,50.8,D,0
11.2318,19.693,328.5,2.7,1.6,2000-11-01,1001,Terra,MODIS,74,6.2,307.4,68.9,D,0
11.2418,19.6893,332.4,2.7,1.6,2000-11-01,1001,Terra,MODIS,80,6.2,308,88,D,0
11.0589,20.7706,319,3.3,1.7,2000-11-01,1001,Terra,MODIS,52,6.2,305.6,50.4,D,0
11.1956,19.3319,323.8,2.6,1.5,2000-11-01,1001,Terra,MODIS,66,6.2,308.9,30.8,D,0
11.4175,17.6877,325.1,1.9,1.3,2000-11-01,1001,Terra,MODIS,62,6.2,311.9,26.2,D,0
11.4055,17.6856,334.1,1.9,1.3,2000-11-01,1001,Terra,MODIS,80,6.2,311.9,54,D,0
11.0302,19.8769,327.8,2.8,1.6,2000-11-01,1001,Terra,MODIS,75,6.2,307,67.4,D,0
11.2907,18.1398,326.2,2.1,1.4,2000-11-01,1001,Terra,MODIS,50,6.2,314.4,23.5,D,0
11.2877,18.1574,335.9,2.1,1.4,2000-11-01,1001,Terra,MODIS,80,6.2,311.3,64.4,D,0
11.0277,19.871,323.8,2.8,1.6,2000-11-01,1001,Terra,MODIS,60,6.2,306.4,46.9,D,0
11.2861,18.1518,340.2,2.1,1.4,2000-11-01,1001,Terra,MODIS,87,6.2,312.6,83.9,D,0
11.1858,18.6763,324.8,2.3,1.5,2000-11-01,1001,Terra,MODIS,69,6.2,308.4,35.5,D,0
11.1243,18.8807,334.8,2.4,1.5,2000-11-01,1001,Terra,MODIS,83,6.2,310.4,85.7,D,0
10.9382,19.9613,320.7,2.9,1.6,2000-11-01,1001,Terra,MODIS,48,6.2,306.1,31.4,D,0
11.1111,18.8785,322.3,2.4,1.5,2000-11-01,1001,Terra,MODIS,63,6.2,310.9,32.6,D,0
10.9034,19.8228,318.6,2.8,1.6,2000-11-01,1001,Terra,MODIS,31,6.2,304.8,24.3,D,0
11.1759,18.2626,323.8,2.1,1.4,2000-11-01,1001,Terra,MODIS,54,6.2,310.5,25.3,D,0
10.9992,19.076,326.3,2.5,1.5,2000-11-01,1001,Terra,MODIS,53,6.2,309.9,39.2,D,0
10.9954,19.0982,332.3,2.5,1.5,2000-11-01,1001,Terra,MODIS,81,6.2,310.2,69.8,D,0
10.836,19.9365,328.6,2.9,1.6,2000-11-01,1001,Terra,MODIS,78,6.2,303.6,81.2,D,0
10.8315,19.9625,331.9,2.9,1.6,2000-11-01,1001,Terra,MODIS,81,6.2,305.8,101,D,0
10.8025,19.9575,318.9,2.9,1.6,2000-11-01,1001,Terra,MODIS,47,6.2,304.1,33.8,D,0
10.8342,19.9308,322.9,2.9,1.6,2000-11-01,1001,Terra,MODIS,53,6.2,303,50,D,0
10.8299,19.9568,332.1,2.9,1.6,2000-11-01,1001,Terra,MODIS,82,6.2,305.7,102,D,0
11.2265,17.4652,320.9,1.8,1.3,2000-11-01,1001,Terra,MODIS,31,6.2,310.3,15.5,D,0
10.8009,19.9517,320.1,2.9,1.6,2000-11-01,1001,Terra,MODIS,28,6.2,304.2,38.9,D,0
11.2216,17.3467,326.9,1.8,1.3,2000-11-01,1001,Terra,MODIS,49,6.2,314.1,16.8,D,0
11.2002,17.4777,336.1,1.8,1.3,2000-11-01,1001,Terra,MODIS,83,6.2,313.3,59.1,D,0
11.1975,17.4943,323.4,1.8,1.3,2000-11-01,1001,Terra,MODIS,49,6.2,309.6,20.1,D,0
11.2099,17.3448,343.9,1.8,1.3,2000-11-01,1001,Terra,MODIS,90,6.2,314,79,D,0
11.1982,17.3428,342.7,1.8,1.3,2000-11-01,1001,Terra,MODIS,89,6.2,311.7,76.4,D,0
11.1955,17.359,334,1.8,1.3,2000-11-01,1001,Terra,MODIS,81,6.2,311.3,46.4,D,0
11.4658,15.6286,348,1.3,1.1,2000-11-01,1001,Terra,MODIS,92,6.2,317.2,60.8,D,0
10.8934,19.075,370.7,2.5,1.5,2000-11-01,1001,Terra,MODIS,100,6.2,314,390.1,D,0
10.8895,19.0972,330.6,2.5,1.5,2000-11-01,1001,Terra,MODIS,66,6.2,313.7,56.3,D,0
10.8582,19.279,323.7,2.6,1.5,2000-11-01,1001,Terra,MODIS,70,6.2,307.4,39.6,D,0
11.0183,18.1909,331,2.1,1.4,2000-11-01,1001,Terra,MODIS,79,6.2,308,56.5,D,0
10.8824,19.0893,328.7,2.5,1.5,2000-11-01,1001,Terra,MODIS,36,6.2,314.2,46.8,D,0
10.8523,19.2713,320.1,2.6,1.5,2000-11-01,1001,Terra,MODIS,30,6.2,306.6,23.2,D,0
10.8485,19.2943,322.3,2.6,1.5,2000-11-01,1001,Terra,MODIS,50,6.2,306.5,31.1,D,0
11.0177,18.1842,325.4,2.1,1.4,2000-11-01,1001,Terra,MODIS,72,6.2,307.3,36.9,D,0
11.0146,18.2029,320,2.1,1.4,2000-11-01,1001,Terra,MODIS,35,6.2,308.4,18.5,D,0
11.1602,17.0859,332.9,1.7,1.3,2000-11-01,1001,Terra,MODIS,80,6.2,310.1,45,D,0
11.1577,17.1014,328.5,1.7,1.3,2000-11-01,1001,Terra,MODIS,73,6.2,310.3,32.2,D,0
10.8169,19.1475,334.2,2.5,1.5,2000-11-01,1001,Terra,MODIS,83,6.2,309.2,90,D,0
10.8131,19.17,329.4,2.5,1.5,2000-11-01,1001,Terra,MODIS,78,6.2,307.9,64,D,0
11.1462,17.0995,334.9,1.7,1.3,2000-11-01,1001,Terra,MODIS,82,6.2,312.1,49.5,D,0
11.1149,17.2892,332.8,1.8,1.3,2000-11-01,1001,Terra,MODIS,34,6.2,313,31.5,D,0
10.7859,19.1654,326.9,2.5,1.5,2000-11-01,1001,Terra,MODIS,75,6.2,306.6,53,D,0
11.0683,17.2814,333,1.8,1.3,2000-11-01,1001,Terra,MODIS,36,6.2,308.8,36.3,D,0
10.8942,18.3012,327.5,2.2,1.4,2000-11-01,1001,Terra,MODIS,75,6.2,309,40.6,D,0
10.7686,19.0241,338.8,2.5,1.5,2000-11-01,1001,Terra,MODIS,87,6.2,307.5,116.6,D,0
10.7647,19.0462,322,2.5,1.5,2000-11-01,1001,Terra,MODIS,67,6.2,306.8,35.7,D,0
11.3468,15.5473,349.5,1.3,1.1,2000-11-01,1001,Terra,MODIS,93,6.2,316.8,64.4,D,0
11.0729,17.2763,338.8,1.8,1.3,2000-11-01,1001,Terra,MODIS,78,6.2,311.3,61.8,D,0
11.346,15.4856,331.5,1.3,1.1,2000-11-01,1001,Terra,MODIS,76,6.2,315.8,23.1,D,0
11.3441,15.4976,340,1.3,1.1,2000-11-01,1001,Terra,MODIS,86,6.2,315.4,40.6,D,0
11.3385,15.5336,341.1,1.3,1.1,2000-11-01,1001,Terra,MODIS,79,6.2,317.1,40.7,D,0
11.3366,15.5456,354.7,1.3,1.1,2000-11-01,1001,Terra,MODIS,97,6.2,314,83.7,D,0
10.8945,18.2956,323,2.2,1.4,2000-11-01,1001,Terra,MODIS,68,6.2,308.3,27.5,D,0
10.7744,19.0196,334.7,2.5,1.5,2000-11-01,1001,Terra,MODIS,84,6.2,307.5,88.6,D,0
10.7707,19.0416,331,2.5,1.5,2000-11-01,1001,Terra,MODIS,80,6.2,307.8,71.1,D,0
