latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.7104,-6.1938,315.7,1.4,1.2,2000-11-03,1128,Terra,MODIS,62,6.2,299.8,10.7,D,0
9.8794,-7.8984,312.9,1.1,1.1,2000-11-03,1128,Terra,MODIS,56,6.2,299.1,6.4,D,0
9.8382,-8.0672,314.6,1.1,1,2000-11-03,1128,Terra,MODIS,61,6.2,299.4,7.5,D,0
8.8991,-3.9603,313,2.1,1.4,2000-11-03,1128,Terra,MODIS,61,6.2,298.1,18.3,D,0
8.8908,-6.7267,313,1.3,1.1,2000-11-03,1128,Terra,MODIS,61,6.2,297.5,8.2,D,0
7.5413,-5.1321,307,1.8,1.3,2000-11-03,1128,Terra,MODIS,40,6.2,289.2,9.8,D,0
9.7138,-6.2872,321.7,1,1,2000-11-05,1116,Terra,MODIS,74,6.2,297.9,12.6,D,0
7.0542,-3.9681,312,1.3,1.1,2000-11-05,1116,Terra,MODIS,64,6.2,297.1,9.3,D,0
4.7423,-6.6246,314.3,1,1,2000-11-05,1117,Terra,MODIS,0,6.2,298.2,5.8,D,0
9.8054,-7.9509,313.6,4,1.9,2000-11-06,1159,Terra,MODIS,65,6.2,292.1,51.2,D,0
9.8165,-7.9561,309.5,4,1.9,2000-11-06,1159,Terra,MODIS,54,6.2,292.5,28.9,D,0
9.72,-3.5088,316.8,1,1,2000-11-07,1103,Terra,MODIS,59,6.2,301.9,7.7,D,0
9.4173,-6.0154,319.9,1.1,1.1,2000-11-07,1104,Terra,MODIS,71,6.2,299,11.7,D,0
9.4117,-6.0119,326,1.1,1.1,2000-11-07,1104,Terra,MODIS,79,6.2,300.6,20.4,D,0
8.9958,-4.1583,316.3,1,1,2000-11-07,1104,Terra,MODIS,62,6.2,301.3,7,D,0
10.3221,-7.7197,315.7,2.3,1.5,2000-11-08,1146,Terra,MODIS,63,6.2,298.5,23.9,D,0
10.3257,-7.7257,317.2,2.3,1.5,2000-11-08,1146,Terra,MODIS,67,6.2,299.4,29.8,D,0
9.904,-8.0379,309.9,2.2,1.5,2000-11-08,1146,Terra,MODIS,46,6.2,296.7,12.5,D,0
9.7558,-7.859,319.4,2.3,1.5,2000-11-08,1146,Terra,MODIS,73,6.2,299.1,38.8,D,0
8.9495,-4.0765,311.5,2.7,1.6,2000-11-10,1134,Terra,MODIS,53,6.2,293,21.2,D,0
8.3201,-6.7507,313.8,1.7,1.3,2000-11-10,1135,Terra,MODIS,64,6.2,293.4,16.9,D,0
4.7762,-6.6597,310.9,2,1.4,2000-11-10,1135,Terra,MODIS,34,6.2,294.4,16.8,D,0
