latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.2831,31.6373,310.5,1,1,2000-11-02,0900,Terra,MODIS,51,6.2,296.1,5.5,D,0
30.9099,31.6009,311.3,1,1,2000-11-02,0900,Terra,MODIS,55,6.2,297.5,6.2,D,0
31.0043,29.8413,323.9,1,1,2000-11-02,0900,Terra,MODIS,79,6.2,296,17.8,D,0
29.7798,31.3236,314,1,1,2000-11-02,0900,Terra,MODIS,38,6.2,300.5,5.2,D,0
27.1679,31.0151,316.5,1,1,2000-11-02,0901,Terra,MODIS,60,6.2,302.8,7.3,D,0
30.7287,31.2751,300.7,1.4,1.2,2000-11-02,2000,Terra,MODIS,29,6.2,287.1,8.2,N,0
31.2862,31.6377,309.4,1.1,1,2000-11-04,0848,Terra,MODIS,34,6.2,298.1,4.3,D,0
31.0076,29.8318,309.2,1.3,1.1,2000-11-04,0848,Terra,MODIS,48,6.2,295.2,6.4,D,0
31.006,29.8454,319.5,1.3,1.1,2000-11-04,0848,Terra,MODIS,74,6.2,297.8,19,D,0
30.5424,31.7113,315.1,1.1,1,2000-11-04,0848,Terra,MODIS,61,6.2,298.4,8.2,D,0
30.541,31.7224,322.2,1.1,1,2000-11-04,0848,Terra,MODIS,75,6.2,298.4,15.9,D,0
29.823,31.3042,303.3,1.2,1.1,2000-11-05,2031,Terra,MODIS,54,6.2,289.9,8.3,N,2
30.8165,31.0269,303.7,1.2,1.1,2000-11-05,2031,Terra,MODIS,56,6.2,287,9.6,N,0
27.1729,31.0136,300.6,1,1,2000-11-07,2018,Terra,MODIS,30,6.2,289.1,6,N,0
31.1259,29.8096,311.1,1,1,2000-11-09,0906,Terra,MODIS,45,6.2,300.5,5.8,D,0
30.7357,31.2192,300.5,1.2,1.1,2000-11-09,2006,Terra,MODIS,29,6.2,286.9,7.3,N,0
30.7697,31.167,304.6,1.2,1.1,2000-11-09,2006,Terra,MODIS,61,6.2,287,10.6,N,0
30.7676,31.1547,300.3,1.2,1.1,2000-11-09,2006,Terra,MODIS,24,6.2,286.6,7.5,N,0
29.8258,31.3062,313.9,1,1,2000-11-11,0854,Terra,MODIS,25,6.2,301.9,6,D,2
29.7945,31.3321,315,1,1,2000-11-11,0854,Terra,MODIS,45,6.2,304.4,5,D,0
29.9842,27.7875,300.3,1.1,1,2000-11-14,2025,Terra,MODIS,25,6.2,286.7,6.9,N,0
30.602,31.2652,302.9,1.1,1,2000-11-14,2025,Terra,MODIS,52,6.2,288.3,7.7,N,0
29.8256,31.3099,314.5,1.4,1.2,2000-11-16,0913,Terra,MODIS,37,6.2,300.6,12.2,D,2
29.8236,31.3081,306.6,1.1,1,2000-11-16,2012,Terra,MODIS,69,6.2,290,9.4,N,2
30.6124,31.2774,301,1,1,2000-11-16,2012,Terra,MODIS,36,6.2,287.2,6.1,N,0
31.0995,26.6142,319.8,1.5,1.2,2000-11-17,2055,Terra,MODIS,99,6.2,284.1,37.8,N,0
30.7614,30.1673,324.7,1,1,2000-11-18,0900,Terra,MODIS,81,6.2,298.3,17,D,0
30.7524,30.1656,322.8,1,1,2000-11-18,0900,Terra,MODIS,79,6.2,298.2,15,D,0
29.8231,31.3151,310.5,1,1,2000-11-18,0900,Terra,MODIS,40,6.2,298.3,5.6,D,2
29.8198,31.3129,310.8,1.1,1,2000-11-20,0848,Terra,MODIS,37,6.2,298.7,4.9,D,2
27.6739,30.729,316.2,1.1,1,2000-11-20,0849,Terra,MODIS,71,6.2,296,11.1,D,0
30.733,30.0998,307.4,1.9,1.4,2000-11-22,0836,Terra,MODIS,56,6.2,295.4,10.5,D,0
31.0292,29.7564,304.4,1.3,1.1,2000-11-23,0918,Terra,MODIS,0,6.2,291.7,5.1,D,0
29.8242,31.3053,302.7,1,1,2000-11-23,2018,Terra,MODIS,51,6.2,288.3,6.5,N,2
30.3976,31.3843,301.3,1,1,2000-11-23,2018,Terra,MODIS,15,6.2,285.5,5.7,N,0
30.4065,31.3826,302,1,1,2000-11-23,2018,Terra,MODIS,46,6.2,285.4,6.3,N,0
29.823,31.3112,310.7,1.1,1.1,2000-11-25,0906,Terra,MODIS,34,6.2,297.3,6.7,D,2
29.8817,30.8984,310.1,1.1,1,2000-11-25,0906,Terra,MODIS,56,6.2,296.3,4.5,D,0
30.8852,29.9711,306,1.1,1,2000-11-27,0854,Terra,MODIS,55,6.2,295,4.9,D,0
29.8211,31.3062,312,1,1,2000-11-27,0854,Terra,MODIS,41,6.2,296.7,7.4,D,2
30.2854,30.6046,309.2,1.2,1.1,2000-12-02,0912,Terra,MODIS,58,6.2,294.4,6.7,D,0
29.9823,27.7838,311.6,1,1,2000-12-02,0912,Terra,MODIS,57,6.2,296,4.6,D,0
29.8229,31.3034,301.5,1.1,1,2000-12-02,2011,Terra,MODIS,41,6.2,286.1,7.3,N,2
31.0071,29.8354,306,1.5,1.2,2000-12-05,2042,Terra,MODIS,67,6.2,284.6,17.1,N,0
31.0064,29.8432,310.7,1.3,1.1,2000-12-06,0847,Terra,MODIS,68,6.2,291.6,12.8,D,0
29.8243,31.3085,306.7,1.1,1,2000-12-06,0847,Terra,MODIS,40,6.2,291.7,6.3,D,2
29.8233,31.3048,303.3,1.1,1.1,2000-12-11,0906,Terra,MODIS,37,6.2,290.7,5.5,D,2
29.8259,31.3043,304.3,1,1,2000-12-13,0854,Terra,MODIS,46,6.2,292.4,4.2,D,2
29.8245,31.3146,306.9,1,1,2000-12-13,0854,Terra,MODIS,61,6.2,292.9,5.7,D,2
29.7947,31.3302,304.5,1,1,2000-12-13,0854,Terra,MODIS,52,6.2,292.3,4.3,D,0
29.7694,31.315,309.3,1,1,2000-12-13,0854,Terra,MODIS,66,6.2,293.6,7,D,0
27.1676,31.0148,310.8,1,1,2000-12-13,0854,Terra,MODIS,63,6.2,296.1,5.9,D,0
31.1245,26.7014,306,1.1,1,2000-12-21,2043,Terra,MODIS,66,6.2,280.6,11.5,N,0
29.8229,31.307,308.7,1.1,1,2000-12-22,0848,Terra,MODIS,0,6.2,294.1,7.3,D,2
29.7681,31.3138,308.9,1.1,1,2000-12-22,0848,Terra,MODIS,52,6.2,296.3,6.8,D,0
28.1187,33.283,312.4,1,1,2000-12-22,0848,Terra,MODIS,47,6.2,296.9,7,D,0
25.9496,32.7967,316.4,1,1,2000-12-22,0848,Terra,MODIS,67,6.2,294.3,12.7,D,0
25.3964,32.5548,308.1,1.2,1.1,2000-12-24,0836,Terra,MODIS,14,6.2,294.2,6.6,D,0
27.1686,31.02,310,1.2,1.1,2000-12-27,0907,Terra,MODIS,58,6.2,296,7.1,D,0
27.1671,31.0138,310.2,1.2,1.1,2000-12-27,0907,Terra,MODIS,58,6.2,294,7.5,D,0
28.9622,33.1823,309.8,1.1,1,2000-12-29,0854,Terra,MODIS,0,6.2,297.5,5.6,D,0
27.1682,31.0166,314.5,1,1,2000-12-29,0854,Terra,MODIS,57,6.2,300.4,7.9,D,0
29.8238,31.3054,304.6,1.3,1.1,2000-12-31,0841,Terra,MODIS,27,6.2,291.5,6.8,D,2
26.1103,32.188,309.7,1.1,1,2000-12-31,0842,Terra,MODIS,55,6.2,291.2,8.8,D,0
