latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.5187,9.9087,319,1.1,1.1,2000-11-02,1033,Terra,MODIS,0,6.2,279,24.1,D,0
52.1515,10.4072,305.1,1.1,1,2000-11-02,1033,Terra,MODIS,61,6.2,283.9,9.2,D,2
51.4911,6.731,317,1.1,1,2000-11-02,2145,Terra,MODIS,78,6.2,280.1,19.2,N,2
51.4892,6.7158,343.4,1.1,1,2000-11-02,2145,Terra,MODIS,100,6.2,280.6,57,N,2
51.4874,6.7006,307.3,1.1,1,2000-11-02,2145,Terra,MODIS,41,6.2,279.7,11.7,N,2
52.157,10.407,302.1,1.3,1.1,2000-11-04,1021,Terra,MODIS,51,6.2,282.4,11,D,2
51.491,7.5204,303,1.8,1.3,2000-11-04,1021,Terra,MODIS,55,6.2,282.5,17.9,D,2
51.4829,6.7323,301.3,1.9,1.4,2000-11-04,1021,Terra,MODIS,0,6.2,282,15.6,D,2
51.4816,6.7178,319.6,1,1,2000-11-05,1104,Terra,MODIS,0,6.2,280.8,18.6,D,2
51.4853,6.7138,326.3,1,1,2000-11-07,1052,Terra,MODIS,0,6.2,276.7,28.4,D,2
51.4834,6.7283,323.2,1,1,2000-11-07,1052,Terra,MODIS,62,6.2,275.4,23.9,D,2
51.4858,6.7157,303.1,1.2,1.1,2000-11-09,2151,Terra,MODIS,53,6.2,276.3,11.8,N,2
51.493,6.7445,302.5,1.4,1.2,2000-11-10,1122,Terra,MODIS,44,6.2,281.9,11.8,D,2
51.4868,6.7195,303.6,1.4,1.2,2000-11-10,1122,Terra,MODIS,0,6.2,282.1,12.5,D,2
52.1672,14.6235,301,1,1,2000-11-11,1027,Terra,MODIS,44,6.2,281.3,7.1,D,0
52.1552,10.3985,301.4,1,1,2000-11-16,1045,Terra,MODIS,46,6.2,275.5,8.4,D,2
49.3517,6.7404,301.7,1,1,2000-11-16,1046,Terra,MODIS,48,6.2,281.5,7.7,D,2
51.4887,6.7114,300.5,1.7,1.3,2000-11-17,1128,Terra,MODIS,0,6.2,279.9,12.6,D,0
51.486,6.7215,302.1,1.4,1.2,2000-11-18,1033,Terra,MODIS,0,6.2,279.8,11.5,D,2
50.5178,9.9653,337.5,1.1,1,2000-11-20,2132,Terra,MODIS,100,6.2,274,49,N,0
52.1528,10.4051,300.2,1.1,1.1,2000-11-20,2132,Terra,MODIS,20,6.2,273.4,10.2,N,2
51.4883,7.52,300.5,1.1,1,2000-11-21,1104,Terra,MODIS,38,6.2,278.4,8.3,D,2
51.4796,6.7209,312.3,1.1,1.1,2000-11-22,2120,Terra,MODIS,26,6.2,277.5,15.9,N,2
