latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.6834,-14.1973,305.4,2.1,1.4,2000-11-04,1211,Terra,MODIS,54,6.2,285.2,13.1,D,0
11.7786,-14.3211,312.3,1,1,2000-11-08,1146,Terra,MODIS,52,6.2,298,4.7,D,0
11.9008,-14.2335,313.8,1.1,1,2000-11-17,1140,Terra,MODIS,51,6.2,300.8,5.4,D,0
11.9735,-13.8089,312.2,1.5,1.2,2000-11-19,1128,Terra,MODIS,59,6.2,298,9.7,D,0
12.477,-13.7048,323.1,1.3,1.1,2000-11-22,1158,Terra,MODIS,76,6.2,302.9,21.9,D,0
11.7444,-13.9278,328.3,1.3,1.1,2000-11-22,1158,Terra,MODIS,82,6.2,304.1,27.1,D,0
11.7425,-13.916,318.2,1.3,1.1,2000-11-22,1158,Terra,MODIS,70,6.2,303.3,11.6,D,0
12.4223,-15.8872,312,1.1,1,2000-11-24,1146,Terra,MODIS,66,6.2,298,7.3,D,0
12.106,-14.0036,313,1,1,2000-11-24,1146,Terra,MODIS,56,6.2,299.5,6.9,D,0
11.9042,-14.0091,317.4,1,1,2000-11-24,1146,Terra,MODIS,68,6.2,302.7,8.1,D,0
11.7954,-13.9577,316.2,1,1,2000-11-24,1146,Terra,MODIS,69,6.2,302.6,8,D,0
11.777,-14.0868,318.4,1,1,2000-11-24,1146,Terra,MODIS,68,6.2,303,8.5,D,0
11.7756,-14.0777,314.8,1,1,2000-11-24,1146,Terra,MODIS,32,6.2,302.1,5,D,0
11.7247,-14.1038,315.8,1,1,2000-11-24,1146,Terra,MODIS,62,6.2,301.2,6.7,D,0
12.0369,-13.799,326.6,1.2,1.1,2000-11-26,1133,Terra,MODIS,81,6.2,302.7,24.1,D,0
11.7283,-14.0824,313.6,1.2,1.1,2000-11-26,1134,Terra,MODIS,65,6.2,301.4,7.2,D,0
12.0307,-14.1108,311,2.1,1.4,2000-11-28,1121,Terra,MODIS,54,6.2,300.7,14.6,D,0
12.0077,-13.9226,332.6,2,1.4,2000-11-28,1121,Terra,MODIS,85,6.2,301.9,75,D,0
12.0055,-13.9288,326.1,2,1.4,2000-11-28,1121,Terra,MODIS,80,6.2,301.5,51.8,D,0
12.0031,-13.9102,311.3,2,1.4,2000-11-28,1121,Terra,MODIS,40,6.2,300.8,12.3,D,0
11.9395,-14.3255,315.6,2.2,1.4,2000-11-28,1121,Terra,MODIS,67,6.2,299.5,27,D,0
11.9404,-14.3324,317.7,2.2,1.4,2000-11-28,1121,Terra,MODIS,66,6.2,299.7,34.8,D,0
12.5308,-14.3034,314.1,1,1,2000-12-01,1151,Terra,MODIS,63,6.2,303.7,5.9,D,0
12.0306,-13.9936,320.8,1.1,1,2000-12-03,1139,Terra,MODIS,74,6.2,304.8,13.5,D,0
11.9041,-13.949,323.9,1.1,1,2000-12-03,1139,Terra,MODIS,73,6.2,306.9,12.7,D,0
11.7945,-13.7576,315.5,1,1,2000-12-03,1139,Terra,MODIS,43,6.2,303.5,5.5,D,0
11.7854,-13.7589,342.6,1,1,2000-12-03,1139,Terra,MODIS,91,6.2,307.3,42.1,D,0
11.784,-13.7495,321.4,1,1,2000-12-03,1139,Terra,MODIS,72,6.2,305.8,10.9,D,0
11.8093,-13.9848,318.9,1.1,1,2000-12-03,1139,Terra,MODIS,70,6.2,305,8.8,D,0
11.7233,-13.774,315.5,1,1,2000-12-03,1139,Terra,MODIS,55,6.2,304.4,6.2,D,0
11.726,-14.1111,321.1,1.1,1,2000-12-03,1139,Terra,MODIS,73,6.2,307.1,10.1,D,0
11.693,-14.3449,314.3,1.1,1,2000-12-03,1139,Terra,MODIS,61,6.2,300.3,8.4,D,0
12.0454,-13.9421,313.3,2.1,1.4,2000-12-06,1210,Terra,MODIS,52,6.2,302.2,16,D,0
11.9779,-14.3175,315.5,2,1.4,2000-12-06,1210,Terra,MODIS,66,6.2,300.3,23.5,D,0
11.9936,-14.1363,326.1,1.2,1.1,2000-12-08,1157,Terra,MODIS,80,6.2,304.9,24.1,D,0
11.9919,-14.125,315.6,1.2,1.1,2000-12-08,1157,Terra,MODIS,62,6.2,305,9.5,D,0
11.7629,-14.2375,324.8,1.2,1.1,2000-12-08,1157,Terra,MODIS,78,6.2,303.7,21.1,D,0
11.6994,-14.2817,330.4,1.2,1.1,2000-12-08,1157,Terra,MODIS,74,6.2,303.9,27.9,D,0
11.6987,-14.2882,317.8,1.2,1.1,2000-12-08,1157,Terra,MODIS,47,6.2,301.6,10.6,D,0
11.697,-14.2772,324.3,1.2,1.1,2000-12-08,1157,Terra,MODIS,77,6.2,304.3,19.4,D,0
11.9618,-13.767,316.1,4.6,2,2000-12-09,1102,Terra,MODIS,67,6.2,299,83.6,D,0
11.9614,-13.7725,316.2,4.6,2,2000-12-09,1102,Terra,MODIS,67,6.2,299.1,84.8,D,0
11.6414,-14.0138,307.8,1,1,2000-12-09,2330,Terra,MODIS,73,6.2,291.4,8.7,N,0
12.1245,-14.0633,316.4,1,1,2000-12-10,1145,Terra,MODIS,67,6.2,301,9.2,D,0
11.9067,-14.1516,323.8,1,1,2000-12-10,1145,Terra,MODIS,66,6.2,301.7,13.7,D,0
11.8567,-14.1219,319.1,1,1,2000-12-10,1145,Terra,MODIS,64,6.2,306.5,7.9,D,0
11.8608,-14.4053,324.7,1,1,2000-12-10,1145,Terra,MODIS,78,6.2,300.2,17.7,D,0
11.7149,-13.9149,318.1,1,1,2000-12-10,1145,Terra,MODIS,69,6.2,305.1,7.7,D,0
11.7135,-13.9058,322.9,1,1,2000-12-10,1145,Terra,MODIS,76,6.2,306.6,12.2,D,0
11.7224,-14.0896,319.8,1,1,2000-12-10,1145,Terra,MODIS,72,6.2,303.2,8.6,D,0
11.721,-14.0805,335.3,1,1,2000-12-10,1145,Terra,MODIS,87,6.2,307.1,27.3,D,0
11.7134,-14.0909,328.1,1,1,2000-12-10,1145,Terra,MODIS,81,6.2,304.6,17.4,D,0
11.7121,-14.0818,333,1,1,2000-12-10,1145,Terra,MODIS,85,6.2,306.5,23.6,D,0
11.9564,-14.0538,314.6,1.3,1.1,2000-12-12,1133,Terra,MODIS,56,6.2,301.8,9.9,D,0
11.7742,-14.2153,317.2,1.3,1.1,2000-12-12,1133,Terra,MODIS,69,6.2,302.1,13.2,D,0
11.7441,-13.9978,316.8,1.2,1.1,2000-12-12,1133,Terra,MODIS,68,6.2,303,8.8,D,0
11.6727,-14.5247,331.3,1.3,1.1,2000-12-12,1133,Terra,MODIS,80,6.2,301.5,38.9,D,0
11.7277,-13.9115,314.4,2,1.4,2000-12-14,1121,Terra,MODIS,55,6.2,300.3,15.8,D,0
11.7255,-13.9188,317,2,1.4,2000-12-14,1121,Terra,MODIS,59,6.2,300.2,20.7,D,0
12.0145,-14.1304,317,1.6,1.2,2000-12-15,1204,Terra,MODIS,68,6.2,302.1,15.5,D,0
12.0139,-14.1363,320.8,1.6,1.2,2000-12-15,1204,Terra,MODIS,67,6.2,302.9,20.8,D,0
11.8003,-13.7641,319.1,3.4,1.7,2000-12-16,1109,Terra,MODIS,73,6.2,299.5,67.2,D,0
11.8058,-13.7713,316.2,3.4,1.7,2000-12-16,1109,Terra,MODIS,68,6.2,299.2,50.1,D,0
11.7901,-13.7721,311.8,3.4,1.7,2000-12-16,1109,Terra,MODIS,51,6.2,299.5,29.2,D,0
12.3178,-13.7601,313.4,1.1,1,2000-12-17,1151,Terra,MODIS,68,6.2,278.1,13.1,D,0
12.2529,-14.1252,306.3,1.1,1,2000-12-17,1151,Terra,MODIS,52,6.2,289,4.6,D,0
11.8694,-13.7805,305.7,1.1,1,2000-12-17,1151,Terra,MODIS,49,6.2,279,5.3,D,0
11.6371,-14.322,309.3,1.1,1,2000-12-17,1152,Terra,MODIS,60,6.2,283.2,6.6,D,0
12.474,-13.703,314.1,1,1,2000-12-19,1139,Terra,MODIS,50,6.2,300.9,6,D,0
12.5024,-14.3577,321,1.1,1,2000-12-19,1139,Terra,MODIS,74,6.2,299.2,15.4,D,0
12.2876,-13.752,312,1,1,2000-12-19,1139,Terra,MODIS,48,6.2,300.1,5.7,D,0
12.1164,-14.0973,316.4,1.1,1,2000-12-19,1139,Terra,MODIS,68,6.2,296.2,9.8,D,0
12.1072,-14.0986,319.4,1.1,1,2000-12-19,1139,Terra,MODIS,73,6.2,297.5,12.8,D,0
11.8219,-14.0992,315.9,1.1,1,2000-12-19,1139,Terra,MODIS,64,6.2,301.3,6.2,D,0
12.009,-16.0396,315,1.3,1.1,2000-12-19,1139,Terra,MODIS,67,6.2,300.2,11,D,0
11.7297,-14.3658,314.8,1.1,1,2000-12-19,1139,Terra,MODIS,62,6.2,300.8,8.7,D,0
11.6545,-14.5543,310.4,1.1,1,2000-12-19,1139,Terra,MODIS,45,6.2,298.5,6,D,0
12.3127,-13.7785,311.9,3.8,1.8,2000-12-20,1222,Terra,MODIS,60,6.2,299,41.4,D,0
12.26,-13.9002,321.1,3.7,1.8,2000-12-20,1222,Terra,MODIS,76,6.2,298.3,96.9,D,0
12.252,-13.9067,318.1,3.7,1.8,2000-12-20,1222,Terra,MODIS,72,6.2,298.1,74.3,D,0
12.093,-14.0799,318.6,3.6,1.8,2000-12-20,1222,Terra,MODIS,73,6.2,298.7,75,D,0
12.0499,-13.8471,328,3.8,1.8,2000-12-20,1222,Terra,MODIS,83,6.2,299.8,132.7,D,0
12.0999,-14.0839,316.7,3.6,1.8,2000-12-20,1222,Terra,MODIS,71,6.2,299.2,61.2,D,0
12.0586,-13.8507,321.2,3.8,1.8,2000-12-20,1222,Terra,MODIS,76,6.2,299.9,79.6,D,0
12.0525,-13.8165,314.2,3.8,1.8,2000-12-20,1222,Terra,MODIS,50,6.2,300.8,34.8,D,0
12.007,-14.2013,316.4,3.6,1.8,2000-12-20,1222,Terra,MODIS,70,6.2,298.2,59.5,D,0
12.0138,-14.2072,309.1,3.6,1.8,2000-12-20,1222,Terra,MODIS,37,6.2,298,24.6,D,0
11.862,-13.824,319.3,3.8,1.8,2000-12-20,1222,Terra,MODIS,74,6.2,299.2,74,D,0
11.8674,-13.8994,315.1,3.8,1.8,2000-12-20,1222,Terra,MODIS,52,6.2,301,39.3,D,0
11.8552,-13.8305,317.7,3.8,1.8,2000-12-20,1222,Terra,MODIS,72,6.2,298.5,61.3,D,0
11.797,-13.8785,313.3,3.8,1.8,2000-12-20,1222,Terra,MODIS,63,6.2,300.2,34.4,D,0
11.6861,-14.5191,309.4,3.4,1.7,2000-12-20,1222,Terra,MODIS,51,6.2,298.4,30.6,D,0
12.2748,-14.4562,315.8,1.7,1.3,2000-12-21,1127,Terra,MODIS,68,6.2,298.7,20.3,D,0
11.9769,-13.8239,315.8,1.5,1.2,2000-12-21,1127,Terra,MODIS,64,6.2,301.2,12.2,D,0
11.9751,-13.8101,322.1,1.5,1.2,2000-12-21,1127,Terra,MODIS,76,6.2,302.4,22,D,0
11.9726,-13.8165,325.9,1.5,1.2,2000-12-21,1127,Terra,MODIS,80,6.2,301.6,28.8,D,0
11.7845,-14.3799,311.8,1.7,1.3,2000-12-21,1127,Terra,MODIS,42,6.2,299.9,9.6,D,0
12.543,-13.7197,323.3,2.2,1.4,2000-12-22,1210,Terra,MODIS,77,6.2,300.8,46.7,D,0
12.5303,-13.7219,329.9,2.2,1.4,2000-12-22,1210,Terra,MODIS,83,6.2,302.1,69.6,D,0
12.5438,-13.7252,323.2,2.2,1.4,2000-12-22,1210,Terra,MODIS,78,6.2,300.7,48.4,D,0
12.531,-13.7274,332.3,2.2,1.4,2000-12-22,1210,Terra,MODIS,85,6.2,301.5,81.2,D,0
12.5277,-13.7075,314.5,2.2,1.4,2000-12-22,1210,Terra,MODIS,44,6.2,300,20.6,D,0
12.0748,-14.1354,307.7,2.1,1.4,2000-12-22,1210,Terra,MODIS,54,6.2,277.1,21.6,D,0
12.4338,-13.764,308.5,2.6,1.6,2000-12-23,1115,Terra,MODIS,45,6.2,294.8,18.2,D,0
12.016,-14.196,307.4,2.8,1.6,2000-12-23,1115,Terra,MODIS,34,6.2,293.8,16.5,D,0
11.7547,-14.0219,311.7,1.3,1.1,2000-12-24,1158,Terra,MODIS,66,6.2,289.5,8.4,D,0
