latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.7202,-85.79,314.5,1.1,1,2000-11-08,1642,Terra,MODIS,67,6.2,299.8,8.4,D,0
15.6458,-86.4475,313.8,1,1,2000-11-08,1642,Terra,MODIS,65,6.2,301.8,6.2,D,0
15.1787,-84.0596,320.5,1.3,1.1,2000-11-08,1642,Terra,MODIS,76,6.2,297.7,19.6,D,0
15.1065,-84.0535,340.7,1.3,1.1,2000-11-08,1642,Terra,MODIS,91,6.2,297.4,57.8,D,0
15.0982,-84.0675,314.6,1.3,1.1,2000-11-08,1642,Terra,MODIS,31,6.2,296.8,9.5,D,0
14.9615,-84.301,316.7,1.3,1.1,2000-11-08,1642,Terra,MODIS,72,6.2,298.6,13.7,D,0
15.3729,-87.5851,315.9,1,1,2000-11-08,1642,Terra,MODIS,67,6.2,301,7.3,D,0
13.4473,-87.5873,318,1,1,2000-11-08,1642,Terra,MODIS,23,6.2,302.5,8.7,D,0
13.1809,-87.4056,312.9,1,1,2000-11-08,1642,Terra,MODIS,57,6.2,297.4,4.9,D,0
15.4907,-85.6792,316.1,1,1,2000-11-10,1629,Terra,MODIS,70,6.2,299.6,9.7,D,0
15.4095,-86.9044,325.2,1.2,1.1,2000-11-10,1630,Terra,MODIS,79,6.2,305.5,13.9,D,0
15.2435,-87.691,314.6,2.6,1.6,2000-11-11,1712,Terra,MODIS,45,6.2,296.8,32.7,D,0
15.2394,-87.6686,317.1,2.7,1.6,2000-11-11,1712,Terra,MODIS,66,6.2,295.5,37.8,D,0
15.5351,-87.84,314,1.5,1.2,2000-11-13,1700,Terra,MODIS,64,6.2,299.8,10.2,D,0
15.5431,-87.8451,316.1,1.5,1.2,2000-11-13,1700,Terra,MODIS,71,6.2,299.3,13.6,D,0
15.3266,-87.9853,307.7,1.1,1.1,2000-11-15,0435,Terra,MODIS,72,6.2,292.4,9.1,N,0
15.5923,-86.1312,314.4,1.2,1.1,2000-11-15,1648,Terra,MODIS,53,6.2,297.7,9.5,D,0
15.6832,-87.6698,309.5,1,1,2000-11-15,1648,Terra,MODIS,28,6.2,297.4,5.5,D,0
15.3319,-87.542,321.9,1.1,1,2000-11-15,1648,Terra,MODIS,65,6.2,303.7,12,D,0
15.3304,-87.5323,318.6,1.1,1,2000-11-15,1648,Terra,MODIS,55,6.2,303.4,9.9,D,0
