latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.2647,21.7223,307,1,1,2000-11-01,0951,Terra,MODIS,65,6.2,271.4,9.8,D,0
47.9133,21.3936,307.3,1,1,2000-11-01,0951,Terra,MODIS,49,6.2,277.5,9.2,D,0
47.8169,20.8245,302.1,1,1,2000-11-01,0951,Terra,MODIS,48,6.2,276.9,7.1,D,0
47.815,20.8379,308.3,1,1,2000-11-01,0951,Terra,MODIS,58,6.2,275.5,11,D,0
47.1231,21.3558,305.3,1,1,2000-11-01,0951,Terra,MODIS,60,6.2,288.9,4.8,D,0
46.444,21.1223,309.5,1,1,2000-11-01,0951,Terra,MODIS,69,6.2,293.4,6.3,D,0
46.8089,18.7534,303.7,1.1,1.1,2000-11-13,1016,Terra,MODIS,57,6.2,286.2,8.2,D,0
46.807,18.2276,303.8,1.1,1,2000-11-13,1016,Terra,MODIS,57,6.2,287.1,7.7,D,0
46.6551,18.2258,313.7,1.1,1,2000-11-13,1016,Terra,MODIS,74,6.2,287.2,15.8,D,0
46.4944,17.9266,300.6,1.1,1,2000-11-13,1016,Terra,MODIS,39,6.2,286.3,5.8,D,0
46.8472,20.8827,304.4,1.1,1,2000-11-15,1004,Terra,MODIS,59,6.2,283.7,8,D,0
46.6262,20.4697,316,1.1,1,2000-11-15,1004,Terra,MODIS,76,6.2,286.9,15.8,D,0
46.624,20.4832,304.3,1.1,1,2000-11-15,1004,Terra,MODIS,58,6.2,286.6,6.8,D,0
47.9029,22.4202,303.7,1,1,2000-11-17,0951,Terra,MODIS,57,6.2,281.5,7.3,D,0
45.9658,18.0117,300.8,1.1,1.1,2000-11-17,0952,Terra,MODIS,42,6.2,288.5,4.9,D,0
46.9378,18.948,305.3,1.1,1,2000-12-24,1009,Terra,MODIS,46,6.2,270.1,12.7,D,0
