latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.6805,86.0949,318.9,1.2,1.1,2000-11-01,0501,Terra,MODIS,67,6.2,303.3,12.1,D,2
22.7913,86.2102,326.4,1.2,1.1,2000-11-01,0501,Terra,MODIS,54,6.2,299.4,19.8,D,0
22.7885,86.2037,320.7,1.2,1.1,2000-11-01,0501,Terra,MODIS,65,6.2,299.1,15,D,0
22.787,86.215,319.7,1.2,1.1,2000-11-01,0501,Terra,MODIS,66,6.2,298.5,13.8,D,0
18.7651,79.964,315.9,2.7,1.6,2000-11-01,0503,Terra,MODIS,18,6.2,298.3,28.8,D,0
32.9407,75.5993,306.3,2.7,1.6,2000-11-01,0637,Terra,MODIS,61,6.2,289.7,36.6,D,0
32.9363,75.5924,303.2,2.7,1.6,2000-11-01,0637,Terra,MODIS,30,6.2,290,25.6,D,0
31.2935,75.843,308,3,1.7,2000-11-01,0637,Terra,MODIS,48,6.2,294.9,19.9,D,0
30.549,74.3669,314.9,2.5,1.5,2000-11-01,0638,Terra,MODIS,51,6.2,300.5,23.4,D,0
21.5099,72.8509,343.3,1,1,2000-11-01,1735,Terra,MODIS,100,6.2,293.2,50.5,N,0
21.5188,72.8494,304.5,1,1,2000-11-01,1735,Terra,MODIS,60,6.2,291.2,6.4,N,0
21.7934,72.6482,305.2,1,1,2000-11-01,1735,Terra,MODIS,63,6.2,292.4,7,N,0
21.9026,72.7626,302.9,1,1,2000-11-01,1735,Terra,MODIS,52,6.2,292.1,5.2,N,2
21.9012,72.7529,314.5,1,1,2000-11-01,1735,Terra,MODIS,89,6.2,292.5,13.4,N,2
21.9116,72.761,302.3,1,1,2000-11-01,1735,Terra,MODIS,48,6.2,292.2,4.9,N,2
21.9102,72.7513,311.9,1,1,2000-11-01,1735,Terra,MODIS,84,6.2,291.9,11.3,N,2
21.9091,72.6818,305.3,1,1,2000-11-01,1735,Terra,MODIS,64,6.2,292.6,7,N,0
33.1535,76.3167,313.7,1.4,1.2,2000-11-02,0542,Terra,MODIS,56,6.2,293.9,15.4,D,0
33.1521,76.3293,323.5,1.4,1.2,2000-11-02,0542,Terra,MODIS,82,6.2,294.2,29,D,0
30.9671,78.0389,303.6,1.1,1,2000-11-02,0542,Terra,MODIS,51,6.2,290.9,4.7,D,0
30.8511,75.9596,314.5,1.3,1.1,2000-11-02,0542,Terra,MODIS,65,6.2,298,11.1,D,0
30.536,74.3956,316,1.7,1.3,2000-11-02,0543,Terra,MODIS,62,6.2,301.1,13.8,D,0
30.4861,74.319,315,1.7,1.3,2000-11-02,0543,Terra,MODIS,57,6.2,302.5,11.4,D,0
30.1619,74.4918,315.5,1.6,1.2,2000-11-02,0543,Terra,MODIS,59,6.2,301.5,11.7,D,0
28.9968,79.4944,310.7,1,1,2000-11-02,0543,Terra,MODIS,50,6.2,298.4,4,D,0
28.8704,79.7877,313.7,1,1,2000-11-02,0543,Terra,MODIS,60,6.2,300,5.5,D,0
