latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.9298,34.9781,314.7,1.3,1.1,2000-11-02,0900,Terra,MODIS,61,6.2,292.6,15,D,0
32.7002,35.3408,316.6,1.5,1.2,2000-11-08,0823,Terra,MODIS,66,6.2,297.8,17.9,D,0
32.698,35.3337,312.4,1.5,1.2,2000-11-08,0823,Terra,MODIS,39,6.2,298.3,10.5,D,0
32.5245,35.3228,314.2,1.2,1.1,2000-11-11,0853,Terra,MODIS,52,6.2,302.8,7,D,0
31.3712,34.8739,310.3,1.9,1.4,2000-11-17,0817,Terra,MODIS,60,6.2,298.4,12.2,D,0
31.3397,34.4089,316.6,1.1,1.1,2000-11-22,0835,Terra,MODIS,69,6.2,299.3,10.7,D,0
31.4608,34.5992,311.6,2.6,1.5,2000-11-26,0810,Terra,MODIS,68,6.2,298.4,23.7,D,0
31.4553,34.5915,311.1,2.6,1.5,2000-11-26,0811,Terra,MODIS,67,6.2,298.1,21.1,D,0
32.8205,35.4151,308.2,1,1,2000-12-31,0840,Terra,MODIS,64,6.2,286,7.7,D,0
32.8116,35.4134,316.9,1,1,2000-12-31,0840,Terra,MODIS,77,6.2,286.8,14.7,D,0
