latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.5316,141.5008,325.4,1.3,1.1,2000-11-03,1232,Terra,MODIS,100,6.2,281.2,39.7,N,2
40.535,141.5052,313.4,1.6,1.3,2000-11-04,0209,Terra,MODIS,0,6.2,289.5,22.9,D,2
34.8174,137.0758,304.3,1.2,1.1,2000-11-04,0211,Terra,MODIS,49,6.2,292.7,5,D,0
34.6329,137.1822,301.9,1.3,1.1,2000-11-04,0211,Terra,MODIS,43,6.2,291.1,5,D,0
34.1686,131.2222,304.2,1.1,1,2000-11-04,0211,Terra,MODIS,57,6.2,294,5.6,D,0
33.2649,131.6463,301.2,1.6,1.2,2000-11-04,1313,Terra,MODIS,22,6.2,289.8,9.8,N,2
40.5364,141.4953,311.9,1.7,1.3,2000-11-04,1315,Terra,MODIS,84,6.2,280.9,32.9,N,2
40.5334,141.5032,312.6,2,1.4,2000-11-05,0114,Terra,MODIS,41,6.2,285.3,28.8,D,2
35.0282,136.8846,305.3,3.4,1.7,2000-11-05,0116,Terra,MODIS,0,6.2,292.8,23.3,D,2
43.343,143.4546,300.6,1.3,1.1,2000-11-06,0156,Terra,MODIS,39,6.2,284.8,7.6,D,0
40.5361,141.5096,301,1.2,1.1,2000-11-06,0157,Terra,MODIS,0,6.2,288.4,4,D,2
36.1818,137.3386,300.5,1,1,2000-11-06,0158,Terra,MODIS,37,6.2,288.7,4.6,D,0
35.0238,136.8695,315.8,1,1,2000-11-06,0159,Terra,MODIS,0,6.2,295.2,9.6,D,2
34.5983,135.4617,309.4,1,1,2000-11-06,0159,Terra,MODIS,0,6.2,296.9,5.1,D,0
40.5379,141.4974,318.2,1.2,1.1,2000-11-06,1302,Terra,MODIS,96,6.2,277.7,26.6,N,2
36.9797,140.0766,301.1,1,1,2000-11-08,0146,Terra,MODIS,44,6.2,291,3.3,D,0
35.0271,136.8714,310,1.2,1.1,2000-11-08,0147,Terra,MODIS,0,6.2,295.4,6.9,D,2
35.0291,136.8823,306.4,1.4,1.2,2000-11-11,0217,Terra,MODIS,48,6.2,293.3,8.5,D,2
35.0249,136.8753,308.3,1.4,1.2,2000-11-11,0217,Terra,MODIS,0,6.2,293.1,10.2,D,2
35.3516,139.8824,304.7,1.4,1.2,2000-11-13,0205,Terra,MODIS,0,6.2,291.8,8.3,D,2
43.2819,143.5984,309.2,1.1,1.1,2000-11-15,0150,Terra,MODIS,68,6.2,283.7,13.5,D,0
33.2637,131.6493,311.1,1.1,1,2000-11-18,0224,Terra,MODIS,0,6.2,290.5,9.8,D,0
33.0132,130.7718,300.3,1,1,2000-11-18,0224,Terra,MODIS,34,6.2,287.4,4.4,D,0
35.024,136.8669,303.6,1.2,1.1,2000-11-18,1325,Terra,MODIS,56,6.2,282.2,11.8,N,2
35.9388,140.681,305.7,1.3,1.1,2000-11-19,0128,Terra,MODIS,44,6.2,288.9,10,D,2
35.9287,140.6794,303.5,1.3,1.1,2000-11-19,0128,Terra,MODIS,0,6.2,289.2,7.8,D,2
35.0301,136.871,306.5,1,1,2000-11-22,0159,Terra,MODIS,0,6.2,289.4,6.8,D,2
33.2598,131.6528,302.8,1.1,1,2000-11-23,1343,Terra,MODIS,51,6.2,282.3,9.5,N,2
35.9398,140.6774,305.7,1,1,2000-11-24,0146,Terra,MODIS,54,6.2,291.8,6.4,D,2
35.3477,139.8838,300.8,1,1,2000-11-24,0146,Terra,MODIS,36,6.2,288.3,4.1,D,0
35.0328,136.8791,305.2,1.2,1.1,2000-11-24,0146,Terra,MODIS,39,6.2,292.3,6,D,2
35.933,140.6777,313.1,1.1,1.1,2000-11-26,0134,Terra,MODIS,0,6.2,293.5,12.3,D,2
