latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.3951,103.1257,306.8,1,1,2000-11-02,0407,Terra,MODIS,64,6.2,296.6,3.9,D,0
17.4426,105.139,309.6,1.3,1.2,2000-11-02,0407,Terra,MODIS,61,6.2,298.8,8.7,D,0
17.444,105.1461,308.7,1.4,1.2,2000-11-02,0407,Terra,MODIS,58,6.2,297.9,7.4,D,0
15.2216,106.2325,305.6,1.8,1.3,2000-11-02,0408,Terra,MODIS,52,6.2,294.9,9.9,D,0
15.2252,106.2274,304.7,1.8,1.3,2000-11-02,0408,Terra,MODIS,46,6.2,294.5,9.2,D,0
19.9222,104.1662,312.2,1,1,2000-11-04,0354,Terra,MODIS,72,6.2,291.5,11.2,D,0
19.4904,103.1634,316.6,1.1,1,2000-11-04,0354,Terra,MODIS,76,6.2,299.2,11.6,D,0
19.4261,103.1688,308.9,1.1,1,2000-11-04,0354,Terra,MODIS,67,6.2,298.5,4.4,D,0
19.4093,103.0827,315.2,1.1,1,2000-11-04,0354,Terra,MODIS,75,6.2,301.4,9.2,D,0
19.4026,103.0856,316,1.1,1,2000-11-04,0354,Terra,MODIS,76,6.2,299.7,11.5,D,0
19.3226,103.1157,311.2,1.1,1,2000-11-04,0354,Terra,MODIS,70,6.2,299,7,D,0
17.4395,105.144,310.4,1,1,2000-11-04,0355,Terra,MODIS,63,6.2,299.5,5.8,D,0
20.5181,104.098,309.4,3.6,1.8,2000-11-05,0437,Terra,MODIS,68,6.2,291.9,51.4,D,0
20.5094,104.089,310.8,3.6,1.8,2000-11-05,0437,Terra,MODIS,70,6.2,292.2,59.5,D,0
21.4813,102.1759,307.5,1.5,1.2,2000-11-07,0424,Terra,MODIS,60,6.2,288.6,12.1,D,0
19.1168,104.0615,315.8,1,1,2000-11-11,0401,Terra,MODIS,75,6.2,296.9,11.5,D,0
14.962,106.6107,308.3,1.5,1.2,2000-11-11,0402,Terra,MODIS,40,6.2,295,7.9,D,0
14.9597,106.6244,313.2,1.5,1.2,2000-11-11,0402,Terra,MODIS,64,6.2,293.5,13.8,D,0
19.4042,103.0588,311.1,2.1,1.4,2000-11-15,0336,Terra,MODIS,62,6.2,298.1,17.5,D,0
14.8759,106.6659,313,1.1,1,2000-11-15,0337,Terra,MODIS,51,6.2,298.7,6.7,D,0
19.2858,102.593,307,1.1,1.1,2000-11-20,0354,Terra,MODIS,57,6.2,294.9,6.1,D,0
19.2762,102.5919,305.6,1.1,1.1,2000-11-20,0354,Terra,MODIS,52,6.2,293.6,5,D,0
20.825,103.7864,302.5,1.5,1.2,2000-11-22,0342,Terra,MODIS,53,6.2,291.5,8.4,D,0
19.8429,104.2543,308.5,1.4,1.2,2000-11-22,0342,Terra,MODIS,67,6.2,291.1,13.4,D,0
19.8413,104.2667,302.5,1.4,1.2,2000-11-22,0342,Terra,MODIS,53,6.2,291.1,7.4,D,0
21.1025,101.2807,307.9,1,1,2000-11-25,0412,Terra,MODIS,65,6.2,292.5,7.3,D,0
14.7624,106.6163,309.2,2.2,1.4,2000-11-26,0318,Terra,MODIS,55,6.2,294.3,15.2,D,0
19.4632,103.0844,311.9,1,1,2000-11-27,0400,Terra,MODIS,61,6.2,295.2,6.9,D,0
17.88,102.6339,315.6,1.3,1.1,2000-11-29,0348,Terra,MODIS,53,6.2,299.2,7.5,D,0
17.4391,105.139,313.3,1,1,2000-11-29,0348,Terra,MODIS,60,6.2,300.3,6.3,D,0
19.6352,103.0833,310.5,1.4,1.2,2000-12-02,0418,Terra,MODIS,58,6.2,292.7,11,D,0
15.1864,106.2965,311,1.8,1.3,2000-12-04,0407,Terra,MODIS,63,6.2,295.3,15.3,D,0
18.3903,103.78,311.2,1,1,2000-12-06,0354,Terra,MODIS,66,6.2,299.3,4.7,D,0
18.2508,102.5091,311.2,1.1,1.1,2000-12-06,0354,Terra,MODIS,58,6.2,298.6,5.5,D,0
17.6317,105.4385,306.3,1,1,2000-12-06,0354,Terra,MODIS,46,6.2,294.1,5,D,0
17.5721,105.221,312.6,1,1,2000-12-06,0354,Terra,MODIS,48,6.2,299.4,7.1,D,0
15.3732,105.6101,310.8,1.1,1,2000-12-06,0354,Terra,MODIS,58,6.2,296.3,6.2,D,0
15.0546,106.7498,305.8,1.2,1.1,2000-12-06,0354,Terra,MODIS,42,6.2,285.6,6.4,D,0
14.8929,105.9617,310.9,1.1,1,2000-12-06,0355,Terra,MODIS,44,6.2,295.9,5.5,D,0
20.1753,103.4309,318.5,1.6,1.3,2000-12-08,0341,Terra,MODIS,66,6.2,290,28,D,0
20.1736,103.4402,322.7,1.6,1.3,2000-12-08,0341,Terra,MODIS,81,6.2,291.5,39.1,D,0
18.9622,104.4031,310.9,1.3,1.1,2000-12-08,0341,Terra,MODIS,53,6.2,289.9,12.5,D,0
17.6981,104.6549,314,1.3,1.1,2000-12-08,0342,Terra,MODIS,67,6.2,295.2,9.6,D,0
15.0054,106.7018,311.1,1,1,2000-12-08,0342,Terra,MODIS,49,6.2,289.3,8.4,D,0
15.0041,106.711,309.3,1,1,2000-12-08,0342,Terra,MODIS,58,6.2,285.2,7.2,D,0
15.2256,106.4567,313.1,1.4,1.2,2000-12-10,0330,Terra,MODIS,65,6.2,294.5,13.1,D,0
15.2301,106.4513,307.6,1.4,1.2,2000-12-10,0330,Terra,MODIS,37,6.2,294.5,6.2,D,0
15.3224,105.975,313.1,2.2,1.4,2000-12-11,0413,Terra,MODIS,62,6.2,294.1,22.9,D,0
15.3229,105.9685,309.4,2.2,1.4,2000-12-11,0413,Terra,MODIS,47,6.2,293.9,14.4,D,0
14.974,106.6001,312.6,2.5,1.5,2000-12-11,0413,Terra,MODIS,56,6.2,292,30,D,0
14.97,106.6227,313.3,2.5,1.5,2000-12-11,0413,Terra,MODIS,58,6.2,292.8,31.6,D,0
18.1474,102.7207,311.3,1,1,2000-12-13,0400,Terra,MODIS,49,6.2,299.3,5,D,0
18.0667,102.7688,316.9,1,1,2000-12-13,0400,Terra,MODIS,69,6.2,302.5,7.5,D,0
18.0145,102.7451,315.3,1,1,2000-12-13,0400,Terra,MODIS,55,6.2,301.6,6.1,D,0
18.3651,103.8024,314.4,1.2,1.1,2000-12-15,0348,Terra,MODIS,63,6.2,300.5,9.1,D,0
18.0665,102.7316,314.7,1.3,1.1,2000-12-15,0348,Terra,MODIS,69,6.2,299.5,10.2,D,0
15.2538,106.631,313.7,1,1,2000-12-15,0349,Terra,MODIS,70,6.2,296.2,9.5,D,0
14.9682,106.7482,314.5,1,1,2000-12-15,0349,Terra,MODIS,60,6.2,295.9,8.9,D,0
14.9667,106.7577,323.7,1,1,2000-12-15,0349,Terra,MODIS,81,6.2,297.6,18.1,D,0
14.9592,106.7501,318.3,1,1,2000-12-15,0349,Terra,MODIS,66,6.2,294.9,13.4,D,0
14.9273,106.7158,318.9,1,1,2000-12-15,0349,Terra,MODIS,76,6.2,295.4,12.3,D,0
14.9259,106.7251,322.9,1,1,2000-12-15,0349,Terra,MODIS,80,6.2,298.2,17,D,0
14.908,106.5389,319.5,1,1,2000-12-15,0349,Terra,MODIS,76,6.2,295.9,14.9,D,0
17.6684,104.6417,308.6,3.5,1.8,2000-12-16,0431,Terra,MODIS,30,6.2,294.2,24.7,D,0
19.5902,103.0335,311.5,2.2,1.4,2000-12-17,0335,Terra,MODIS,69,6.2,294.5,24.5,D,0
18.3851,104.8352,308.4,1.5,1.2,2000-12-17,0336,Terra,MODIS,61,6.2,292.7,11.9,D,0
18.1165,104.2264,326.6,1.7,1.3,2000-12-17,0336,Terra,MODIS,82,6.2,299.9,40.8,D,0
18.1186,104.2206,321.8,1.7,1.3,2000-12-17,0336,Terra,MODIS,78,6.2,299.9,30.2,D,0
18.1166,104.2364,313,1.7,1.3,2000-12-17,0336,Terra,MODIS,67,6.2,298.7,13.2,D,0
15.1659,106.2972,311.3,1.1,1.1,2000-12-17,0336,Terra,MODIS,57,6.2,296.9,6.9,D,0
15.0508,105.8684,315.1,1.2,1.1,2000-12-17,0336,Terra,MODIS,39,6.2,300,9.5,D,0
14.9252,106.638,317.8,1.1,1,2000-12-17,0336,Terra,MODIS,67,6.2,298.8,11.2,D,0
14.9238,106.6482,314.6,1.1,1,2000-12-17,0336,Terra,MODIS,22,6.2,298.5,8,D,0
14.9159,106.6367,318.4,1.1,1,2000-12-17,0336,Terra,MODIS,68,6.2,296,11.6,D,0
14.7929,106.6544,309.3,1.1,1,2000-12-17,0336,Terra,MODIS,43,6.2,296.1,4.9,D,0
19.3782,103.4918,304,1.6,1.2,2000-12-18,0418,Terra,MODIS,55,6.2,291.7,10.1,D,0
19.3756,103.5062,302.1,1.6,1.2,2000-12-18,0418,Terra,MODIS,42,6.2,291.3,7.8,D,0
19.3748,103.4998,309.7,1.6,1.2,2000-12-18,0418,Terra,MODIS,67,6.2,292,15.8,D,0
18.2126,103.1369,315.1,1.6,1.2,2000-12-18,0418,Terra,MODIS,0,6.2,298.3,16.6,D,0
17.6565,104.6809,321.5,2.1,1.4,2000-12-18,0419,Terra,MODIS,76,6.2,298.1,39.4,D,0
18.3078,102.4902,314.5,1,1,2000-12-20,0406,Terra,MODIS,65,6.2,301.6,5.6,D,0
18.3063,102.4997,324.4,1,1,2000-12-20,0406,Terra,MODIS,75,6.2,301.6,15.6,D,0
18.107,102.8379,312.5,1,1,2000-12-20,0406,Terra,MODIS,61,6.2,301.2,5.1,D,0
18.1048,102.6107,318.2,1,1,2000-12-20,0406,Terra,MODIS,72,6.2,300.8,10,D,0
18.004,102.7259,318.4,1,1,2000-12-20,0406,Terra,MODIS,60,6.2,303.4,7.7,D,0
17.1851,104.8846,328.2,1.3,1.1,2000-12-20,0406,Terra,MODIS,81,6.2,302.2,24.4,D,0
17.1874,104.8791,319.5,1.3,1.1,2000-12-20,0406,Terra,MODIS,71,6.2,301.7,11.9,D,0
17.1854,104.8914,322.6,1.3,1.1,2000-12-20,0406,Terra,MODIS,75,6.2,301.9,16.3,D,0
14.4403,105.6716,316.1,1.7,1.3,2000-12-20,0407,Terra,MODIS,66,6.2,297.3,14.2,D,0
18.3369,103.2268,313,1.1,1,2000-12-22,0354,Terra,MODIS,0,6.2,298.4,7.9,D,0
18.1071,102.8281,310.2,1.1,1,2000-12-22,0354,Terra,MODIS,56,6.2,297.7,4.7,D,0
16.3521,105.5159,308.6,1,1,2000-12-22,0354,Terra,MODIS,53,6.2,297.2,4.2,D,0
16.3507,105.5255,309.7,1,1,2000-12-22,0354,Terra,MODIS,57,6.2,296.7,5,D,0
15.0034,106.7577,310.8,1.2,1.1,2000-12-22,0355,Terra,MODIS,60,6.2,295.6,9.5,D,0
14.7998,106.689,311.3,1.2,1.1,2000-12-22,0355,Terra,MODIS,58,6.2,298.5,9.2,D,0
14.6912,106.8518,311.6,1.2,1.1,2000-12-22,0355,Terra,MODIS,59,6.2,298.9,7.5,D,0
14.4089,105.4919,311.6,1.1,1,2000-12-22,0355,Terra,MODIS,60,6.2,297.7,6.8,D,0
14.4074,105.5018,313.7,1.1,1,2000-12-22,0355,Terra,MODIS,65,6.2,298.6,8.5,D,0
18.4794,102.7241,301.8,1.7,1.3,2000-12-24,0342,Terra,MODIS,31,6.2,291.8,6.4,D,0
18.3244,102.4861,311.9,1.7,1.3,2000-12-24,0342,Terra,MODIS,68,6.2,298.4,13.3,D,0
17.3588,105.1768,307.9,1.1,1.1,2000-12-24,0342,Terra,MODIS,58,6.2,296.8,7,D,0
16.9152,106.5281,317.5,1,1,2000-12-24,0342,Terra,MODIS,77,6.2,291.8,14.7,D,0
