latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-14.1418,40.2609,325.3,3.4,1.7,2000-11-01,0829,Terra,MODIS,76,6.2,295,79.3,D,0
-14.9429,32.2774,328.8,1,1,2000-11-01,0829,Terra,MODIS,69,6.2,305.7,12.9,D,0
-17.9832,36.1697,320.4,1.9,1.3,2000-11-01,0830,Terra,MODIS,44,6.2,292.9,19.3,D,0
-18.7216,36.0473,330,1.9,1.3,2000-11-01,0830,Terra,MODIS,64,6.2,295.2,47.5,D,0
-18.641,35.5031,315.1,1.7,1.3,2000-11-01,0830,Terra,MODIS,13,6.2,291.9,14.3,D,0
-19.1424,34.5461,319.2,1.5,1.2,2000-11-01,0830,Terra,MODIS,43,6.2,297.5,18.1,D,0
-19.1768,33.7832,320.2,1.3,1.1,2000-11-01,0831,Terra,MODIS,55,6.2,300,11.3,D,0
-19.7614,34.655,330.3,1.5,1.2,2000-11-01,0831,Terra,MODIS,52,6.2,308.5,37.5,D,0
-20.3493,34.6164,323.6,1.6,1.2,2000-11-01,0831,Terra,MODIS,74,6.2,301.8,17.6,D,0
-20.8608,34.2301,321.3,1.5,1.2,2000-11-01,0831,Terra,MODIS,55,6.2,297.6,20.5,D,0
-21.2288,33.8652,324.9,1.4,1.2,2000-11-01,0831,Terra,MODIS,33,6.2,297,19.7,D,0
-21.3759,34.332,372.7,1.5,1.2,2000-11-01,0831,Terra,MODIS,100,6.2,300.7,219.9,D,0
-21.387,34.3305,327.9,1.5,1.2,2000-11-01,0831,Terra,MODIS,64,6.2,292.8,32.3,D,0
-21.5151,32.6586,324.5,1.2,1.1,2000-11-01,0831,Terra,MODIS,17,6.2,305.2,10,D,0
-21.5235,32.6454,328.4,1.2,1.1,2000-11-01,0831,Terra,MODIS,56,6.2,306.5,15.7,D,0
-21.5349,32.6557,323.7,1.2,1.1,2000-11-01,0831,Terra,MODIS,33,6.2,306.1,8.6,D,0
