latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.1845,19.3539,303.8,4.7,2,2000-11-01,2220,Terra,MODIS,57,6.2,291.2,47.3,N,0
-18.1856,19.3495,306.3,4.7,2,2000-11-01,2220,Terra,MODIS,68,6.2,291.2,60.9,N,0
-17.6582,25.0072,331.4,1.7,1.3,2000-11-02,0913,Terra,MODIS,74,6.2,309.7,30.9,D,0
-17.9109,19.5083,337.1,1,1,2000-11-02,0914,Terra,MODIS,74,6.2,316.8,16.4,D,0
-18.1812,19.3444,359.9,1,1,2000-11-02,0914,Terra,MODIS,99,6.2,322,55.9,D,0
-18.1826,19.3538,347,1,1,2000-11-02,0914,Terra,MODIS,66,6.2,321.8,25.5,D,0
-18.1916,19.3524,341.7,1,1,2000-11-02,0914,Terra,MODIS,76,6.2,321.8,16.3,D,0
-19.4634,17.4881,303.6,1.6,1.2,2000-11-02,2125,Terra,MODIS,44,6.2,290.1,10.7,N,0
-19.4652,17.4728,302,1.6,1.2,2000-11-02,2125,Terra,MODIS,27,6.2,290,9,N,0
-19.4522,17.4866,305.9,1.6,1.2,2000-11-02,2125,Terra,MODIS,66,6.2,290.6,13.7,N,0
-17.5192,16.7918,333.7,2.7,1.6,2000-11-03,0956,Terra,MODIS,74,6.2,314.1,69.6,D,0
-17.522,16.8174,333.9,2.7,1.6,2000-11-03,0956,Terra,MODIS,74,6.2,314.4,70.3,D,0
-17.5251,16.8102,333.8,2.7,1.6,2000-11-03,0956,Terra,MODIS,66,6.2,314.7,63.1,D,0
-19.7236,17.8894,321.5,3.5,1.8,2000-11-03,0957,Terra,MODIS,26,6.2,306.5,55.2,D,0
-19.7396,17.8885,324.7,3.5,1.8,2000-11-03,0957,Terra,MODIS,59,6.2,308.3,71.4,D,0
-19.7324,17.8833,326.1,3.5,1.8,2000-11-03,0957,Terra,MODIS,66,6.2,308.4,87.1,D,0
-19.7355,17.9174,326.6,3.6,1.8,2000-11-03,0957,Terra,MODIS,67,6.2,306.4,90.4,D,0
-17.4283,18.3433,336.1,1.5,1.2,2000-11-04,0901,Terra,MODIS,43,6.2,318.9,23.5,D,0
-17.4307,18.3575,334.8,1.5,1.2,2000-11-04,0901,Terra,MODIS,26,6.2,318.8,19,D,0
-17.4599,18.3162,352,1.5,1.2,2000-11-04,0901,Terra,MODIS,93,6.2,318.9,79.4,D,0
-17.9669,20.2519,342,1.2,1.1,2000-11-04,0901,Terra,MODIS,66,6.2,321,22.2,D,0
-17.9765,20.2503,340.2,1.2,1.1,2000-11-04,0901,Terra,MODIS,49,6.2,323,18.2,D,0
-17.9774,20.1945,340.8,1.2,1.1,2000-11-04,0901,Terra,MODIS,55,6.2,322,18.7,D,0
-17.9791,20.2054,342.7,1.2,1.1,2000-11-04,0901,Terra,MODIS,65,6.2,325.8,21.6,D,0
-17.9929,20.2916,344.3,1.1,1.1,2000-11-04,0901,Terra,MODIS,83,6.2,324.4,27,D,0
-17.987,20.1929,356.5,1.2,1.1,2000-11-04,0901,Terra,MODIS,97,6.2,324.8,55.9,D,0
-17.9887,20.2037,349.4,1.2,1.1,2000-11-04,0901,Terra,MODIS,80,6.2,325.7,34.3,D,0
-17.9966,20.1913,343,1.2,1.1,2000-11-04,0901,Terra,MODIS,39,6.2,323.6,21.6,D,0
-18.0199,20.276,343.8,1.1,1.1,2000-11-04,0901,Terra,MODIS,77,6.2,323.1,22.5,D,0
-18.2118,21.0948,338.6,1.1,1,2000-11-04,0901,Terra,MODIS,65,6.2,320.2,13.7,D,0
-18.0934,19.8325,344.5,1.2,1.1,2000-11-04,0901,Terra,MODIS,86,6.2,320,33.2,D,0
-18.0952,19.8438,359.6,1.2,1.1,2000-11-04,0901,Terra,MODIS,99,6.2,324.3,77.1,D,0
-18.0358,19.228,340.3,1.3,1.1,2000-11-04,0901,Terra,MODIS,80,6.2,321.9,25.3,D,0
-18.038,19.1772,334.1,1.3,1.1,2000-11-04,0901,Terra,MODIS,67,6.2,320.4,12.2,D,0
-18.297,20.8057,333.9,1.1,1,2000-11-04,0901,Terra,MODIS,66,6.2,320.9,9.2,D,0
-18.2377,20.0301,338.8,1.2,1.1,2000-11-04,0901,Terra,MODIS,78,6.2,322.3,18.6,D,0
-18.4152,19.9867,346.6,1.2,1.1,2000-11-04,0901,Terra,MODIS,88,6.2,321.8,37.5,D,0
-18.4248,19.9851,360,1.2,1.1,2000-11-04,0901,Terra,MODIS,100,6.2,323.8,77.4,D,0
-18.4266,19.996,335.9,1.2,1.1,2000-11-04,0901,Terra,MODIS,72,6.2,322,15,D,0
-18.8808,17.7266,334.6,1.6,1.2,2000-11-04,0902,Terra,MODIS,73,6.2,316,28.9,D,0
-19.6186,20.4762,338.8,1.1,1,2000-11-04,0902,Terra,MODIS,68,6.2,322.3,16.2,D,0
-19.6425,20.6291,333.2,1.1,1,2000-11-04,0902,Terra,MODIS,64,6.2,319.8,7.5,D,0
-21.234,18.7917,336.6,1.2,1.1,2000-11-04,0902,Terra,MODIS,80,6.2,315.3,27.3,D,0
-22.5465,18.9699,342.8,1.2,1.1,2000-11-04,0903,Terra,MODIS,86,6.2,317.4,35.2,D,0
-22.5561,18.9681,369.8,1.2,1.1,2000-11-04,0903,Terra,MODIS,100,6.2,319.1,120.2,D,0
-22.558,18.9794,331.6,1.2,1.1,2000-11-04,0903,Terra,MODIS,68,6.2,316.4,14.3,D,0
-17.4094,17.5543,351.3,1.8,1.3,2000-11-05,0944,Terra,MODIS,93,6.2,321.1,96.9,D,0
-17.4115,17.5714,363.5,1.8,1.3,2000-11-05,0944,Terra,MODIS,100,6.2,323.7,172.8,D,0
-17.4172,17.5649,358.4,1.8,1.3,2000-11-05,0944,Terra,MODIS,98,6.2,321.5,141.7,D,0
-17.5708,17.2845,339.5,1.7,1.3,2000-11-05,0944,Terra,MODIS,80,6.2,320.3,43.7,D,0
-17.5666,17.2793,336.5,1.7,1.3,2000-11-05,0944,Terra,MODIS,74,6.2,320.2,30.7,D,0
-17.7147,18.2556,334.2,2.1,1.4,2000-11-05,0944,Terra,MODIS,73,6.2,315,38.7,D,0
-17.6444,16.4987,333.4,1.5,1.2,2000-11-05,0944,Terra,MODIS,64,6.2,318.8,19.9,D,0
-18.4588,19.9853,335.9,2.9,1.6,2000-11-05,0944,Terra,MODIS,59,6.2,299.8,128.7,D,0
-18.3816,18.0728,341.5,2.1,1.4,2000-11-05,0944,Terra,MODIS,83,6.2,320,68.3,D,0
-18.3839,18.0922,341.1,2.1,1.4,2000-11-05,0944,Terra,MODIS,83,6.2,322.6,64.6,D,0
-18.3942,18.0713,369,2.1,1.4,2000-11-05,0944,Terra,MODIS,100,6.2,322.7,256.6,D,0
-18.3965,18.0907,344.7,2.1,1.4,2000-11-05,0944,Terra,MODIS,87,6.2,322.6,78.9,D,0
-18.3828,18.067,337.1,2.1,1.4,2000-11-05,0944,Terra,MODIS,51,6.2,318.7,44.8,D,0
-18.3849,18.0864,338.1,2.1,1.4,2000-11-05,0944,Terra,MODIS,53,6.2,323,47.3,D,0
-18.3953,18.0655,360.1,2.1,1.4,2000-11-05,0944,Terra,MODIS,100,6.2,320.5,176.7,D,0
-18.3975,18.0849,353.7,2.1,1.4,2000-11-05,0944,Terra,MODIS,95,6.2,322.9,130,D,0
-18.959,18.3527,334.8,2.2,1.4,2000-11-05,0945,Terra,MODIS,74,6.2,317.7,44.7,D,0
-18.9574,18.3473,331.3,2.2,1.4,2000-11-05,0945,Terra,MODIS,54,6.2,317.9,26.6,D,0
-19.0305,18.2967,336.8,2.2,1.4,2000-11-05,0945,Terra,MODIS,77,6.2,316.8,55.6,D,0
-18.0353,19.3036,330.9,2.1,1.4,2000-11-06,0849,Terra,MODIS,61,6.2,309.3,28,D,0
-18.9393,18.5502,325,1.4,1.2,2000-11-07,0932,Terra,MODIS,56,6.2,307.6,11.8,D,0
-19.1271,18.253,338.1,1.3,1.1,2000-11-07,0932,Terra,MODIS,52,6.2,313.3,29,D,0
-19.8959,18.2139,333,1.3,1.1,2000-11-07,0933,Terra,MODIS,58,6.2,314.3,18.4,D,0
-19.8975,18.2267,331.3,1.3,1.1,2000-11-07,0933,Terra,MODIS,36,6.2,314.1,15,D,0
-19.9062,18.2125,334.8,1.3,1.1,2000-11-07,0933,Terra,MODIS,61,6.2,312.8,20.3,D,0
-19.9022,18.2065,332.6,1.3,1.1,2000-11-07,0933,Terra,MODIS,54,6.2,312.8,16.1,D,0
-19.9038,18.2193,334.3,1.3,1.1,2000-11-07,0933,Terra,MODIS,65,6.2,314,20.8,D,0
-21.4785,16.7612,334.9,1.2,1.1,2000-11-07,0933,Terra,MODIS,76,6.2,317,17.2,D,0
-21.48,16.7725,350.2,1.2,1.1,2000-11-07,0933,Terra,MODIS,93,6.2,318.1,51.1,D,0
-20.1077,16.1022,302,1.1,1,2000-11-07,2143,Terra,MODIS,14,6.2,290.7,4.4,N,0
-20.1105,16.0818,341.7,1.1,1,2000-11-07,2143,Terra,MODIS,100,6.2,295.7,50.5,N,0
-20.1118,16.0716,310.7,1.1,1,2000-11-07,2143,Terra,MODIS,74,6.2,292.4,10.1,N,0
-20.0957,16.1212,312.2,1.1,1,2000-11-07,2143,Terra,MODIS,84,6.2,293,11.6,N,0
-20.0971,16.111,342.4,1.1,1,2000-11-07,2143,Terra,MODIS,100,6.2,297.2,51.4,N,0
-20.0985,16.1008,327.2,1.1,1,2000-11-07,2143,Terra,MODIS,100,6.2,294.8,26.6,N,0
-20.0998,16.0906,354.4,1.1,1,2000-11-07,2143,Terra,MODIS,100,6.2,298,78.4,N,0
-20.1012,16.0804,381.7,1.1,1,2000-11-07,2143,Terra,MODIS,100,6.2,301.3,176.6,N,0
-20.1025,16.0702,310.6,1.1,1,2000-11-07,2143,Terra,MODIS,81,6.2,293,9.8,N,0
-20.0865,16.1198,335.8,1.1,1,2000-11-07,2143,Terra,MODIS,100,6.2,295,40,N,0
-20.0878,16.1096,323.6,1.1,1,2000-11-07,2143,Terra,MODIS,100,6.2,294,22.1,N,0
-20.0905,16.0892,306.9,1.1,1,2000-11-07,2143,Terra,MODIS,37,6.2,293.2,6.8,N,0
-20.0919,16.0791,312.9,1.1,1,2000-11-07,2143,Terra,MODIS,86,6.2,293.5,11.6,N,0
-17.5692,24.6729,327,1.5,1.2,2000-11-08,0837,Terra,MODIS,29,6.2,304.3,11.8,D,0
-17.6346,25.0582,342.8,1.4,1.2,2000-11-08,0837,Terra,MODIS,81,6.2,302.7,51.3,D,0
-17.6368,25.0711,335.9,1.4,1.2,2000-11-08,0837,Terra,MODIS,54,6.2,301.3,32.8,D,0
-17.5776,24.6573,328.6,1.5,1.2,2000-11-08,0837,Terra,MODIS,63,6.2,307.1,15.6,D,0
-17.5799,24.671,334.6,1.5,1.2,2000-11-08,0837,Terra,MODIS,78,6.2,305.9,28.7,D,0
-17.7278,24.8054,331.6,1.4,1.2,2000-11-08,0837,Terra,MODIS,61,6.2,308.9,19.9,D,0
-17.2067,12.9949,326.3,3.2,1.7,2000-11-08,1015,Terra,MODIS,43,6.2,306.8,54.4,D,0
-19.4399,14.9067,329.8,4.7,2,2000-11-08,1016,Terra,MODIS,52,6.2,312.2,91.8,D,0
-19.4385,14.8997,328.7,4.7,2,2000-11-08,1016,Terra,MODIS,77,6.2,311.9,82.4,D,0
-17.1709,12.9779,300.2,2.2,1.4,2000-11-08,2227,Terra,MODIS,13,6.2,290,8.6,N,0
-17.657,16.7506,337.4,1,1,2000-11-09,0920,Terra,MODIS,75,6.2,316.6,12.1,D,0
-18.4473,15.6048,341.6,1.1,1.1,2000-11-09,0920,Terra,MODIS,77,6.2,319,18.9,D,0
-22.5107,16.9945,335.3,1,1,2000-11-09,0921,Terra,MODIS,45,6.2,321.2,11.2,D,0
-22.5183,16.9834,335.1,1,1,2000-11-09,0921,Terra,MODIS,58,6.2,317.9,12,D,0
-22.5197,16.993,364.2,1,1,2000-11-09,0921,Terra,MODIS,100,6.2,320.1,74.2,D,0
-21.5627,20.1199,300.2,1,1,2000-11-09,2131,Terra,MODIS,7,6.2,280.2,5.7,N,0
-21.5536,20.1184,301,1,1,2000-11-09,2131,Terra,MODIS,31,6.2,277.1,6.6,N,0
-19.7733,15.9272,302.4,1.6,1.2,2000-11-09,2131,Terra,MODIS,47,6.2,291.9,9.1,N,0
-19.7724,15.9363,302.3,1.6,1.2,2000-11-09,2131,Terra,MODIS,48,6.2,291.9,9.2,N,0
-18.3403,23.5788,306.5,1.2,1.1,2000-11-09,2131,Terra,MODIS,68,6.2,290,11.1,N,0
-19.3812,15.2884,313.2,1.8,1.3,2000-11-09,2131,Terra,MODIS,87,6.2,295.1,23.9,N,0
-19.3675,15.3036,306.5,1.8,1.3,2000-11-09,2131,Terra,MODIS,68,6.2,294.1,13.6,N,0
-19.3695,15.287,322.4,1.8,1.3,2000-11-09,2131,Terra,MODIS,100,6.2,295.3,43.4,N,0
-19.023,15.1321,311.9,1.8,1.3,2000-11-09,2132,Terra,MODIS,30,6.2,292.3,22.4,N,0
-19.0112,15.1306,309.4,1.8,1.3,2000-11-09,2132,Terra,MODIS,22,6.2,292.9,18.3,N,0
-18.9664,15.2101,306.4,1.8,1.3,2000-11-09,2132,Terra,MODIS,51,6.2,293,14.1,N,0
-18.9702,15.1767,314,1.8,1.3,2000-11-09,2132,Terra,MODIS,63,6.2,293.8,23.9,N,0
-18.9721,15.1598,327.5,1.8,1.3,2000-11-09,2132,Terra,MODIS,100,6.2,294.5,54.6,N,0
-18.9529,15.2253,304.2,1.8,1.3,2000-11-09,2132,Terra,MODIS,12,6.2,291.5,10.9,N,0
-18.9547,15.2086,355.9,1.8,1.3,2000-11-09,2132,Terra,MODIS,100,6.2,297,171.4,N,0
-18.9584,15.1751,314.5,1.8,1.3,2000-11-09,2132,Terra,MODIS,52,6.2,294.9,23,N,0
-18.9603,15.1583,351.3,1.8,1.3,2000-11-09,2132,Terra,MODIS,100,6.2,296.8,144.1,N,0
-18.943,15.2071,345.2,1.8,1.3,2000-11-09,2132,Terra,MODIS,100,6.2,295.2,116.9,N,0
