latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.6772,-87.1492,335.5,1,1,2000-11-01,1636,Terra,MODIS,89,6.2,296.2,29.7,D,0
12.5011,-86.7021,304.5,1,1,2000-11-01,1636,Terra,MODIS,0,6.2,273.4,5.2,D,1
13.6945,-86.518,300.7,1.3,1.1,2000-11-15,0434,Terra,MODIS,32,6.2,288.5,7.7,N,0
13.6847,-86.5132,316.5,1.2,1.1,2000-11-15,1648,Terra,MODIS,53,6.2,298,12.7,D,0
12.852,-86.1833,314,1.3,1.1,2000-11-15,1648,Terra,MODIS,51,6.2,299.3,7.8,D,0
12.6754,-86.7118,320.9,1.1,1,2000-11-26,1630,Terra,MODIS,73,6.2,302.3,10.2,D,0
12.8825,-87.5314,317.4,3,1.7,2000-11-27,1713,Terra,MODIS,37,6.2,302.1,38.7,D,0
12.4787,-86.4675,322.2,1.6,1.2,2000-11-28,1618,Terra,MODIS,63,6.2,300.4,21.8,D,0
12.4776,-86.4738,323.1,1.6,1.2,2000-11-28,1618,Terra,MODIS,58,6.2,300.9,23.2,D,0
12.1272,-85.7557,316,2.5,1.5,2000-11-29,1700,Terra,MODIS,59,6.2,294.9,31.7,D,0
12.595,-87.1735,326.3,1.2,1.1,2000-12-01,1648,Terra,MODIS,79,6.2,299.3,20.7,D,0
12.4938,-86.7133,314.1,1.2,1.1,2000-12-01,1648,Terra,MODIS,47,6.2,297.7,8.7,D,0
12.5252,-87.0727,319.7,1,1,2000-12-03,1636,Terra,MODIS,67,6.2,302.3,9.9,D,0
13.1224,-86.4549,309,1.3,1.1,2000-12-05,1623,Terra,MODIS,42,6.2,294,7.7,D,0
13.1215,-86.4493,309.3,1.3,1.1,2000-12-05,1623,Terra,MODIS,38,6.2,294.3,8.4,D,0
12.5574,-87.0463,334.7,1.4,1.2,2000-12-05,1623,Terra,MODIS,87,6.2,293.4,45.2,D,0
