latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-5.9659,147.1301,310.2,3.9,1.8,2000-11-01,0013,Terra,MODIS,0,6.2,290,35.1,D,0
-8.0061,142.9411,333.6,1.2,1.1,2000-11-02,0056,Terra,MODIS,65,6.2,296.7,31.5,D,0
-9.0255,147.117,315.4,1.1,1,2000-11-02,0057,Terra,MODIS,47,6.2,300.2,7.4,D,0
-9.5116,147.3788,325.2,1.1,1.1,2000-11-02,0057,Terra,MODIS,62,6.2,299.6,15.7,D,0
-9.6788,147.4983,331.9,1.2,1.1,2000-11-02,0057,Terra,MODIS,85,6.2,303.8,24.6,D,0
-9.6803,147.5088,332.3,1.2,1.1,2000-11-02,0057,Terra,MODIS,85,6.2,302.1,25.8,D,0
-9.7523,147.5788,323.9,1.2,1.1,2000-11-02,0057,Terra,MODIS,50,6.2,307.4,14.1,D,0
-9.8272,147.6886,335.9,1.2,1.1,2000-11-02,0057,Terra,MODIS,79,6.2,303.3,32.2,D,0
-9.8301,147.6933,329,1.2,1.1,2000-11-02,0057,Terra,MODIS,73,6.2,302.5,22.6,D,0
-9.8949,147.8736,322.9,1.2,1.1,2000-11-02,0057,Terra,MODIS,75,6.2,301.7,13.4,D,0
-9.8964,147.8846,323.9,1.2,1.1,2000-11-02,0057,Terra,MODIS,74,6.2,302.1,15.2,D,0
-9.2386,142.7623,329.8,1.2,1.1,2000-11-02,0057,Terra,MODIS,79,6.2,307.9,21.8,D,0
-9.9902,147.8995,324.1,1.2,1.1,2000-11-02,0057,Terra,MODIS,37,6.2,303.4,11.5,D,0
-10.0158,147.7947,314.4,1.2,1.1,2000-11-02,0057,Terra,MODIS,40,6.2,298.8,5.6,D,0
-6.3808,155.4057,315.4,1.5,1.2,2000-11-03,0001,Terra,MODIS,55,6.2,297.3,12.4,D,0
-9.1456,141.7252,318.7,2.6,1.6,2000-11-03,0140,Terra,MODIS,38,6.2,296.2,32.7,D,0
-6.1355,155.1913,307.7,1.1,1,2000-11-03,1219,Terra,MODIS,56,6.2,289,9.2,N,1
-9.0803,146.8447,329.3,1.1,1,2000-11-04,0044,Terra,MODIS,61,6.2,306,15.7,D,0
-9.2341,146.9546,319.8,1,1,2000-11-04,0044,Terra,MODIS,49,6.2,305.1,9.4,D,0
-9.3369,147.0869,322.1,1,1,2000-11-04,0044,Terra,MODIS,46,6.2,303.7,7,D,0
-9.3383,147.0963,322.5,1,1,2000-11-04,0044,Terra,MODIS,66,6.2,304.1,8,D,0
-9.7246,147.7705,317.1,1,1,2000-11-04,0045,Terra,MODIS,47,6.2,303.1,5.6,D,0
-9.7475,147.4911,324,1,1,2000-11-04,0045,Terra,MODIS,0,6.2,305.3,11.7,D,0
-9.7489,147.5003,324.2,1,1,2000-11-04,0045,Terra,MODIS,65,6.2,304.2,12.3,D,0
-10.1143,149.8238,311,1.1,1,2000-11-04,0045,Terra,MODIS,53,6.2,297.5,7,D,0
-9.8657,147.7278,324.5,1,1,2000-11-04,0045,Terra,MODIS,69,6.2,307.3,9.6,D,0
-9.8976,147.8806,324.5,1,1,2000-11-04,0045,Terra,MODIS,59,6.2,307.5,8.5,D,0
-9.9384,147.8469,323.6,1,1,2000-11-04,0045,Terra,MODIS,74,6.2,301.3,10.3,D,0
-9.9918,148.2088,320.9,1,1,2000-11-04,0045,Terra,MODIS,71,6.2,302.7,10.7,D,0
-10.0813,148.5049,322.3,1,1,2000-11-04,0045,Terra,MODIS,73,6.2,301.4,12.9,D,0
-9.3687,147.233,304.4,1,1,2000-11-04,1301,Terra,MODIS,60,6.2,291.7,3.7,N,0
-5.5218,150.7541,311.5,1.6,1.2,2000-11-08,0019,Terra,MODIS,61,6.2,290.6,8.2,D,0
-9.4386,147.2947,321.7,1.4,1.2,2000-11-09,0103,Terra,MODIS,57,6.2,290.5,13.1,D,0
-9.4402,147.3068,321.7,1.4,1.2,2000-11-09,0103,Terra,MODIS,48,6.2,288.4,15.3,D,0
-8.9338,146.9064,322.7,1,1,2000-11-11,0051,Terra,MODIS,78,6.2,293.3,13.4,D,0
-9.2199,142.7787,323.9,1.4,1.2,2000-11-11,0051,Terra,MODIS,59,6.2,295.4,18.4,D,0
-9.221,142.6464,313.9,1.4,1.2,2000-11-11,0051,Terra,MODIS,31,6.2,292.1,8.4,D,0
-9.2316,142.6447,318.3,1.4,1.2,2000-11-11,0051,Terra,MODIS,69,6.2,292.8,15.3,D,0
-9.2245,142.6391,318.2,1.4,1.2,2000-11-11,0051,Terra,MODIS,69,6.2,293.3,15,D,0
-9.2266,142.6522,315.3,1.4,1.2,2000-11-11,0051,Terra,MODIS,45,6.2,293.1,10.6,D,0
-10.4153,150.0101,312.3,1.4,1.2,2000-11-11,0051,Terra,MODIS,38,6.2,292.1,8.1,D,0
-10.4169,150.0225,316.7,1.4,1.2,2000-11-11,0051,Terra,MODIS,66,6.2,292.9,13.8,D,0
-6.4574,143.2196,309,2.4,1.5,2000-11-12,0133,Terra,MODIS,64,6.2,290.2,23.7,D,0
-6.0602,145.9281,322.3,1.6,1.2,2000-11-13,0038,Terra,MODIS,44,6.2,302.1,18.3,D,0
-9.1566,141.6965,330.2,1.2,1.1,2000-11-14,0121,Terra,MODIS,69,6.2,303.4,23.6,D,0
-9.1581,141.7074,328.6,1.2,1.1,2000-11-14,0121,Terra,MODIS,48,6.2,305.7,19.3,D,0
-9.8369,147.7945,319.6,1.7,1.3,2000-11-15,0026,Terra,MODIS,75,6.2,293.5,17.3,D,0
-6.1907,145.0317,320.4,1.2,1.1,2000-11-16,0108,Terra,MODIS,77,6.2,296,17.4,D,0
-6.1924,145.0434,312.1,1.2,1.1,2000-11-16,0108,Terra,MODIS,67,6.2,296.9,8.7,D,0
-6.4546,143.2176,312.9,1,1,2000-11-16,0108,Terra,MODIS,65,6.2,295.3,7.7,D,0
-6.4559,143.2267,310,1,1,2000-11-16,0108,Terra,MODIS,56,6.2,293.9,5.4,D,0
-7.4611,146.7507,316.6,1.5,1.2,2000-11-16,0108,Terra,MODIS,69,6.2,292,23.2,D,0
-9.0217,142.4484,314.9,1,1,2000-11-16,0109,Terra,MODIS,58,6.2,298.2,5,D,0
-9.7972,147.7987,326.7,2,1.4,2000-11-16,0109,Terra,MODIS,82,6.2,293.1,42.3,D,0
-9.8096,147.7975,320,2,1.4,2000-11-16,0109,Terra,MODIS,67,6.2,296.4,22.4,D,0
-9.8516,147.8287,328.3,2,1.4,2000-11-16,0109,Terra,MODIS,82,6.2,297.3,46.9,D,0
-9.8536,147.8221,321.9,2,1.4,2000-11-16,0109,Terra,MODIS,61,6.2,297.4,28.6,D,0
-9.8559,147.8398,318,2,1.4,2000-11-16,0109,Terra,MODIS,29,6.2,296.9,19.1,D,0
