latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.9142,51.5318,312,3.9,1.8,2000-11-02,1820,Terra,MODIS,77,6.2,293,75.9,N,2
24.9167,51.551,322,1,1,2000-11-03,1903,Terra,MODIS,100,6.2,295,17.9,N,2
25.2622,50.8071,307.8,1,1,2000-11-03,1903,Terra,MODIS,73,6.2,290.3,8.4,N,2
25.2726,50.8153,301.3,1,1,2000-11-03,1903,Terra,MODIS,8,6.2,289.9,4,N,2
25.2711,50.8055,318.9,1,1,2000-11-03,1903,Terra,MODIS,98,6.2,288.4,16.7,N,2
24.9284,51.5679,310.4,1.2,1.1,2000-11-05,1851,Terra,MODIS,80,6.2,295.2,10,N,2
24.9266,51.5565,309.8,1.2,1.1,2000-11-05,1851,Terra,MODIS,78,6.2,294.6,9.7,N,2
25.1479,50.8459,302.7,1.3,1.1,2000-11-05,1851,Terra,MODIS,51,6.2,291,7.4,N,2
25.1459,50.8337,303.8,1.3,1.1,2000-11-05,1851,Terra,MODIS,57,6.2,291.2,8.2,N,2
25.2654,50.8095,310,1.3,1.1,2000-11-05,1851,Terra,MODIS,79,6.2,291.1,13.6,N,2
25.2753,50.8075,314.5,1.3,1.1,2000-11-05,1851,Terra,MODIS,89,6.2,291.7,18.1,N,2
25.8778,51.5399,319.3,1.1,1.1,2000-11-05,1851,Terra,MODIS,98,6.2,291.8,20.2,N,0
24.9195,51.5481,321.2,2.7,1.6,2000-11-06,1933,Terra,MODIS,100,6.2,289.9,80.9,N,2
24.9241,51.542,308.3,2.7,1.6,2000-11-06,1933,Terra,MODIS,74,6.2,289.1,37.3,N,2
25.2742,50.803,307.5,2.4,1.5,2000-11-06,1934,Terra,MODIS,69,6.2,289.7,32.3,N,2
24.9153,51.5527,322.4,1.1,1,2000-11-10,1909,Terra,MODIS,100,6.2,290.7,23.8,N,2
25.2666,50.8057,316.3,1,1,2000-11-10,1909,Terra,MODIS,93,6.2,289.2,16.5,N,2
24.9187,51.5552,335.7,1,1,2000-11-12,1857,Terra,MODIS,100,6.2,292.2,39.5,N,2
25.2654,50.8042,314.4,1.1,1,2000-11-12,1857,Terra,MODIS,89,6.2,290.3,14.9,N,2
25.9052,51.5533,301,1,1,2000-11-12,1857,Terra,MODIS,36,6.2,290.4,4.4,N,0
25.2779,50.8023,312.5,4.1,1.9,2000-11-15,0652,Terra,MODIS,40,6.2,293.2,42.3,D,2
24.9174,51.5485,313,2.1,1.4,2000-11-15,1927,Terra,MODIS,86,6.2,289.7,36.2,N,2
25.2681,50.7999,306,1.8,1.3,2000-11-15,1927,Terra,MODIS,66,6.2,287.7,19.9,N,2
24.9232,51.5601,318.1,1,1,2000-11-16,0735,Terra,MODIS,0,6.2,299.3,7.9,D,2
24.9138,51.5501,320.7,2.3,1.5,2000-11-16,1832,Terra,MODIS,100,6.2,291.9,63.2,N,2
25.2623,50.8065,303.1,1.2,1.1,2000-11-17,1915,Terra,MODIS,48,6.2,284.2,6.9,N,2
25.272,50.8051,309.4,1.2,1.1,2000-11-17,1915,Terra,MODIS,77,6.2,284.9,12.2,N,2
24.923,51.555,315.2,1,1,2000-11-19,1903,Terra,MODIS,91,6.2,293.4,12.5,N,2
25.2685,50.8104,309.9,1,1,2000-11-19,1903,Terra,MODIS,79,6.2,291.3,9.5,N,2
25.2671,50.8005,307.2,1,1,2000-11-19,1903,Terra,MODIS,71,6.2,291,7.6,N,2
25.8786,51.5471,314.1,1,1,2000-11-19,1903,Terra,MODIS,84,6.2,290.4,12.2,N,0
25.8772,51.5372,317.6,1,1,2000-11-19,1903,Terra,MODIS,94,6.2,289.8,15.3,N,0
25.8876,51.5456,305.4,1,1,2000-11-19,1903,Terra,MODIS,30,6.2,290.7,6.4,N,0
25.8862,51.5356,305.4,1,1,2000-11-19,1903,Terra,MODIS,30,6.2,290,6.5,N,0
24.9237,51.5615,332.3,1.7,1.3,2000-11-21,0753,Terra,MODIS,0,6.2,296.5,51.7,D,2
24.9154,51.554,329.7,1.7,1.3,2000-11-21,0753,Terra,MODIS,0,6.2,296.3,43.3,D,2
24.9208,51.5576,330.6,1.2,1.1,2000-11-21,1850,Terra,MODIS,100,6.2,290.9,36.6,N,2
24.9322,51.5671,305.9,1.2,1.1,2000-11-21,1850,Terra,MODIS,66,6.2,289.3,9,N,0
24.9304,51.5557,302.3,1.2,1.1,2000-11-21,1850,Terra,MODIS,48,6.2,288.8,6.4,N,0
25.271,50.8097,304.2,1.3,1.1,2000-11-21,1850,Terra,MODIS,59,6.2,288.1,9.4,N,2
25.269,50.7975,300.2,1.3,1.1,2000-11-21,1850,Terra,MODIS,21,6.2,287.9,6.2,N,2
24.9052,51.5386,305.6,1.8,1.3,2000-11-23,1838,Terra,MODIS,65,6.2,287.6,18.5,N,2
24.915,51.5483,330.9,1.8,1.3,2000-11-23,1838,Terra,MODIS,100,6.2,288.8,74.2,N,2
25.2645,50.8079,301.7,2,1.4,2000-11-23,1838,Terra,MODIS,44,6.2,286.6,16.1,N,2
25.8794,51.5522,307.5,2.8,1.6,2000-11-25,1826,Terra,MODIS,55,6.2,283.2,41.4,N,0
25.8737,51.5246,309,2.8,1.6,2000-11-25,1826,Terra,MODIS,64,6.2,284.8,46.8,N,0
24.9209,51.5596,308.2,1.1,1,2000-11-26,1909,Terra,MODIS,26,6.2,291.3,9.1,N,2
25.2616,50.8041,303.6,1,1,2000-11-26,1909,Terra,MODIS,39,6.2,289.1,6.2,N,2
25.272,50.8128,302.3,1,1,2000-11-26,1909,Terra,MODIS,48,6.2,289.5,5.7,N,2
25.2707,50.8026,308.7,1,1,2000-11-26,1909,Terra,MODIS,75,6.2,289.6,9.8,N,2
24.9189,51.5547,324,1,1,2000-11-28,1856,Terra,MODIS,100,6.2,291.4,23.7,N,2
25.9052,51.5532,300.6,1,1,2000-11-28,1856,Terra,MODIS,29,6.2,289.8,4.1,N,0
24.9148,51.5511,307.6,1.4,1.2,2000-11-30,1844,Terra,MODIS,72,6.2,292.4,13.9,N,2
25.2687,50.8072,312.7,1.6,1.2,2000-11-30,1844,Terra,MODIS,85,6.2,290.2,24.5,N,2
25.9052,51.5502,304.4,1.4,1.2,2000-11-30,1844,Terra,MODIS,60,6.2,291.4,9.5,N,0
25.2673,50.8049,311.6,1.8,1.3,2000-12-01,1927,Terra,MODIS,79,6.2,289.9,27.3,N,2
25.2616,50.7999,301.4,1.8,1.3,2000-12-01,1927,Terra,MODIS,25,6.2,289.9,10.7,N,2
25.2735,50.7984,300.8,1.8,1.3,2000-12-01,1927,Terra,MODIS,22,6.2,290.2,10,N,2
24.9195,51.5531,303.4,2.3,1.5,2000-12-02,1831,Terra,MODIS,55,6.2,291.7,20.1,N,2
25.2661,50.7948,302.1,2.6,1.6,2000-12-02,1832,Terra,MODIS,20,6.2,289.1,22.2,N,2
25.282,50.8135,313.9,4.1,1.9,2000-12-03,0817,Terra,MODIS,38,6.2,293.4,44.2,D,2
25.277,50.8068,315.2,4.1,1.9,2000-12-03,0817,Terra,MODIS,48,6.2,293.5,58,D,2
25.141,50.8445,313.8,4.1,1.9,2000-12-03,0817,Terra,MODIS,58,6.2,296,46.7,D,2
25.1488,50.8368,309.7,1.2,1.1,2000-12-03,1914,Terra,MODIS,78,6.2,289.7,13.1,N,2
25.2268,50.8074,313,1.2,1.1,2000-12-03,1914,Terra,MODIS,86,6.2,289.6,16.1,N,0
25.2692,50.8065,301.7,1.2,1.1,2000-12-03,1914,Terra,MODIS,43,6.2,289.6,6.9,N,2
25.2885,50.8034,314,1.2,1.1,2000-12-03,1914,Terra,MODIS,88,6.2,290.2,16.7,N,2
25.2871,50.7918,330.4,1.2,1.1,2000-12-03,1914,Terra,MODIS,100,6.2,291,37.7,N,2
25.2851,50.7988,328.8,1.2,1.1,2000-12-04,0722,Terra,MODIS,81,6.2,297.5,28.2,D,2
24.9224,51.5445,307.8,3.9,1.8,2000-12-04,1819,Terra,MODIS,57,6.2,289.9,67.8,N,2
25.2875,50.7894,308,4.3,1.9,2000-12-04,1819,Terra,MODIS,58,6.2,289,75,N,2
25.3845,50.7857,306.1,3.9,1.8,2000-12-06,1945,Terra,MODIS,67,6.2,287.8,61.6,N,0
24.922,51.5603,332.9,1.7,1.3,2000-12-07,0753,Terra,MODIS,0,6.2,301,51.5,D,2
24.9147,51.5534,320.9,1.2,1.1,2000-12-07,1850,Terra,MODIS,100,6.2,289.4,25.6,N,2
25.2653,50.8074,307.7,1.3,1.1,2000-12-07,1850,Terra,MODIS,72,6.2,286.8,14.2,N,2
25.2706,50.7986,302.3,3.3,1.7,2000-12-11,1825,Terra,MODIS,48,6.2,284.9,43.1,N,2
25.2659,50.805,315.9,1,1,2000-12-12,1908,Terra,MODIS,92,6.2,284.5,17.4,N,2
24.9306,51.5044,312.4,1.3,1.1,2000-12-13,0716,Terra,MODIS,62,6.2,298.2,8.3,D,0
24.9238,51.5558,316,1.4,1.2,2000-12-16,1844,Terra,MODIS,92,6.2,283.8,28.9,N,2
25.2655,50.8036,302.8,1.6,1.2,2000-12-16,1844,Terra,MODIS,52,6.2,283.2,14.7,N,2
25.301,50.8117,302,1.6,1.2,2000-12-16,1844,Terra,MODIS,46,6.2,283.1,14.1,N,2
24.9192,51.5579,313.4,2.1,1.4,2000-12-17,1927,Terra,MODIS,87,6.2,286.4,41.9,N,2
24.9326,51.5642,330.1,1.3,1.1,2000-12-19,1914,Terra,MODIS,100,6.2,286.3,45.3,N,0
25.2677,50.8106,301.2,1.2,1.1,2000-12-19,1914,Terra,MODIS,38,6.2,283.5,8.9,N,2
24.9308,51.565,319.1,1.1,1,2000-12-20,0722,Terra,MODIS,43,6.2,295.7,13,D,0
24.9309,51.5625,304.4,1,1,2000-12-21,1902,Terra,MODIS,43,6.2,271.9,8.2,N,0
25.2663,50.8101,307.4,1,1,2000-12-21,1902,Terra,MODIS,71,6.2,285.8,9.6,N,2
25.2649,50.8002,301.9,1,1,2000-12-21,1902,Terra,MODIS,45,6.2,285.7,6.1,N,2
25.2752,50.8085,308.7,1,1,2000-12-21,1902,Terra,MODIS,75,6.2,286.2,10.2,N,2
24.9179,51.5522,317.2,1.2,1.1,2000-12-23,1850,Terra,MODIS,95,6.2,289.3,21,N,2
24.9292,51.5617,310.9,1.2,1.1,2000-12-23,1850,Terra,MODIS,81,6.2,289.9,14.5,N,0
25.2692,50.8054,320.9,1.3,1.1,2000-12-23,1850,Terra,MODIS,100,6.2,288.1,28.8,N,2
