latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.6214,126.6043,303.9,1.4,1.2,2000-11-02,0223,Terra,MODIS,54,6.2,291.9,6.5,D,0
37.6166,126.5967,303.4,1.4,1.2,2000-11-02,0223,Terra,MODIS,54,6.2,291.9,5.5,D,0
37.4893,126.6342,304.7,1.4,1.2,2000-11-02,0223,Terra,MODIS,0,6.2,293.2,6,D,0
37.26,127.5069,303.8,1.2,1.1,2000-11-02,0223,Terra,MODIS,57,6.2,292.1,5.2,D,0
36.9987,127.2201,303.1,1.3,1.1,2000-11-02,0223,Terra,MODIS,55,6.2,292.3,4.8,D,0
37.6292,126.6956,301.8,1.2,1.1,2000-11-05,0254,Terra,MODIS,49,6.2,290.8,4.5,D,0
37.6742,126.4512,304.1,1,1,2000-11-07,0241,Terra,MODIS,58,6.2,285.1,6.7,D,0
37.4897,126.6395,301.8,1,1,2000-11-07,0241,Terra,MODIS,43,6.2,289.7,3.9,D,0
37.3092,126.9842,300.5,1,1,2000-11-07,0241,Terra,MODIS,37,6.2,288.3,3.9,D,0
37.3546,127.4419,334.2,1,1,2000-11-07,1345,Terra,MODIS,100,6.2,275.4,40.4,N,0
38.4908,128.2838,345.8,1,1,2000-11-07,1345,Terra,MODIS,100,6.2,275.9,58.7,N,0
37.4821,129.0534,304.3,1,1,2000-11-09,0229,Terra,MODIS,59,6.2,288.2,7.4,D,0
35.5112,126.5201,302.9,1.1,1.1,2000-11-09,0230,Terra,MODIS,51,6.2,286.1,6.8,D,0
35.2568,126.8563,301,1.1,1,2000-11-09,0230,Terra,MODIS,44,6.2,287.1,4.4,D,0
35.2553,126.8682,303.1,1.1,1,2000-11-09,0230,Terra,MODIS,55,6.2,288.1,5.6,D,0
34.7477,126.5298,305.2,1.1,1,2000-11-09,0230,Terra,MODIS,58,6.2,288.3,7.9,D,0
36.004,129.3864,301.6,1,1,2000-11-25,0229,Terra,MODIS,36,6.2,290.2,4.1,D,0
35.2482,128.1615,303.7,1,1,2000-11-25,0229,Terra,MODIS,57,6.2,286.8,6.6,D,0
36.003,129.3869,300,1.2,1.1,2000-12-09,0241,Terra,MODIS,7,6.2,288.7,5.1,D,0
