latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.0185,49.57,328.1,3,1.7,2000-11-01,0817,Terra,MODIS,75,6.2,304.7,66.7,D,2
27.0187,49.5648,327.8,3,1.7,2000-11-01,0817,Terra,MODIS,74,6.2,304.7,62.8,D,2
27.0628,49.5804,306.7,4.7,2,2000-11-02,1821,Terra,MODIS,48,6.2,289.9,73.5,N,0
27.0621,49.574,308.8,4.7,2,2000-11-02,1821,Terra,MODIS,63,6.2,289.7,87.8,N,0
25.6332,49.3908,310.3,1.1,1,2000-11-03,1903,Terra,MODIS,80,6.2,292.6,10.9,N,2
25.9216,49.4664,302,1.1,1,2000-11-03,1903,Terra,MODIS,46,6.2,291.6,5.8,N,0
27.017,49.5746,306.5,1,1,2000-11-03,1903,Terra,MODIS,68,6.2,295,6.4,N,2
25.6305,49.3886,307.3,1.5,1.2,2000-11-05,1851,Terra,MODIS,71,6.2,289.6,16,N,2
27.3224,49.0636,313.8,1.5,1.2,2000-11-05,1851,Terra,MODIS,88,6.2,287.6,25.4,N,0
24.5011,49.0994,308.6,1.7,1.3,2000-11-06,1933,Terra,MODIS,75,6.2,280.6,25.3,N,0
25.642,49.3853,305.9,1.9,1.3,2000-11-06,1934,Terra,MODIS,66,6.2,287,23.2,N,2
25.6336,49.391,323.5,1,1,2000-11-07,0741,Terra,MODIS,70,6.2,302.4,12.4,D,2
25.6383,49.3876,300,2.5,1.5,2000-11-07,1839,Terra,MODIS,10,6.2,286.3,22.3,N,2
27.0237,49.6101,308.6,2.4,1.5,2000-11-10,0811,Terra,MODIS,41,6.2,293.8,13.6,D,2
25.6329,49.3925,308.6,2.5,1.5,2000-11-10,0812,Terra,MODIS,30,6.2,293.1,18.1,D,2
21.4174,39.368,326,1,1,2000-11-10,0813,Terra,MODIS,71,6.2,311.5,6.2,D,0
24.5222,49.1024,324.6,1,1,2000-11-10,1909,Terra,MODIS,100,6.2,285.4,25.5,N,0
24.5208,49.0926,321,1,1,2000-11-10,1909,Terra,MODIS,100,6.2,285.1,21.7,N,0
24.6659,49.141,308.3,1,1,2000-11-10,1909,Terra,MODIS,74,6.2,284.5,11.1,N,0
25.6322,49.3918,315.2,1,1,2000-11-10,1909,Terra,MODIS,91,6.2,288.1,15.7,N,2
