latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.3576,-13.4721,338.1,1.1,1,2000-11-01,1139,Terra,MODIS,82,6.2,306.8,25.8,D,0
15.3562,-13.4622,344.2,1.1,1,2000-11-01,1139,Terra,MODIS,90,6.2,308.9,37.1,D,0
15.3511,-13.4932,332.6,1.1,1,2000-11-01,1139,Terra,MODIS,80,6.2,306.5,19.4,D,0
15.3497,-13.4833,362.4,1.1,1,2000-11-01,1139,Terra,MODIS,100,6.2,310.6,85.6,D,0
15.3483,-13.4734,348.8,1.1,1,2000-11-01,1139,Terra,MODIS,93,6.2,310.5,46.6,D,0
15.3469,-13.4635,334.1,1.1,1,2000-11-01,1139,Terra,MODIS,63,6.2,309.8,18.4,D,0
15.3418,-13.4946,333.3,1.1,1,2000-11-01,1139,Terra,MODIS,73,6.2,308,19.9,D,0
15.3404,-13.4846,345.7,1.1,1,2000-11-01,1139,Terra,MODIS,91,6.2,309.1,41.1,D,0
15.3312,-13.486,332,1.1,1,2000-11-01,1139,Terra,MODIS,67,6.2,309.7,15.5,D,0
15.1055,-13.8447,335.9,1.1,1,2000-11-01,1139,Terra,MODIS,84,6.2,308.6,26.7,D,0
15.1041,-13.8346,333.6,1.1,1,2000-11-01,1139,Terra,MODIS,81,6.2,309.1,22.8,D,0
14.8642,-12.6598,328.3,1,1,2000-11-01,1139,Terra,MODIS,63,6.2,299.9,17.4,D,0
14.8628,-12.6505,367.5,1,1,2000-11-01,1139,Terra,MODIS,100,6.2,305.4,99.4,D,0
14.8615,-12.6411,348.5,1,1,2000-11-01,1139,Terra,MODIS,94,6.2,306.3,47,D,0
14.8601,-12.6318,334.1,1,1,2000-11-01,1139,Terra,MODIS,81,6.2,307.1,21.6,D,0
14.8551,-12.6612,362.2,1,1,2000-11-01,1139,Terra,MODIS,100,6.2,305,84.3,D,0
14.8538,-12.6518,338.9,1,1,2000-11-01,1139,Terra,MODIS,87,6.2,304.7,32,D,0
14.8461,-12.6625,344.2,1,1,2000-11-01,1139,Terra,MODIS,91,6.2,301.9,42.8,D,0
14.8448,-12.6532,355.8,1,1,2000-11-01,1139,Terra,MODIS,98,6.2,301.4,67.1,D,0
14.8434,-12.6438,369.6,1,1,2000-11-01,1139,Terra,MODIS,100,6.2,302.1,104.8,D,0
14.8421,-12.6345,340.7,1,1,2000-11-01,1139,Terra,MODIS,87,6.2,300.6,32.4,D,0
14.8088,-12.6585,328.1,1,1,2000-11-01,1139,Terra,MODIS,60,6.2,296.9,17.4,D,0
14.8074,-12.6492,327.7,1,1,2000-11-01,1139,Terra,MODIS,57,6.2,297.3,15.6,D,0
14.8011,-12.6691,350,1,1,2000-11-01,1139,Terra,MODIS,95,6.2,298,53.8,D,0
14.7997,-12.6598,345.1,1,1,2000-11-01,1139,Terra,MODIS,92,6.2,301.3,42.8,D,0
14.529,-12.6334,324.6,1,1,2000-11-01,1139,Terra,MODIS,63,6.2,290.4,16.2,D,0
14.5277,-12.6241,326.5,1,1,2000-11-01,1139,Terra,MODIS,69,6.2,292.8,17,D,0
13.9677,-13.6662,329.2,1.1,1,2000-11-01,1139,Terra,MODIS,61,6.2,294.5,24.5,D,0
13.5848,-13.8963,321,1.1,1,2000-11-01,1139,Terra,MODIS,71,6.2,303.4,9.3,D,0
13.3032,-12.0631,310.8,1,1,2000-11-01,1139,Terra,MODIS,59,6.2,283.2,10.8,D,0
13.1328,-12.1572,313.6,1,1,2000-11-01,1139,Terra,MODIS,67,6.2,284.6,11.2,D,0
