latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.969,36.1149,321.2,1,1,2000-11-01,0822,Terra,MODIS,61,6.2,306.6,7.9,D,0
12.9096,36.0808,320.8,1,1,2000-11-01,0822,Terra,MODIS,26,6.2,305.1,6.7,D,0
13.1118,34.5646,333.3,1.2,1.1,2000-11-01,0822,Terra,MODIS,73,6.2,309.3,21.7,D,0
13.1103,34.5754,326.2,1.2,1.1,2000-11-01,0822,Terra,MODIS,35,6.2,308.3,10,D,0
12.9113,36.0042,327.9,1,1,2000-11-01,0822,Terra,MODIS,60,6.2,310.3,12.1,D,0
12.9006,36.0794,322.3,1,1,2000-11-01,0822,Terra,MODIS,33,6.2,304.5,8,D,0
12.8992,36.0888,355.6,1,1,2000-11-01,0822,Terra,MODIS,97,6.2,306.3,64.2,D,0
12.8979,36.0982,348.7,1,1,2000-11-01,0822,Terra,MODIS,94,6.2,307.8,47.3,D,0
12.8902,36.0874,341.4,1,1,2000-11-01,0822,Terra,MODIS,89,6.2,305.3,33.4,D,0
12.8889,36.0968,332.1,1,1,2000-11-01,0822,Terra,MODIS,80,6.2,307.9,17.8,D,0
12.8452,36.0173,326.1,1,1,2000-11-01,0822,Terra,MODIS,52,6.2,305.4,11.6,D,0
12.9043,35.0869,331.2,1.1,1.1,2000-11-01,0822,Terra,MODIS,72,6.2,306.1,16.5,D,0
12.9028,35.097,328.3,1.1,1,2000-11-01,0822,Terra,MODIS,57,6.2,306,12.1,D,0
12.91,34.48,362.9,1.2,1.1,2000-11-01,0822,Terra,MODIS,100,6.2,310.9,96,D,0
12.9085,34.4909,343.1,1.2,1.1,2000-11-01,0822,Terra,MODIS,87,6.2,312.8,37.3,D,0
12.9079,34.4737,337.6,1.2,1.1,2000-11-01,0822,Terra,MODIS,81,6.2,308.7,26.8,D,0
12.9064,34.4845,354.9,1.2,1.1,2000-11-01,0822,Terra,MODIS,96,6.2,312.1,69.1,D,0
12.8287,34.3115,342.6,1.2,1.1,2000-11-01,0822,Terra,MODIS,87,6.2,311.1,35.8,D,0
12.8137,34.2756,342.8,1.2,1.1,2000-11-01,0822,Terra,MODIS,87,6.2,309.9,33.8,D,0
12.8122,34.2867,338.1,1.2,1.1,2000-11-01,0822,Terra,MODIS,82,6.2,310.1,24.3,D,0
12.6215,35.5185,327.5,1.1,1,2000-11-01,0822,Terra,MODIS,25,6.2,307.7,10.3,D,0
