latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.5444,120.3546,319.3,1.1,1.1,2000-11-12,0304,Terra,MODIS,58,6.2,298.5,10,D,0
22.5431,120.3569,316.3,1,1,2000-11-14,0252,Terra,MODIS,55,6.2,298.5,5.1,D,0
24.3027,121.4149,302.1,1.2,1.1,2000-11-16,0239,Terra,MODIS,31,6.2,290.1,6.7,D,0
22.5467,120.3516,303.8,1,1,2000-11-24,1424,Terra,MODIS,13,6.2,293.6,5.6,N,0
24.3287,120.742,308.6,1.1,1.1,2000-11-28,0303,Terra,MODIS,52,6.2,297.1,5.3,D,0
22.5416,120.3549,314.3,1.4,1.2,2000-12-02,0239,Terra,MODIS,36,6.2,298.7,8.8,D,0
23.8157,120.2786,302,1.1,1.1,2000-12-03,1417,Terra,MODIS,46,6.2,287.4,7.4,N,0
23.6072,120.435,311.4,1.3,1.1,2000-12-05,0309,Terra,MODIS,66,6.2,297.8,6.5,D,0
24.3495,120.9367,306.2,1,1,2000-12-07,0256,Terra,MODIS,49,6.2,295.6,4.7,D,0
24.348,120.9464,315.9,1,1,2000-12-07,0256,Terra,MODIS,76,6.2,293.4,11.9,D,0
24.0371,120.58,307.6,2.7,1.6,2000-12-10,0327,Terra,MODIS,53,6.2,292.3,18.8,D,0
22.5394,120.3483,312.6,1,1,2000-12-16,0251,Terra,MODIS,0,6.2,294.8,5.2,D,0
23.6025,120.4696,306,1,1,2000-12-23,0257,Terra,MODIS,63,6.2,294.5,3.7,D,0
22.7633,120.5273,317.5,1,1,2000-12-23,0257,Terra,MODIS,68,6.2,292.8,13.1,D,0
22.9958,120.273,316,1.1,1.1,2000-12-24,1436,Terra,MODIS,92,6.2,289.8,17.6,N,0
22.9945,120.2622,322.1,1.1,1.1,2000-12-24,1436,Terra,MODIS,100,6.2,290.1,24.2,N,0
23.0053,120.2715,302.8,1.1,1.1,2000-12-24,1436,Terra,MODIS,51,6.2,289.6,7.3,N,0
23.0039,120.2607,303.7,1.1,1.1,2000-12-24,1436,Terra,MODIS,57,6.2,289.8,7.9,N,0
23.4643,120.7613,303.1,1.1,1,2000-12-25,0245,Terra,MODIS,55,6.2,292.1,5.8,D,0
24.4527,118.4398,319.5,1,1,2000-12-30,0303,Terra,MODIS,75,6.2,291.3,16,D,0
24.4513,118.4495,304.2,1,1,2000-12-30,0303,Terra,MODIS,44,6.2,291.4,4.4,D,0
23.4879,120.2462,303.4,1.4,1.2,2000-12-31,1442,Terra,MODIS,55,6.2,284.4,12.7,N,0
