latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.8012,64.6381,308,1.2,1.1,2000-11-01,0636,Terra,MODIS,52,6.2,293.9,4.7,D,2
42.932,58.6721,314.8,1,1,2000-11-02,0718,Terra,MODIS,75,6.2,288.7,13,D,0
42.7596,58.8394,302.4,1,1,2000-11-02,0718,Terra,MODIS,45,6.2,287.8,5.2,D,0
40.4059,63.551,325.8,1.5,1.2,2000-11-02,0718,Terra,MODIS,62,6.2,291.1,41.2,D,0
40.4004,63.5608,330.6,1.5,1.2,2000-11-02,0718,Terra,MODIS,81,6.2,291.2,52.1,D,0
40.3931,63.5402,403.5,1.5,1.2,2000-11-02,0718,Terra,MODIS,75,6.2,296.5,493.8,D,0
40.3898,63.5573,355.8,1.5,1.2,2000-11-02,0718,Terra,MODIS,92,6.2,292.1,136.4,D,0
39.1632,65.3049,311,2,1.4,2000-11-02,0719,Terra,MODIS,60,6.2,297.9,16,D,0
38.9361,64.8089,318.7,1.9,1.3,2000-11-02,0719,Terra,MODIS,74,6.2,298.1,27.3,D,2
38.9434,64.806,314.4,1.9,1.3,2000-11-02,0719,Terra,MODIS,68,6.2,297.7,17.2,D,2
38.7292,64.955,314,2,1.4,2000-11-02,0719,Terra,MODIS,66,6.2,297.7,17.8,D,0
38.7246,64.9767,323.6,2,1.4,2000-11-02,0719,Terra,MODIS,79,6.2,298.2,41.9,D,0
38.7215,64.9701,325.1,2,1.4,2000-11-02,0719,Terra,MODIS,80,6.2,297.9,43.4,D,0
38.9423,64.7969,311.5,1.8,1.3,2000-11-03,0624,Terra,MODIS,60,6.2,297,11,D,2
38.9405,64.8174,311.9,1.8,1.3,2000-11-03,0624,Terra,MODIS,63,6.2,297,11.5,D,2
38.934,64.8096,315,1.8,1.3,2000-11-03,0624,Terra,MODIS,69,6.2,297.2,17.2,D,2
40.8603,69.5419,308.8,1.1,1,2000-11-03,1728,Terra,MODIS,76,6.2,280.4,13.7,N,0
43.1125,60.4622,300.8,1,1,2000-11-04,0706,Terra,MODIS,42,6.2,288.8,4.1,D,0
43.1108,60.4747,302.3,1,1,2000-11-04,0706,Terra,MODIS,52,6.2,288.2,5.1,D,0
43.1022,60.2706,302,1,1,2000-11-04,0706,Terra,MODIS,50,6.2,289.3,4,D,0
43.1834,59.1817,337.6,1.1,1.1,2000-11-04,0706,Terra,MODIS,91,6.2,289.9,46.5,D,0
43.1817,59.1954,304.5,1.1,1.1,2000-11-04,0706,Terra,MODIS,59,6.2,289.2,6.5,D,0
43.0058,58.8902,301,1.1,1.1,2000-11-04,0706,Terra,MODIS,43,6.2,282.3,6,D,0
43.0011,58.8974,304.2,1.1,1.1,2000-11-04,0706,Terra,MODIS,58,6.2,282,8.1,D,0
42.9543,58.7156,300.1,1.2,1.1,2000-11-04,0706,Terra,MODIS,25,6.2,287.8,4.1,D,0
42.6461,59.2328,323.7,1.1,1,2000-11-04,0706,Terra,MODIS,83,6.2,287.6,24.8,D,0
42.6368,59.2307,304.5,1.1,1,2000-11-04,0706,Terra,MODIS,18,6.2,286.7,5.9,D,0
38.9435,64.8048,316.9,1.2,1.1,2000-11-04,1811,Terra,MODIS,94,6.2,279.6,25.2,N,2
38.9393,64.8076,312.6,2.8,1.6,2000-11-05,0611,Terra,MODIS,71,6.2,293.7,33.1,D,2
38.9367,64.8001,309.6,2.8,1.6,2000-11-05,0611,Terra,MODIS,65,6.2,293.7,23.5,D,2
42.732,58.8608,303,1.9,1.4,2000-11-05,0749,Terra,MODIS,47,6.2,287.9,14.2,D,0
42.7271,58.8835,300.3,1.9,1.4,2000-11-05,0749,Terra,MODIS,35,6.2,287.9,10.5,D,0
43.6446,59.1647,311.8,1.6,1.2,2000-11-06,0653,Terra,MODIS,62,6.2,282.2,24,D,0
43.6428,59.1838,302,1.5,1.2,2000-11-06,0653,Terra,MODIS,43,6.2,281.5,12,D,0
42.8526,59.1279,303,1.5,1.2,2000-11-06,0653,Terra,MODIS,54,6.2,283.5,12,D,0
39.3167,64.7474,308.7,1,1,2000-11-06,0654,Terra,MODIS,48,6.2,294.6,4.7,D,0
39.3149,64.759,328.5,1,1,2000-11-06,0654,Terra,MODIS,84,6.2,294,23.6,D,0
38.937,64.8068,326.3,1,1,2000-11-06,0654,Terra,MODIS,83,6.2,296.1,20.1,D,2
38.7966,64.6392,315.4,1,1,2000-11-06,0654,Terra,MODIS,74,6.2,294.4,8.8,D,2
38.7948,64.6507,311.6,1,1,2000-11-06,0654,Terra,MODIS,69,6.2,294.8,5.6,D,2
43.2029,59.1707,301.5,2.3,1.5,2000-11-08,0641,Terra,MODIS,48,6.2,275.2,25.8,D,0
42.9211,58.7427,311.2,2.4,1.5,2000-11-08,0641,Terra,MODIS,71,6.2,275.8,49.8,D,0
38.9437,64.8074,309.1,1.1,1,2000-11-08,0642,Terra,MODIS,55,6.2,282.9,10.1,D,2
38.9345,64.8055,314.7,1.1,1,2000-11-08,0642,Terra,MODIS,75,6.2,282.6,15,D,2
38.8006,64.6398,302,1.1,1,2000-11-08,0642,Terra,MODIS,50,6.2,285.2,5.6,D,2
38.9365,64.8035,317.9,1.1,1.1,2000-11-08,1746,Terra,MODIS,96,6.2,275.5,23.9,N,2
38.9426,64.8092,301.9,1.1,1.1,2000-11-08,1746,Terra,MODIS,45,6.2,274.7,11.5,N,2
38.9405,64.7965,302.6,1.1,1.1,2000-11-08,1746,Terra,MODIS,50,6.2,274.6,12,N,2
43.8143,58.9549,311.2,1,1,2000-11-09,0724,Terra,MODIS,54,6.2,275.1,14.8,D,0
39.4976,64.7079,301.8,2.3,1.5,2000-11-09,0725,Terra,MODIS,49,6.2,285.1,14.6,D,2
39.4999,64.7033,302.8,2.3,1.5,2000-11-09,0725,Terra,MODIS,54,6.2,285.1,15.6,D,2
40.1742,62.9124,305.2,1.9,1.4,2000-11-10,0629,Terra,MODIS,61,6.2,290.3,10.9,D,0
