latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.6437,107.296,312.5,1.9,1.3,2000-11-01,0323,Terra,MODIS,71,6.2,296.9,23.9,D,0
21.5651,107.7963,310.9,1.7,1.3,2000-11-01,0323,Terra,MODIS,67,6.2,296.4,15.5,D,0
21.5632,107.8131,321.2,1.7,1.3,2000-11-01,0323,Terra,MODIS,79,6.2,296.5,34.8,D,0
21.6394,107.2884,312.2,1.9,1.3,2000-11-01,0323,Terra,MODIS,63,6.2,295.9,22,D,0
21.5672,107.8067,327.8,1.7,1.3,2000-11-01,0323,Terra,MODIS,84,6.2,297.2,51.7,D,0
19.5292,104.8841,309.6,1.2,1.1,2000-11-02,0406,Terra,MODIS,69,6.2,295.3,10.8,D,0
14.8794,107.7098,303.5,2.3,1.5,2000-11-02,0408,Terra,MODIS,39,6.2,291.9,12.7,D,0
14.8823,107.7037,308.2,2.3,1.5,2000-11-02,0408,Terra,MODIS,62,6.2,292.4,22.3,D,0
13.826,109.2778,312.4,1.6,1.3,2000-11-02,1459,Terra,MODIS,85,6.2,286.8,24.5,N,0
10.5981,107.0387,306.9,1.3,1.1,2000-11-03,1541,Terra,MODIS,70,6.2,289,9.1,N,0
22.8248,105.3068,310.7,1,1,2000-11-04,0353,Terra,MODIS,67,6.2,294.8,8.2,D,0
22.4095,102.8972,316.4,1.2,1.1,2000-11-04,0354,Terra,MODIS,76,6.2,294.2,17.1,D,0
21.82,106.9649,315.4,1,1,2000-11-04,0354,Terra,MODIS,68,6.2,297.2,12.4,D,0
22.0936,105.0779,309.2,1,1,2000-11-04,0354,Terra,MODIS,65,6.2,297,6.2,D,0
21.5547,107.7782,312.1,1.1,1.1,2000-11-04,0354,Terra,MODIS,67,6.2,298.6,8.8,D,0
21.5789,107.2637,311.2,1.1,1,2000-11-04,0354,Terra,MODIS,66,6.2,295.2,8.7,D,0
22.0218,104.0214,306.6,1.1,1,2000-11-04,0354,Terra,MODIS,54,6.2,292.7,6.8,D,0
21.4241,104.8022,312.4,1,1,2000-11-04,0354,Terra,MODIS,68,6.2,297.3,7.4,D,0
21.4151,104.8007,325.5,1,1,2000-11-04,0354,Terra,MODIS,82,6.2,297.8,20,D,0
21.4137,104.8103,311.3,1,1,2000-11-04,0354,Terra,MODIS,66,6.2,297.8,6.6,D,0
21.2413,104.5342,306.8,1,1,2000-11-04,0354,Terra,MODIS,51,6.2,296,4.9,D,0
16.0586,108.0172,311,1.4,1.2,2000-11-04,0355,Terra,MODIS,67,6.2,294.4,12.8,D,0
21.5493,107.7722,302.9,2.5,1.5,2000-11-04,1449,Terra,MODIS,52,6.2,286.8,27.7,N,0
21.8468,103.8009,302.8,3.2,1.7,2000-11-05,0436,Terra,MODIS,54,6.2,292.5,19.1,D,0
21.8402,103.8334,308.8,3.2,1.7,2000-11-05,0436,Terra,MODIS,68,6.2,292.9,40.4,D,0
22.9974,105.6103,308.6,1.3,1.1,2000-11-06,0341,Terra,MODIS,61,6.2,294.5,8.7,D,0
21.8758,103.9938,311.3,1.5,1.2,2000-11-06,0341,Terra,MODIS,60,6.2,300.7,11.7,D,0
21.9822,102.6573,304.8,1.9,1.4,2000-11-06,0341,Terra,MODIS,57,6.2,292.9,11.5,D,0
21.5342,104.9412,308,1.3,1.1,2000-11-06,0342,Terra,MODIS,57,6.2,294.9,7.4,D,0
11.2415,106.5921,313.6,1,1,2000-11-06,0344,Terra,MODIS,54,6.2,299.8,6,D,0
11.2402,106.6012,315.8,1,1,2000-11-06,0344,Terra,MODIS,66,6.2,299.5,7.7,D,0
21.5821,103.2979,308.2,1.8,1.3,2000-11-07,0424,Terra,MODIS,64,6.2,295.7,11,D,0
16.686,107.4382,309.1,4.5,2,2000-11-07,0425,Terra,MODIS,0,6.2,296.4,43.1,D,0
16.3492,107.4297,312,1.2,1.1,2000-11-08,0331,Terra,MODIS,65,6.2,300.5,8.5,D,0
14.0636,108.4761,321.3,1.1,1,2000-11-08,0331,Terra,MODIS,76,6.2,296.6,18.1,D,0
22.3978,105.6482,304.3,1.1,1,2000-11-11,0400,Terra,MODIS,42,6.2,290.3,4.2,D,0
22.4464,104.9189,307,1,1,2000-11-11,0400,Terra,MODIS,59,6.2,293.6,4.4,D,0
21.3173,105.7719,308.8,1.1,1,2000-11-11,0400,Terra,MODIS,51,6.2,295.6,5.1,D,0
21.0983,106.6856,307.5,1.2,1.1,2000-11-11,0400,Terra,MODIS,19,6.2,293.8,5,D,0
11.5155,106.1094,312.5,1.6,1.2,2000-11-11,0403,Terra,MODIS,55,6.2,292.6,7.6,D,0
11.5132,106.1235,313.2,1.6,1.2,2000-11-11,0403,Terra,MODIS,61,6.2,292.1,8.8,D,0
11.512,106.1175,317.8,1.6,1.2,2000-11-11,0403,Terra,MODIS,70,6.2,291.7,15.2,D,0
21.0502,106.9841,308.9,1,1,2000-11-13,0348,Terra,MODIS,60,6.2,292,7.2,D,0
11.6166,106.4961,338.2,1.1,1,2000-11-13,0350,Terra,MODIS,89,6.2,298.3,36.7,D,0
11.6151,106.5059,319.4,1.1,1,2000-11-13,0350,Terra,MODIS,72,6.2,296.9,10.4,D,0
21.6345,107.0982,305.8,2.6,1.5,2000-11-16,0418,Terra,MODIS,57,6.2,291.1,20.2,D,0
21.7581,102.9974,308.5,1.3,1.1,2000-11-16,0418,Terra,MODIS,65,6.2,294.7,9.2,D,0
21.7067,107.2816,302.4,1.1,1,2000-11-20,0353,Terra,MODIS,52,6.2,291,5.1,D,0
21.5841,107.7729,304.3,1.1,1.1,2000-11-20,0354,Terra,MODIS,59,6.2,291,6.2,D,0
21.5324,106.7463,305.7,1,1,2000-11-20,0354,Terra,MODIS,62,6.2,290.7,6.5,D,0
21.3747,107.1045,307.5,1.1,1,2000-11-20,0354,Terra,MODIS,64,6.2,291.3,7.8,D,0
