latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.5825,45.7971,300.4,1,1,2000-11-06,1931,Terra,MODIS,26,6.2,288,5.2,N,0
14.5253,42.9667,311.4,1,1,2000-11-12,0803,Terra,MODIS,41,6.2,296.5,6.3,D,3
15.614,45.9808,339.8,1,1,2000-11-14,0750,Terra,MODIS,85,6.2,312.8,24.6,D,0
15.5442,45.9539,327,1,1,2000-11-14,0750,Terra,MODIS,68,6.2,309.6,7.4,D,0
15.2146,45.8851,300.2,1,1,2000-11-15,1925,Terra,MODIS,23,6.2,289.3,6.1,N,0
12.1191,53.2827,310.3,1.9,1.3,2000-11-16,0739,Terra,MODIS,36,6.2,299.7,17,D,3
15.5371,45.9485,309.4,2.5,1.5,2000-11-19,1900,Terra,MODIS,77,6.2,288,44.4,N,0
15.24,45.8221,303.4,1,1,2000-11-22,1931,Terra,MODIS,55,6.2,289.8,7.5,N,2
15.5439,45.955,303.6,1,1,2000-11-22,1931,Terra,MODIS,56,6.2,289.5,7.4,N,0
15.2334,45.82,303.4,1.2,1.1,2000-11-24,1918,Terra,MODIS,55,6.2,288,10.8,N,2
15.9142,48.928,302.4,1.6,1.3,2000-11-29,1937,Terra,MODIS,49,6.2,289.2,11,N,0
15.5412,45.957,301.5,1.3,1.1,2000-12-06,1942,Terra,MODIS,42,6.2,288.6,9.4,N,0
15.5393,45.9564,321.5,1.2,1.1,2000-12-18,0737,Terra,MODIS,66,6.2,305.3,7.3,D,0
15.5685,45.8042,301,1,1,2000-12-24,1930,Terra,MODIS,23,6.2,287.2,6.1,N,0
15.5672,45.795,314.9,1,1,2000-12-24,1930,Terra,MODIS,90,6.2,288.9,15.4,N,0
15.5774,45.797,305.9,1,1,2000-12-24,1930,Terra,MODIS,66,6.2,287.1,9.9,N,0
15.5429,45.9558,329.7,1,1,2000-12-25,0743,Terra,MODIS,73,6.2,314.4,10.4,D,0
15.5461,45.9517,304.5,1.2,1.1,2000-12-26,1918,Terra,MODIS,60,6.2,286.3,11.3,N,0
