latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.6629,6.0471,307.5,2.8,1.6,2000-11-01,2234,Terra,MODIS,72,6.2,286.8,47.7,N,2
31.6669,6.0703,300.7,2.9,1.6,2000-11-01,2234,Terra,MODIS,32,6.2,286.4,29.3,N,2
31.6648,6.0402,303.6,2.8,1.6,2000-11-01,2234,Terra,MODIS,56,6.2,286.6,37,N,2
31.7994,6.0517,304.2,2.9,1.6,2000-11-01,2234,Terra,MODIS,59,6.2,286,39.6,N,2
36.8328,7.3122,307.8,1,1,2000-11-02,1037,Terra,MODIS,61,6.2,297.2,4,D,0
36.8765,6.9436,316.5,1,1,2000-11-02,1037,Terra,MODIS,65,6.2,295.6,12.3,D,2
36.8749,6.9548,305,1,1,2000-11-02,1037,Terra,MODIS,51,6.2,294.8,3.7,D,2
35.8085,-0.2534,306.7,2.1,1.4,2000-11-02,1038,Terra,MODIS,0,6.2,291.5,13.3,D,2
28.1376,9.8088,307.1,1.1,1,2000-11-02,2138,Terra,MODIS,70,6.2,288.2,11.4,N,0
28.2978,9.6512,301.7,1.1,1,2000-11-02,2138,Terra,MODIS,43,6.2,286.1,7.9,N,0
29.7477,6.7415,311.4,1.5,1.2,2000-11-02,2139,Terra,MODIS,82,6.2,289.4,21.7,N,2
29.7541,6.749,308.3,1.5,1.2,2000-11-02,2139,Terra,MODIS,74,6.2,289.2,18.1,N,2
29.7514,6.7342,306.5,1.5,1.2,2000-11-02,2139,Terra,MODIS,68,6.2,289.4,16,N,2
30.4118,6.5474,307.7,1.5,1.2,2000-11-02,2139,Terra,MODIS,72,6.2,288.5,17.2,N,2
30.4091,6.5326,318.2,1.5,1.2,2000-11-02,2139,Terra,MODIS,96,6.2,289.2,31.4,N,2
31.2309,8.5693,306,1.1,1.1,2000-11-02,2139,Terra,MODIS,66,6.2,287.5,11.5,N,2
31.2291,8.5578,303.6,1.1,1.1,2000-11-02,2139,Terra,MODIS,56,6.2,287.2,9.7,N,2
30.9763,5.7649,308.9,1.6,1.2,2000-11-02,2139,Terra,MODIS,76,6.2,288.1,21.4,N,2
30.9733,5.7487,306.5,1.6,1.2,2000-11-02,2139,Terra,MODIS,68,6.2,288.2,18.3,N,0
30.9766,5.7592,312.6,1.6,1.2,2000-11-02,2139,Terra,MODIS,85,6.2,288.3,26.7,N,2
31.3898,6.9453,314,1.3,1.1,2000-11-02,2139,Terra,MODIS,88,6.2,289.3,21.9,N,2
31.3874,6.9316,301.1,1.3,1.1,2000-11-02,2139,Terra,MODIS,20,6.2,288.8,8.9,N,2
31.3999,6.9429,308.4,1.3,1.1,2000-11-02,2139,Terra,MODIS,74,6.2,288.5,16.3,N,2
31.3975,6.9292,300.6,1.3,1.1,2000-11-02,2139,Terra,MODIS,31,6.2,288.6,9.3,N,2
31.6676,6.0559,320.5,1.5,1.2,2000-11-02,2139,Terra,MODIS,100,6.2,290.3,35.3,N,2
31.7984,6.0581,313.3,1.5,1.2,2000-11-02,2139,Terra,MODIS,87,6.2,289.5,25.1,N,2
31.7957,6.043,305.4,1.5,1.2,2000-11-02,2139,Terra,MODIS,64,6.2,289.1,15.5,N,2
