latitude,longitude,acq_date,acq_time,satellite,confidence
-38.8352,-64.2741,2000-12-01,241,Terra,24
-38.8192,-64.2753,2000-12-01,241,Terra,37
-38.8263,-64282,2000-12-01,241,Terra,18
-38.6774,-62.2541,2000-12-01,241,Terra,45
-38.6794,-62.2842,2000-12-01,241,Terra,13
-28.1236,-57.5061,2000-12-01,243,Terra,64
-38826,-64.2752,2000-12-01,419,Terra,32
-26.9168,-54.8189,2000-12-01,1341,Terra,62
-26.9285,-54.8215,2000-12-01,1341,Terra,90
-28.4737,-63.1254,2000-12-01,1520,Terra,49
-33.0638,-68.9686,2000-12-01,1522,Terra,65
-38.8101,-64.2418,2000-12-01,1523,Terra,48
-38.8123,-64.2496,2000-12-01,1523,Terra,79
-35.9191,-66.4175,2000-12-02,324,Terra,73
-35.9098,-66.4193,2000-12-02,324,Terra,100
-35.9113,-66.4311,2000-12-02,324,Terra,100
-34268,-66469,2000-12-02,325,Terra,100
-34.2694,-66.4803,2000-12-02,325,Terra,36
-34.2573,-66.4594,2000-12-02,325,Terra,100
-34.2588,-66.4707,2000-12-02,325,Terra,100
-34.2481,-66.4612,2000-12-02,325,Terra,99
-34.2496,-66.4725,2000-12-02,325,Terra,100
-34.2422,-66.4681,2000-12-02,325,Terra,48
-34.2315,-66.4586,2000-12-02,325,Terra,100
-34233,-66.4699,2000-12-02,325,Terra,100
-34.2345,-66.4812,2000-12-02,325,Terra,50
-25.2986,-63.89,2000-12-02,327,Terra,76
-25.2908,-63898,2000-12-02,327,Terra,100
-25.2929,-63.9106,2000-12-02,327,Terra,86
-24.4564,-60.7936,2000-12-02,1424,Terra,29
-25.3074,-58.6822,2000-12-02,1424,Terra,62
-25.2939,-63.8993,2000-12-02,1424,Terra,89
-25.2965,-63.8847,2000-12-02,1424,Terra,56
-26.01,-59.7321,2000-12-02,1424,Terra,57
-26.9248,-54.8225,2000-12-02,1424,Terra,59
-26.9255,-54.8291,2000-12-02,1424,Terra,44
-25.8676,-64252,2000-12-02,1424,Terra,54
-26.4793,-61.3,2000-12-02,1424,Terra,21
-27.6148,-60.6947,2000-12-02,1425,Terra,56
-27.55,-62.1668,2000-12-02,1425,Terra,58
-27.5516,-62.5994,2000-12-02,1425,Terra,20
-28.5618,-60.4679,2000-12-02,1425,Terra,36
-28.5694,-60.4758,2000-12-02,1425,Terra,60
-28.5709,-60.4656,2000-12-02,1425,Terra,61
