latitude,longitude,acq_date,acq_time,satellite,confidence
-29.5161,-62.1004,2000-11-01,231,Terra,51
-28.2832,-61.6395,2000-11-01,232,Terra,60
-28.2825,-61.6447,2000-11-01,232,Terra,52
-26.0481,-54.4666,2000-11-01,232,Terra,90
-26.0389,-54.4681,2000-11-01,232,Terra,100
-26.3705,-64.4282,2000-11-01,232,Terra,97
-26.3732,-64.4712,2000-11-01,232,Terra,100
-26.3687,-64.4354,2000-11-01,232,Terra,100
-26.3716,-64.4783,2000-11-01,232,Terra,97
-25.4355,-63574,2000-11-01,233,Terra,31
-25.0414,-64.3304,2000-11-01,233,Terra,74
-25.0441,-64.3705,2000-11-01,233,Terra,47
-25.0379,-64.3354,2000-11-01,233,Terra,83
-24.5297,-63.9801,2000-11-01,233,Terra,88
-24.5132,-63.9816,2000-11-01,233,Terra,49
-24.5236,-63.9858,2000-11-01,233,Terra,91
-22.9866,-63.7539,2000-11-01,233,Terra,65
-22866,-63.7715,2000-11-01,233,Terra,48
-22.1783,-63.4472,2000-11-01,233,Terra,97
-22181,-63.4788,2000-11-01,233,Terra,100
-22.1821,-63.4534,2000-11-01,233,Terra,95
-22.1849,-63485,2000-11-01,233,Terra,82
-22.1667,-63.4549,2000-11-01,234,Terra,91
-22.1695,-63.4865,2000-11-01,234,Terra,80
-26.8491,-54.8182,2000-11-01,1330,Terra,32
-22.0159,-63909,2000-11-01,1507,Terra,18
-22.1482,-63.6472,2000-11-01,1507,Terra,66
-22.1502,-63.6294,2000-11-01,1507,Terra,70
-22.1804,-63.4679,2000-11-01,1507,Terra,64
-22.8392,-63.9754,2000-11-01,1507,Terra,65
-22.9915,-63.7504,2000-11-01,1507,Terra,100
-22.9935,-63.7323,2000-11-01,1507,Terra,99
-22.9845,-63.7554,2000-11-01,1507,Terra,87
-22.9864,-63.7373,2000-11-01,1507,Terra,97
-22.9965,-63.7569,2000-11-01,1507,Terra,92
-22.9984,-63.7388,2000-11-01,1507,Terra,98
-23482,-64.2371,2000-11-01,1507,Terra,94
-23.4839,-64.2202,2000-11-01,1507,Terra,75
-23.4778,-64.2424,2000-11-01,1507,Terra,70
-23.4796,-64.2254,2000-11-01,1507,Terra,73
-23.4895,-64.2439,2000-11-01,1507,Terra,78
-23.4913,-64.2269,2000-11-01,1507,Terra,78
-24.5247,-63.9698,2000-11-01,1507,Terra,33
-24.5893,-63.8712,2000-11-01,1507,Terra,41
-24.5914,-63.8523,2000-11-01,1507,Terra,55
-24.6356,-63.8251,2000-11-01,1507,Terra,38
-25.1647,-62.8177,2000-11-01,1508,Terra,42
-25.3479,-62.0019,2000-11-01,1508,Terra,65
-25338,-62.0064,2000-11-01,1508,Terra,73
-33.1315,-68.5196,2000-11-01,1510,Terra,59
-33.5799,-69.0172,2000-11-01,1510,Terra,38
-34.0936,-66.2714,2000-11-01,1510,Terra,65
-34.1053,-66.2731,2000-11-01,1510,Terra,78
-34.1171,-66.2749,2000-11-01,1510,Terra,32
-34127,-66.2955,2000-11-01,1510,Terra,79
