latitude,longitude,acq_date,acq_time,confidence
-16.4447,143.5152,11/1/2000,16,62
-16.4439,143.5076,11/1/2000,16,59
-17.0273,143.8525,11/1/2000,16,56
-17.035,143.8907,11/1/2000,16,73
-17.0427,143.9288,11/1/2000,16,30
-17.0441,143.8489,11/1/2000,16,60
-17.0518,143.8872,11/1/2000,16,31
-18.4005,144.9007,11/1/2000,16,64
-18.4401,144.8603,11/1/2000,16,61
-18.4459,144.8904,11/1/2000,16,74
-18.6804,145.547,11/1/2000,16,54
-18.8383,143.9129,11/1/2000,17,62
-18.8447,143.9057,11/1/2000,17,53
-19.2216,145.0066,11/1/2000,17,50
-19.2365,145.0034,11/1/2000,17,42
-19.2513,145.0002,11/1/2000,17,37
-19.4718,146.0923,11/1/2000,17,64
-19.2201,145.001,11/1/2000,17,33
-19.4423,144.475,11/1/2000,17,29
-19.4483,144.5059,11/1/2000,17,48
-19.4434,144.4999,11/1/2000,17,41
-19.4586,144.4963,11/1/2000,17,28
-19.4787,144.4542,11/1/2000,17,46
-19.7753,145.5603,11/1/2000,17,73
-19.8952,146.1884,11/1/2000,17,76
-19.8995,146.2112,11/1/2000,17,80
-20.3597,148.2221,11/1/2000,17,57
-20.4449,148.5753,11/1/2000,17,60
-20.4475,148.5904,11/1/2000,17,82
-19.3096,142.5199,11/1/2000,17,39
-19.3088,142.5147,11/1/2000,17,37
-20.2437,146.6411,11/1/2000,17,74
-20.2477,146.6622,11/1/2000,17,76
-20.646,148.4702,11/1/2000,17,81
-20.6545,148.4528,11/1/2000,17,44
-20.6572,148.468,11/1/2000,17,75
-20.4831,146.7923,11/1/2000,17,50
-19.7539,142.094,11/1/2000,17,67
-20.5662,146.0241,11/1/2000,17,82
-19.7514,142.0889,11/1/2000,17,47
-20.5602,146.0194,11/1/2000,17,81
-20.5646,146.0422,11/1/2000,17,73
-20.9589,147.8201,11/1/2000,17,82
-20.9676,147.8009,11/1/2000,17,74
-20.9706,147.8178,11/1/2000,17,99
-20.9653,147.8119,11/1/2000,17,96
-20.9683,147.8286,11/1/2000,17,82
-20.5655,144.6438,11/1/2000,17,55
-20.865,146.3039,11/1/2000,17,35
-20.5694,144.6656,11/1/2000,17,71
-21.3192,148.294,11/1/2000,17,68
-21.5939,149.0049,11/1/2000,17,63
-21.6302,148.0932,11/1/2000,17,77
-21.633,148.109,11/1/2000,17,52
-21.8082,147.7385,11/1/2000,17,66
-22.6504,150.0995,11/1/2000,17,83
-22.6385,149.5925,11/1/2000,17,39
-22.8163,149.8563,11/1/2000,17,75
-22.0605,145.5092,11/1/2000,17,87
-22.0651,145.5329,11/1/2000,17,100
-22.9203,149.6208,11/1/2000,17,84
-22.1229,145.1355,11/1/2000,17,73
-22.9303,149.6189,11/1/2000,17,90
-22.9323,149.631,11/1/2000,17,96
-22.1319,145.1074,11/1/2000,17,95
-22.1367,145.1323,11/1/2000,17,99
-22.9443,149.6412,11/1/2000,17,32
-22.1457,145.1042,11/1/2000,17,99
-22.1505,145.1292,11/1/2000,17,100
-22.1272,145.1275,11/1/2000,17,93
-22.136,145.0995,11/1/2000,17,93
-22.141,145.1244,11/1/2000,17,100
-22.1548,145.1213,11/1/2000,17,93
-23.2273,150.3035,11/1/2000,17,67
-23.1836,149.9124,11/1/2000,17,48
-22.8141,147.6119,11/1/2000,17,63
-22.8171,147.628,11/1/2000,17,64
-22.6799,146.3932,11/1/2000,18,53
-22.6886,146.371,11/1/2000,18,90
-22.7187,146.3236,11/1/2000,18,92
-22.7187,146.3168,11/1/2000,18,84
-22.7225,146.3365,11/1/2000,18,57
-23.0302,146.8739,11/1/2000,18,68
-23.0223,146.8688,11/1/2000,18,69
-23.499,149.1555,11/1/2000,18,89
-23.789,150.655,11/1/2000,18,67
-23.7907,150.6657,11/1/2000,18,83
-23.7942,150.0012,11/1/2000,18,72
