latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.2751,45.9097,303.4,2.6,1.5,2000-11-20,0845,Terra,MODIS,32,6.2,283.7,29,D,0
40.2692,45.9024,306.8,2.6,1.5,2000-11-20,0845,Terra,MODIS,64,6.2,285.3,35.8,D,0
39.6722,46.2484,317.1,1.2,1.1,2000-11-21,0750,Terra,MODIS,47,6.2,282.9,21.2,D,0
39.6624,46.2404,319.8,1.2,1.1,2000-11-21,0750,Terra,MODIS,70,6.2,281.2,25.7,D,0
39.6928,46.2309,300.5,1.3,1.1,2000-11-24,0820,Terra,MODIS,38,6.2,276.1,8.6,D,0
39.8812,46.3465,314.7,3.4,1.7,2000-11-27,0850,Terra,MODIS,75,6.2,281.3,94.2,D,0
39.9109,46.2941,302,1.1,1,2000-11-28,0755,Terra,MODIS,47,6.2,280,8.3,D,0
39.9002,46.3042,300.2,1.1,1,2000-11-28,0756,Terra,MODIS,24,6.2,279.7,6.9,D,0
39.718,46.2344,302.7,1.1,1,2000-11-28,1900,Terra,MODIS,31,6.2,269.6,11.6,N,0
39.7307,46.2747,337.1,1.1,1,2000-12-30,0755,Terra,MODIS,90,6.2,287.2,44.3,D,0
39.7291,46.2872,320.1,1.1,1,2000-12-30,0755,Terra,MODIS,80,6.2,286.3,20.5,D,0
39.6631,46.2863,303.8,1.1,1,2000-12-30,0755,Terra,MODIS,57,6.2,282.5,7.9,D,0
39.6511,46.2526,304.2,1.1,1,2000-12-30,0755,Terra,MODIS,49,6.2,281.1,9.2,D,0
