latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.1689,3.8079,309.9,1,1,2000-11-02,2145,Terra,MODIS,79,6.2,278.9,13.8,N,2
51.1717,3.8074,307.7,1,1,2000-11-03,1116,Terra,MODIS,57,6.2,284.1,11.2,D,0
51.1729,3.805,304.1,1.1,1.1,2000-11-04,2132,Terra,MODIS,59,6.2,278.3,12.1,N,0
51.1753,3.809,304.7,1,1,2000-11-05,1104,Terra,MODIS,52,6.2,282.8,8.5,D,2
51.1664,3.806,301.1,1,1,2000-11-05,1104,Terra,MODIS,33,6.2,282.2,6.2,D,0
51.1658,3.8122,300.7,1.1,1.1,2000-11-10,1123,Terra,MODIS,18,6.2,281.8,7.2,D,2
51.1632,3.8045,302.8,1.1,1.1,2000-11-10,1123,Terra,MODIS,40,6.2,281.5,9.8,D,0
51.1666,3.8159,302.1,1,1,2000-12-04,2144,Terra,MODIS,46,6.2,278.7,8.3,N,2
51.1645,3.8018,303.8,1,1,2000-12-04,2144,Terra,MODIS,57,6.2,278.9,9.4,N,0
51.1637,3.8159,305.2,1.6,1.2,2000-12-11,1039,Terra,MODIS,46,6.2,276.9,18.5,D,2
51.1696,3.8137,302.2,1,1,2000-12-13,2138,Terra,MODIS,47,6.2,279.9,9.2,N,2
50.9344,5.5032,300.3,1.1,1.1,2000-12-15,2125,Terra,MODIS,23,6.2,273.9,10.5,N,0
51.1705,3.8056,302.8,1.1,1.1,2000-12-22,2132,Terra,MODIS,52,6.2,272.4,13,N,0
51.1733,3.8065,300.1,1,1,2000-12-29,2138,Terra,MODIS,16,6.2,272.9,10,N,0
