latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.0803,2.893,324,3.7,1.8,2000-11-01,1001,Terra,MODIS,72,6.2,302.3,81.6,D,0
12.0728,2.8848,320.3,3.7,1.8,2000-11-01,1001,Terra,MODIS,65,6.2,301.2,55.4,D,0
12.2669,2.6031,325.2,1,1,2000-11-02,1044,Terra,MODIS,73,6.2,297,15,D,0
10.8734,1.1348,315.4,1,1,2000-11-02,1045,Terra,MODIS,41,6.2,297.7,5.3,D,0
10.8721,1.1439,315.8,1,1,2000-11-02,1045,Terra,MODIS,43,6.2,297.7,5.6,D,0
12.1943,2.5452,318.7,1.1,1,2000-11-04,1032,Terra,MODIS,36,6.2,296.6,8.1,D,0
12.0681,2.6769,380.4,1.1,1,2000-11-04,1032,Terra,MODIS,100,6.2,305.2,161.6,D,0
12.0667,2.6868,338.8,1.1,1,2000-11-04,1032,Terra,MODIS,87,6.2,304.5,32.7,D,0
11.8824,2.8731,325.8,1.1,1,2000-11-04,1032,Terra,MODIS,66,6.2,298.4,15.2,D,0
11.8732,2.8718,331.1,1.1,1,2000-11-04,1032,Terra,MODIS,81,6.2,299.3,22.5,D,0
11.7628,2.8831,327.9,1.1,1,2000-11-04,1032,Terra,MODIS,68,6.2,297.3,17.5,D,0
11.7444,2.8805,320.4,1.1,1,2000-11-04,1032,Terra,MODIS,47,6.2,296.5,8.1,D,0
11.743,2.8901,339.9,1.1,1,2000-11-04,1032,Terra,MODIS,89,6.2,296.7,36.3,D,0
11.6848,2.9698,323,1.1,1,2000-11-04,1032,Terra,MODIS,71,6.2,292.3,13.8,D,0
11.6835,2.9794,322.9,1.1,1,2000-11-04,1032,Terra,MODIS,74,6.2,290.4,13.7,D,0
11.6615,2.8822,321.4,1.1,1,2000-11-04,1032,Terra,MODIS,53,6.2,295,10.6,D,0
11.6458,2.8603,340.4,1.1,1,2000-11-04,1032,Terra,MODIS,90,6.2,294.4,37.7,D,0
11.6444,2.8699,329.2,1.1,1,2000-11-04,1032,Terra,MODIS,72,6.2,291.8,20.2,D,0
11.6366,2.859,337,1.1,1,2000-11-04,1032,Terra,MODIS,88,6.2,289,33.5,D,0
11.3873,2.9995,357.9,1,1,2000-11-04,1032,Terra,MODIS,99,6.2,307,70.1,D,0
11.3859,3.009,335.6,1,1,2000-11-04,1032,Terra,MODIS,67,6.2,307.9,22.4,D,0
11.3781,2.9982,326.1,1,1,2000-11-04,1032,Terra,MODIS,30,6.2,306.2,11.3,D,0
11.3727,3.0361,326.6,1,1,2000-11-04,1032,Terra,MODIS,67,6.2,308.7,12,D,0
11.3289,2.8843,317.2,1.1,1,2000-11-04,1032,Terra,MODIS,41,6.2,297.5,7.1,D,0
11.2725,2.8311,321.4,1.1,1,2000-11-04,1032,Terra,MODIS,67,6.2,305.2,8,D,0
11.1117,3.3771,323.4,1,1,2000-11-04,1032,Terra,MODIS,65,6.2,308.5,9.8,D,0
11.0737,3.5127,323.2,1,1,2000-11-04,1032,Terra,MODIS,69,6.2,307.1,10.3,D,0
11.1669,2.6622,326.5,1.1,1,2000-11-04,1032,Terra,MODIS,75,6.2,306.9,14,D,0
11.1655,2.6719,322.5,1.1,1,2000-11-04,1032,Terra,MODIS,68,6.2,307.4,9.1,D,0
10.9821,3.3807,323.1,1,1,2000-11-04,1032,Terra,MODIS,69,6.2,306.8,9.3,D,0
10.5624,1.718,319.1,1.2,1.1,2000-11-04,1032,Terra,MODIS,50,6.2,305.1,7.4,D,0
10.5579,1.7219,319.7,1.2,1.1,2000-11-04,1032,Terra,MODIS,62,6.2,305.4,9,D,0
9.332,1.4175,320,2.4,1.5,2000-11-04,2259,Terra,MODIS,100,6.2,290.3,66.4,N,0
9.3295,1.4355,301.5,2.4,1.5,2000-11-04,2259,Terra,MODIS,41,6.2,288.8,17.4,N,0
9.3267,1.4127,316.2,2.4,1.5,2000-11-04,2259,Terra,MODIS,93,6.2,290.3,53.9,N,0
12.1087,2.7236,320.2,3.5,1.8,2000-11-05,1115,Terra,MODIS,50,6.2,301.2,54.6,D,0
12.0742,2.5828,335.7,3.4,1.7,2000-11-05,1115,Terra,MODIS,80,6.2,304.4,151.5,D,0
12.0434,2.5771,335.7,3.4,1.7,2000-11-05,1115,Terra,MODIS,80,6.2,304.1,137,D,0
12.0377,2.6081,324.8,3.4,1.7,2000-11-05,1115,Terra,MODIS,39,6.2,303.7,52.6,D,0
12.0279,2.5744,346,3.4,1.7,2000-11-05,1115,Terra,MODIS,92,6.2,304.8,247.9,D,0
12.0223,2.6053,325.7,3.4,1.7,2000-11-05,1115,Terra,MODIS,43,6.2,303.5,64.9,D,0
12.0236,2.5109,321.8,3.4,1.7,2000-11-05,1115,Terra,MODIS,57,6.2,300.2,62.3,D,0
12.0181,2.5411,331.5,3.4,1.7,2000-11-05,1115,Terra,MODIS,76,6.2,302,120.3,D,0
12.0124,2.5717,334.6,3.4,1.7,2000-11-05,1115,Terra,MODIS,82,6.2,301.9,140,D,0
12.0328,2.5686,349.2,3.4,1.7,2000-11-05,1115,Terra,MODIS,94,6.2,304.7,288.8,D,0
12.0274,2.5995,335.5,3.4,1.7,2000-11-05,1115,Terra,MODIS,83,6.2,304.2,143.1,D,0
12.028,2.505,320.1,3.4,1.7,2000-11-05,1115,Terra,MODIS,50,6.2,300,53,D,0
12.0227,2.5352,333.2,3.4,1.7,2000-11-05,1115,Terra,MODIS,81,6.2,302.8,139.5,D,0
12.0173,2.5658,335.5,3.4,1.7,2000-11-05,1115,Terra,MODIS,83,6.2,303.3,151.7,D,0
12.0119,2.5967,326.1,3.4,1.7,2000-11-05,1115,Terra,MODIS,66,6.2,301.8,77.8,D,0
11.9372,2.7446,321.6,3.5,1.8,2000-11-05,1115,Terra,MODIS,57,6.2,300.7,61.7,D,0
11.9174,2.6758,322.5,3.5,1.8,2000-11-05,1115,Terra,MODIS,62,6.2,299.9,63.8,D,0
11.9228,2.6715,323,3.5,1.8,2000-11-05,1115,Terra,MODIS,64,6.2,299.8,67.9,D,0
11.6359,2.3769,322.4,3.4,1.7,2000-11-05,1115,Terra,MODIS,64,6.2,301.2,70,D,0
11.4353,2.8901,317.3,3.7,1.8,2000-11-05,1115,Terra,MODIS,45,6.2,299.3,52,D,0
11.438,2.918,316.9,3.7,1.8,2000-11-05,1115,Terra,MODIS,19,6.2,298.3,39.3,D,0
11.3342,2.7621,318.9,3.6,1.8,2000-11-05,1115,Terra,MODIS,58,6.2,297.7,53.7,D,0
11.3256,2.7554,316.4,3.6,1.8,2000-11-05,1115,Terra,MODIS,45,6.2,297.4,43.7,D,0
10.9257,3.2656,315,4.1,1.9,2000-11-05,1115,Terra,MODIS,46,6.2,295.7,53.8,D,0
10.9751,1.9627,317.8,3.2,1.7,2000-11-05,1115,Terra,MODIS,58,6.2,300.6,43.5,D,0
10.9538,0.9494,320.3,2.7,1.6,2000-11-05,1115,Terra,MODIS,62,6.2,302.8,35.8,D,0
10.9497,0.9734,321.5,2.7,1.6,2000-11-05,1115,Terra,MODIS,58,6.2,303.8,38.4,D,0
10.9452,0.9672,323.7,2.7,1.6,2000-11-05,1115,Terra,MODIS,50,6.2,302.7,43.6,D,0
10.2528,1.5455,313.5,3.1,1.7,2000-11-05,1115,Terra,MODIS,38,6.2,299.4,25.1,D,0
10.0262,1.357,318.8,3,1.6,2000-11-05,1115,Terra,MODIS,66,6.2,300.8,42.5,D,0
10.026,1.3504,316,3,1.6,2000-11-05,1115,Terra,MODIS,58,6.2,301,31.3,D,0
10.0215,1.3771,318,3,1.7,2000-11-05,1115,Terra,MODIS,64,6.2,301,38,D,0
11.9121,2.8424,312.3,1.7,1.3,2000-11-05,2205,Terra,MODIS,84,6.2,291.4,24,N,0
