latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-20.2019,25.9878,337.2,1.4,1.2,2000-11-01,0831,Terra,MODIS,84,6.2,301.5,36.3,D,0
-20.2041,26.0009,327.2,1.4,1.2,2000-11-01,0831,Terra,MODIS,26,6.2,298.6,16.2,D,0
-20.2124,25.9858,334,1.4,1.2,2000-11-01,0831,Terra,MODIS,67,6.2,301.7,28.5,D,0
-22.0819,20.0092,317,3.4,1.7,2000-11-01,0832,Terra,MODIS,46,6.2,292.1,48,D,0
-18.4166,21.988,301.7,1,1,2000-11-02,2125,Terra,MODIS,27,6.2,286.7,5.3,N,0
-18.4076,21.9865,303.8,1,1,2000-11-02,2125,Terra,MODIS,51,6.2,287,6.6,N,0
-18.4129,21.9489,302,1,1,2000-11-02,2125,Terra,MODIS,32,6.2,287.4,5.5,N,0
-18.4039,21.9475,311.2,1,1,2000-11-02,2125,Terra,MODIS,82,6.2,287.2,11.4,N,0
-18.4053,21.9381,301.2,1,1,2000-11-02,2125,Terra,MODIS,4,6.2,287.6,5.1,N,0
-18.4475,22.7802,338.1,1,1,2000-11-04,0901,Terra,MODIS,75,6.2,319.2,14.5,D,0
-18.3665,21.9241,332.7,1,1,2000-11-04,0901,Terra,MODIS,34,6.2,312.2,14,D,0
-18.368,21.9336,335.3,1,1,2000-11-04,0901,Terra,MODIS,44,6.2,312.3,16.5,D,0
-18.9744,24.5734,335.7,1.1,1.1,2000-11-04,0901,Terra,MODIS,81,6.2,308.9,27.1,D,0
-18.5917,21.5248,340.9,1,1,2000-11-04,0901,Terra,MODIS,55,6.2,322.5,16.3,D,0
-18.8654,22.3065,340.6,1,1,2000-11-04,0902,Terra,MODIS,52,6.2,317.8,27,D,0
-20.6883,22.3489,328.9,1.3,1.1,2000-11-04,2112,Terra,MODIS,100,6.2,289.3,40.4,N,0
-20.6898,22.3367,307.3,1.3,1.1,2000-11-04,2112,Terra,MODIS,68,6.2,287.9,11.8,N,0
-20.6812,22.323,304.6,1.3,1.1,2000-11-04,2112,Terra,MODIS,20,6.2,288.3,9.2,N,0
-20.6628,22.3147,317.4,1.3,1.1,2000-11-04,2112,Terra,MODIS,95,6.2,289.3,23.6,N,0
-20.6644,22.3025,306.4,1.3,1.1,2000-11-04,2112,Terra,MODIS,68,6.2,288,11.7,N,0
-18.5751,22.1007,325.4,1.2,1.1,2000-11-04,2113,Terra,MODIS,100,6.2,288.4,35,N,0
-18.5766,22.0889,310.8,1.2,1.1,2000-11-04,2113,Terra,MODIS,81,6.2,287,16.3,N,0
-20.9968,22.3705,325.9,4.6,2,2000-11-05,0945,Terra,MODIS,60,6.2,313.9,79.4,D,0
-21.0006,22.4154,326.9,4.7,2,2000-11-05,0945,Terra,MODIS,64,6.2,314.2,94.3,D,0
-20.9996,22.4102,329,4.7,2,2000-11-05,0945,Terra,MODIS,69,6.2,314.8,118.1,D,0
-20.987,22.3527,301.5,2.4,1.5,2000-11-05,2155,Terra,MODIS,41,6.2,288.2,18.8,N,0
-18.3664,21.661,341.8,1.4,1.2,2000-11-06,0849,Terra,MODIS,84,6.2,311.7,42.7,D,0
-18.5641,22.8611,334.1,1.2,1.1,2000-11-06,0849,Terra,MODIS,67,6.2,314.9,11.2,D,0
-18.5659,22.8723,336.3,1.2,1.1,2000-11-06,0849,Terra,MODIS,73,6.2,315.7,14.8,D,0
-18.3769,21.6591,333.6,1.4,1.2,2000-11-06,0849,Terra,MODIS,70,6.2,310,20.7,D,0
-18.509,22.026,334.3,1.3,1.1,2000-11-06,0849,Terra,MODIS,55,6.2,306.7,27.5,D,0
-18.7591,22.8026,337.3,1.2,1.1,2000-11-06,0849,Terra,MODIS,43,6.2,314.7,23,D,0
-20.4778,27.3299,326.7,1.1,1.1,2000-11-06,0850,Terra,MODIS,73,6.2,307.9,12.2,D,0
-19.8777,22.4284,337.5,1.2,1.1,2000-11-06,0850,Terra,MODIS,78,6.2,314.5,22.2,D,0
-19.2851,22.2888,330,2.6,1.5,2000-11-07,0932,Terra,MODIS,51,6.2,305.6,47.9,D,0
