latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.6317,28.3048,311,1.9,1.3,2000-11-01,0952,Terra,MODIS,69,6.2,292.6,21.3,D,0
43.6395,28.3014,311.5,1.9,1.3,2000-11-01,0952,Terra,MODIS,70,6.2,293.1,22.5,D,0
43.6346,28.3241,304.8,1.9,1.3,2000-11-01,0952,Terra,MODIS,55,6.2,293,11.1,D,0
43.446,26.8599,305,1.6,1.2,2000-11-01,0952,Terra,MODIS,52,6.2,294.1,7.7,D,0
43.2958,27.294,304,1.7,1.3,2000-11-01,0952,Terra,MODIS,46,6.2,293.1,7.2,D,0
43.2991,27.289,303.9,1.7,1.3,2000-11-01,0952,Terra,MODIS,41,6.2,293.1,7.5,D,0
43.6086,25.0737,305.2,1.3,1.1,2000-11-01,0952,Terra,MODIS,55,6.2,292.4,5.8,D,0
43.4634,24.6796,330,1.3,1.1,2000-11-01,0952,Terra,MODIS,86,6.2,297.1,33.5,D,0
43.4577,24.71,321.6,1.3,1.1,2000-11-01,0952,Terra,MODIS,80,6.2,296.2,21,D,0
43.4564,24.6613,309.4,1.3,1.1,2000-11-01,0952,Terra,MODIS,39,6.2,297.7,7.5,D,0
43.4536,24.6764,321.7,1.3,1.1,2000-11-01,0952,Terra,MODIS,78,6.2,297.7,21.1,D,0
42.9379,24.2004,301.1,1.2,1.1,2000-11-01,0952,Terra,MODIS,42,6.2,291,4.3,D,0
42.9352,24.2152,304.3,1.2,1.1,2000-11-01,0952,Terra,MODIS,58,6.2,291.6,6.8,D,0
42.7145,24.1738,304.3,1.2,1.1,2000-11-01,0952,Terra,MODIS,58,6.2,291.1,6.1,D,0
42.7334,23.5529,313.5,1.2,1.1,2000-11-01,0952,Terra,MODIS,68,6.2,292.2,11.7,D,0
43.6173,24.9607,303.1,1,1,2000-11-03,0940,Terra,MODIS,49,6.2,291.5,3.6,D,0
42.7251,26.5646,305,1.2,1.1,2000-11-03,0940,Terra,MODIS,46,6.2,293.8,6.2,D,0
42.2879,24.5044,304.5,1,1,2000-11-03,0940,Terra,MODIS,49,6.2,289.4,4.9,D,0
42.0034,26.1977,317.7,1.2,1.1,2000-11-03,0940,Terra,MODIS,77,6.2,293.7,17.1,D,0
42.001,26.2114,312,1.2,1.1,2000-11-03,0940,Terra,MODIS,70,6.2,295.1,11.4,D,0
42.0012,26.041,308.2,1.1,1.1,2000-11-03,0940,Terra,MODIS,65,6.2,291.4,8,D,0
43.7057,27.9986,307.9,1.3,1.1,2000-11-09,0903,Terra,MODIS,65,6.2,294.9,7.4,D,0
