latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.424,1.371,306.6,1,1,2000-11-01,2229,Terra,MODIS,68,6.2,290.2,7.1,N,0
12.2609,-3.5053,319.6,1.7,1.3,2000-11-01,2229,Terra,MODIS,99,6.2,279.3,43.2,N,0
12.2941,1.6214,328.6,1,1,2000-11-02,1044,Terra,MODIS,72,6.2,312.7,10.6,D,0
12.4691,0.2855,324.9,1,1,2000-11-02,1044,Terra,MODIS,54,6.2,310.9,7.2,D,0
12.1659,1.9873,334.7,1,1,2000-11-02,1044,Terra,MODIS,82,6.2,312.2,18.2,D,0
12.1479,1.9846,340.3,1,1,2000-11-02,1044,Terra,MODIS,87,6.2,312,26.4,D,0
12.1591,1.1616,323.6,1,1,2000-11-02,1044,Terra,MODIS,56,6.2,310.2,6.6,D,0
12.6146,-2.8581,337.7,1.5,1.2,2000-11-02,1044,Terra,MODIS,85,6.2,310.8,45.1,D,0
12.6108,-2.8505,338.7,1.5,1.2,2000-11-02,1044,Terra,MODIS,86,6.2,311.8,48.7,D,0
12.0127,1.0903,327.2,1,1,2000-11-02,1044,Terra,MODIS,58,6.2,310.8,8.7,D,0
11.8575,2.1383,327.9,1,1,2000-11-02,1044,Terra,MODIS,73,6.2,298.7,16.6,D,0
11.9486,1.3407,327.5,1,1,2000-11-02,1044,Terra,MODIS,69,6.2,311.3,8.2,D,0
11.8318,2.125,328.3,1,1,2000-11-02,1044,Terra,MODIS,74,6.2,298.7,15.4,D,0
11.8305,2.1343,335.1,1,1,2000-11-02,1044,Terra,MODIS,84,6.2,298.6,26.1,D,0
11.8197,2.145,330.6,1,1,2000-11-02,1044,Terra,MODIS,80,6.2,297.4,20.2,D,0
11.8044,2.1239,323.3,1,1,2000-11-02,1044,Terra,MODIS,62,6.2,298.4,11.9,D,0
11.7842,1.9517,326.5,1,1,2000-11-02,1044,Terra,MODIS,53,6.2,308.6,8.5,D,0
11.7452,1.9025,335.3,1,1,2000-11-02,1044,Terra,MODIS,85,6.2,307.9,22.5,D,0
11.7439,1.9116,325,1,1,2000-11-02,1044,Terra,MODIS,42,6.2,306.9,8.8,D,0
11.713,2.0571,336.6,1,1,2000-11-02,1044,Terra,MODIS,86,6.2,287.5,32.6,D,0
11.5903,1.4574,319.1,1,1,2000-11-02,1044,Terra,MODIS,38,6.2,304.2,6,D,0
