latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.0977,-71.9882,309.8,1,1,2000-11-01,1511,Terra,MODIS,48,6.2,297.1,6.9,D,0
-37.0993,-71.9766,312.7,1,1,2000-11-01,1511,Terra,MODIS,60,6.2,298.4,9.1,D,0
-22.3197,-68.8811,339.3,1.2,1.1,2000-11-03,1455,Terra,MODIS,82,6.2,314,32,D,2
-23.8286,-70.3111,332,1.3,1.1,2000-11-03,1455,Terra,MODIS,64,6.2,313,21.2,D,0
-22.3131,-68.8858,304.6,1.4,1.2,2000-11-05,0347,Terra,MODIS,61,6.2,279.9,15.8,N,2
-22.3193,-68.885,304.2,1,1,2000-11-07,0335,Terra,MODIS,59,6.2,279.5,10.4,N,2
-53.0085,-69.2269,301.8,1,1,2000-11-07,1439,Terra,MODIS,36,6.2,280.2,5.4,D,0
-22.3181,-68.8818,329.8,1.1,1.1,2000-11-08,1513,Terra,MODIS,65,6.2,313.9,15.8,D,2
-35.8858,-72.6163,307.9,1.1,1,2000-11-08,1517,Terra,MODIS,38,6.2,290.2,7.2,D,0
-37.6332,-73.4583,302.5,1,1,2000-11-08,1518,Terra,MODIS,31,6.2,289.9,3.6,D,0
-22.3156,-68.878,309.4,1.1,1.1,2000-11-09,0323,Terra,MODIS,77,6.2,278.5,16.3,N,2
-22.317,-68.889,303.9,1.1,1.1,2000-11-09,0323,Terra,MODIS,58,6.2,279.4,12.1,N,2
-26.4322,-69.4749,304.5,2.1,1.4,2000-11-11,0309,Terra,MODIS,60,6.2,275.2,33.2,N,2
-22.315,-68.8857,302.1,1.7,1.3,2000-11-11,0311,Terra,MODIS,46,6.2,277.6,20.9,N,2
-22.3192,-68.881,307.7,1.7,1.3,2000-11-12,0353,Terra,MODIS,72,6.2,276.8,29.6,N,2
-22.3133,-68.8833,326.4,1.4,1.2,2000-11-12,1449,Terra,MODIS,60,6.2,308.6,14.9,D,2
-28.2195,-69.6724,325.9,1.2,1.1,2000-11-12,1450,Terra,MODIS,60,6.2,305.9,15.8,D,0
-52.4063,-70.0308,301.3,3.6,1.8,2000-11-13,1540,Terra,MODIS,46,6.2,286.6,33,D,0
-34.105,-70.4514,302.7,1.1,1,2000-11-14,0338,Terra,MODIS,51,6.2,278,10.9,N,2
-27.4154,-70.2612,300.1,1,1,2000-11-14,0340,Terra,MODIS,16,6.2,284.7,6.3,N,0
-39.7427,-72.3889,331.5,1.6,1.2,2000-11-14,1441,Terra,MODIS,86,6.2,290.9,61.3,D,0
-34.1067,-70.4527,308.7,2.5,1.5,2000-11-15,0421,Terra,MODIS,75,6.2,279.6,49.5,N,2
-22.3134,-68.8811,325.8,1.3,1.1,2000-11-15,1519,Terra,MODIS,41,6.2,308.3,14.4,D,2
-26.4312,-69.4823,330.7,1.4,1.2,2000-11-15,1520,Terra,MODIS,79,6.2,309.8,28.1,D,2
-26.4328,-69.469,330.5,1.4,1.2,2000-11-15,1520,Terra,MODIS,79,6.2,309,28,D,2
-34.108,-70.4516,326.7,1.5,1.2,2000-11-15,1523,Terra,MODIS,71,6.2,305.8,25.5,D,2
-34.1091,-70.4573,323.7,1.5,1.2,2000-11-15,1523,Terra,MODIS,63,6.2,306.7,21.6,D,2
-37.2159,-73.2213,307.7,1.2,1.1,2000-11-15,1523,Terra,MODIS,41,6.2,297.6,5.9,D,0
-22.3178,-68.8774,303.3,1,1,2000-11-16,0329,Terra,MODIS,55,6.2,278.8,10.1,N,2
-52.9091,-68.8549,301.6,1,1,2000-11-16,1432,Terra,MODIS,35,6.2,289.7,2.1,D,0
-52.94,-70.8111,309.2,1.1,1,2000-11-16,1432,Terra,MODIS,0,6.2,292.6,8.2,D,0
-53.521,-69.2883,312.9,1,1,2000-11-16,1433,Terra,MODIS,73,6.2,294,9.8,D,0
-53.5233,-69.2733,310.9,1,1,2000-11-16,1433,Terra,MODIS,71,6.2,293.7,8.3,D,0
-53.571,-69.4446,321.8,1,1,2000-11-16,1433,Terra,MODIS,61,6.2,294.7,17.5,D,0
-53.5733,-69.4296,318.9,1,1,2000-11-16,1433,Terra,MODIS,60,6.2,293.7,14.4,D,0
-35.1402,-71.3664,325.9,1.3,1.1,2000-11-17,0408,Terra,MODIS,100,6.2,287.3,41.2,N,0
-35.1428,-71.381,339.5,1.3,1.1,2000-11-17,0408,Terra,MODIS,100,6.2,287.5,69.5,N,0
-35.1299,-71.3692,345.8,1.3,1.1,2000-11-17,0408,Terra,MODIS,100,6.2,286.7,87.2,N,0
-35.1325,-71.3838,356,1.3,1.1,2000-11-17,0408,Terra,MODIS,100,6.2,286.4,120.9,N,0
-22.3186,-68.8845,333.3,1,1,2000-11-17,1507,Terra,MODIS,58,6.2,317.5,16.4,D,2
-35.7873,-72.5583,316.6,1,1,2000-11-17,1511,Terra,MODIS,13,6.2,302.7,6.7,D,0
-36.6133,-72.3033,318.3,1,1,2000-11-17,1511,Terra,MODIS,68,6.2,305,6.8,D,0
-39.2849,-72.2254,308,1.1,1,2000-11-17,1512,Terra,MODIS,24,6.2,295,4.7,D,0
-22.3196,-68.8776,305.5,1.3,1.1,2000-11-18,0317,Terra,MODIS,65,6.2,279.1,17.2,N,2
-34.9848,-71.2015,315.5,1,1,2000-11-19,1458,Terra,MODIS,50,6.2,301.6,5.7,D,0
-37.2785,-73.2381,304.9,1.1,1.1,2000-11-19,1459,Terra,MODIS,23,6.2,289.1,4.9,D,0
-37.3809,-73.6049,306.8,1.2,1.1,2000-11-19,1459,Terra,MODIS,38,6.2,295.3,7,D,0
-38.4419,-71.8853,307.5,1,1,2000-11-19,1459,Terra,MODIS,46,6.2,297.3,6.4,D,0
-38.644,-72.6495,307.7,1.1,1,2000-11-19,1459,Terra,MODIS,42,6.2,296.3,6,D,0
-39.2787,-71.9713,306.2,1,1,2000-11-19,1459,Terra,MODIS,50,6.2,295.2,5.8,D,0
-39.2962,-72.2211,305.1,1,1,2000-11-19,1459,Terra,MODIS,20,6.2,294.6,4,D,0
-22.3185,-68.8865,304.7,2.2,1.4,2000-11-20,0304,Terra,MODIS,61,6.2,279.9,33.7,N,2
-35.4408,-72.3063,311.1,1.1,1.1,2000-11-21,0344,Terra,MODIS,82,6.2,283,15.2,N,0
-35.4375,-72.3002,307.8,1.1,1.1,2000-11-21,0344,Terra,MODIS,73,6.2,283.3,13.3,N,0
-35.2614,-71.4233,328.9,1.1,1,2000-11-21,0344,Terra,MODIS,100,6.2,285.2,33.9,N,0
