latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.0095,133.7413,305.1,3,1.6,2000-11-01,0137,Terra,MODIS,61,6.2,279.4,42.8,D,0
47.245,130.9713,303.3,4.1,1.9,2000-11-01,0137,Terra,MODIS,48,6.2,278.2,63.5,D,0
47.244,131.0261,304.1,4.1,1.9,2000-11-01,0137,Terra,MODIS,44,6.2,277.9,65.8,D,0
47.2417,130.9657,300.3,4.1,1.9,2000-11-01,0137,Terra,MODIS,29,6.2,278,51.4,D,0
47.2405,131.0205,306.7,4.1,1.9,2000-11-01,0137,Terra,MODIS,48,6.2,278,78.8,D,0
47.0196,132.8016,301.7,3.3,1.7,2000-11-01,0137,Terra,MODIS,48,6.2,276.9,37.6,D,0
47.0237,132.7959,305.4,3.3,1.7,2000-11-01,0137,Terra,MODIS,61,6.2,277.7,50.3,D,0
46.8669,132.5138,301.5,3.4,1.7,2000-11-01,0137,Terra,MODIS,47,6.2,280.6,38.1,D,0
46.8723,132.508,304.1,3.4,1.7,2000-11-01,0137,Terra,MODIS,58,6.2,280.9,44.9,D,0
45.8839,131.5991,302.1,3.7,1.8,2000-11-01,0137,Terra,MODIS,51,6.2,280.1,50.1,D,0
50.3052,125.5471,303.7,1.1,1.1,2000-11-01,0315,Terra,MODIS,24,6.2,278.8,9.5,D,0
50.2987,125.5053,317.2,1.1,1.1,2000-11-01,0315,Terra,MODIS,77,6.2,280.2,21.8,D,0
50.2959,125.5208,358.9,1.1,1.1,2000-11-01,0315,Terra,MODIS,99,6.2,284.1,105.1,D,0
50.2867,125.5167,347.4,1.1,1.1,2000-11-01,0315,Terra,MODIS,95,6.2,280.9,71.9,D,0
48.1401,134.6136,321.2,3.4,1.7,2000-11-01,0315,Terra,MODIS,61,6.2,278.2,132.4,D,0
48.1285,134.6558,323.1,3.4,1.7,2000-11-01,0315,Terra,MODIS,62,6.2,277.5,145,D,0
49.9309,126.4258,306.4,1.2,1.1,2000-11-01,0315,Terra,MODIS,63,6.2,277.5,14.8,D,0
49.857,126.4288,310.1,1.2,1.1,2000-11-01,0315,Terra,MODIS,70,6.2,277.6,17.2,D,0
49.8579,126.4226,303.9,1.2,1.1,2000-11-01,0315,Terra,MODIS,56,6.2,277.7,11.5,D,0
48.0697,134.0328,331.3,3.2,1.7,2000-11-01,0315,Terra,MODIS,87,6.2,279.8,181.1,D,0
49.8224,126.3344,306.1,1.2,1.1,2000-11-01,0315,Terra,MODIS,63,6.2,277.8,14.6,D,0
48.0839,133.6798,313.4,3,1.7,2000-11-01,0315,Terra,MODIS,74,6.2,280.4,70.3,D,0
48.0735,133.7179,300.9,3.1,1.7,2000-11-01,0315,Terra,MODIS,21,6.2,280.3,29.1,D,0
49.8288,125.906,335.2,1.2,1.1,2000-11-01,0315,Terra,MODIS,89,6.2,279.1,51.1,D,0
48.0847,133.6756,309.2,3,1.7,2000-11-01,0315,Terra,MODIS,68,6.2,280.3,59.2,D,0
48.0745,133.7138,305.8,3.1,1.7,2000-11-01,0315,Terra,MODIS,62,6.2,280.3,48.2,D,0
49.8193,125.9018,353.3,1.2,1.1,2000-11-01,0315,Terra,MODIS,97,6.2,280.8,95.6,D,0
49.8164,125.9177,311.8,1.2,1.1,2000-11-01,0315,Terra,MODIS,72,6.2,277.1,18.7,D,0
48.0119,133.7655,312.6,3.1,1.7,2000-11-01,0315,Terra,MODIS,73,6.2,281.1,72.9,D,0
48.0138,133.7598,309.4,3.1,1.7,2000-11-01,0315,Terra,MODIS,68,6.2,281,56.4,D,0
48.015,133.4518,301.9,3,1.6,2000-11-01,0315,Terra,MODIS,50,6.2,280.7,35.4,D,0
49.3225,127.8476,303.7,1.5,1.2,2000-11-01,0315,Terra,MODIS,57,6.2,280.2,14.5,D,0
49.3185,127.867,303.3,1.5,1.2,2000-11-01,0315,Terra,MODIS,56,6.2,280.5,14.1,D,0
47.9533,133.5021,319.6,3,1.7,2000-11-01,0315,Terra,MODIS,79,6.2,281,101.1,D,0
47.9538,133.4969,320.5,3,1.7,2000-11-01,0315,Terra,MODIS,80,6.2,280.8,105.7,D,0
48.6606,130.3652,301.5,2,1.4,2000-11-01,0315,Terra,MODIS,47,6.2,280.6,18.8,D,0
48.9318,129.063,302.9,1.7,1.3,2000-11-01,0315,Terra,MODIS,24,6.2,279.5,15.5,D,0
48.9269,129.085,304,1.7,1.3,2000-11-01,0315,Terra,MODIS,32,6.2,279.3,16.9,D,0
48.9304,129.0801,312.1,1.7,1.3,2000-11-01,0315,Terra,MODIS,72,6.2,280.1,31.2,D,0
47.8861,132.8937,305.4,2.8,1.6,2000-11-01,0315,Terra,MODIS,61,6.2,278.8,43.3,D,0
49.5521,125.1361,300.7,1.1,1.1,2000-11-01,0315,Terra,MODIS,41,6.2,279.4,8.2,D,0
49.5317,125.1937,302.1,1.1,1.1,2000-11-01,0315,Terra,MODIS,44,6.2,280,9.4,D,0
49.5289,125.2092,304.5,1.1,1.1,2000-11-01,0315,Terra,MODIS,45,6.2,278.8,11.2,D,0
47.5324,133.912,309.6,3.3,1.7,2000-11-01,0315,Terra,MODIS,65,6.2,278.7,62.9,D,0
47.5212,133.9523,305.6,3.3,1.7,2000-11-01,0315,Terra,MODIS,47,6.2,279,48.4,D,0
49.5124,125.1124,304.4,1.1,1.1,2000-11-01,0315,Terra,MODIS,59,6.2,279.3,10.8,D,0
49.5097,125.1277,327.1,1.1,1.1,2000-11-01,0315,Terra,MODIS,85,6.2,280.6,34.7,D,0
47.5364,133.9071,305.4,3.3,1.7,2000-11-01,0315,Terra,MODIS,61,6.2,278.6,52.8,D,0
47.5254,133.9476,311.1,3.3,1.7,2000-11-01,0315,Terra,MODIS,71,6.2,279.3,74.7,D,0
49.0893,127.2369,300.8,1.4,1.2,2000-11-01,0315,Terra,MODIS,42,6.2,278.8,11.7,D,0
49.2134,126.004,307,1.2,1.1,2000-11-01,0315,Terra,MODIS,64,6.2,279.3,14.4,D,0
49.2979,125.0924,318.4,1.1,1.1,2000-11-01,0315,Terra,MODIS,78,6.2,281.6,23.1,D,0
49.2951,125.1079,302.2,1.2,1.1,2000-11-01,0315,Terra,MODIS,51,6.2,281.3,8.3,D,0
49.28,124.9697,302.4,1.1,1.1,2000-11-01,0315,Terra,MODIS,52,6.2,280.6,8.8,D,0
